,State,Position,District,Candidate,Party,Year Elected,Next Election,Number of Terms in Position,Unopposed in Last Election,DEM Unopposed in Primary,REP Unopposed in Primary
0,Montana,Attorney General,0,Timothy Fox,REP,2012,2016,1,No,Yes,Yes
1,Montana,Governor,0,Stephen Clark Bullock,DEM,2012,2016,1,No,Yes,Yes
2,Montana,Secretary Of State,0,Linda McCulloch,DEM,2012,2016,2,No,Yes,Yes
3,Montana,State Representative,1,Gerald Bennett,REP,2012,2014,3,Yes,Yes,Yes
4,Montana,State Representative,2,Michael Cuffe,REP,2012,2014,2,No,Yes,Yes
5,Montana,State Representative,3,Jerry Oneil,REP,2012,2014,2,No,Yes,Yes
6,Montana,State Representative,4,Edward Lieser,DEM,2012,2014,1,No,Yes,Yes
7,Montana,State Representative,5,Keith Regier,REP,2012,2014,3,No,Yes,Yes
8,Montana,State Representative,6,Carl Glimm,REP,2012,2014,1,No,Yes,Yes
9,Montana,State Representative,7,Randy Brodehl,REP,2012,2014,2,No,Yes,No
10,Montana,State Representative,8,Steve Lavin,REP,2012,2014,2,No,Yes,Yes
11,Montana,State Representative,9,Scott Reichner,REP,2012,2014,3,No,Yes,No
12,Montana,State Representative,10,Mark Wade Blasdel,REP,2012,2014,4,No,Yes,Yes
13,Montana,State Representative,11,Gregory Hertz,REP,2012,2014,1,No,Yes,Yes
14,Montana,State Representative,12,Daniel Salomon,REP,2012,2014,2,No,Yes,Yes
15,Montana,State Representative,13,Pat Ingraham,REP,2012,2014,4,No,No,Yes
16,Montana,State Representative,14,Nicholas Schwaderer,REP,2012,2014,1,No,Yes,No
17,Montana,State Representative,15,Frosty Calf Boss Ribs,DEM,2012,2014,1,No,Yes,Yes
18,Montana,State Representative,16,Lea Whitford,DEM,2012,2014,1,No,Yes,Yes
19,Montana,State Representative,17,Christy Clark,REP,2012,2014,2,No,Yes,No
20,Montana,State Representative,18,Jesse Ohara,REP,2012,2014,4,No,Yes,Yes
21,Montana,State Representative,19,Roger Hagan,REP,2012,2014,1,No,Yes,No
22,Montana,State Representative,20,Steven Fitzpatrick,REP,2012,2014,2,No,Yes,Yes
23,Montana,State Representative,21,Jean Price,DEM,2012,2014,2,No,Yes,No
24,Montana,State Representative,22,Casey Schreiner,DEM,2012,2014,1,No,Yes,Yes
25,Montana,State Representative,23,Carlie Boland,DEM,2012,2014,3,No,Yes,Yes
26,Montana,State Representative,24,Brian Hoven,REP,2012,2014,3,No,Yes,Yes
27,Montana,State Representative,25,Tom Jacobson,DEM,2012,2014,1,No,No,Yes
28,Montana,State Representative,26,Robert Mehlhoff,DEM,2012,2014,3,No,Yes,Yes
29,Montana,State Representative,27,Robin Allan Cook,REP,2012,2014,2,Yes,Yes,No
30,Montana,State Representative,28,Roy Hollandsworth,REP,2012,2014,3,Yes,Yes,Yes
31,Montana,State Representative,29,Ryan Osmundson,REP,2012,2014,2,No,Yes,Yes
32,Montana,State Representative,30,Bill Harris,REP,2012,2014,2,Yes,Yes,Yes
33,Montana,State Representative,31,Bridget Smith,DEM,2012,2014,1,Yes,Yes,Yes
34,Montana,State Representative,32,Clarena Brockie,DEM,2012,2014,1,Yes,Yes,Yes
35,Montana,State Representative,33,Kris Hansen,REP,2012,2014,2,No,Yes,Yes
36,Montana,State Representative,34,Wendy Warburton,REP,2012,2014,3,No,Yes,Yes
37,Montana,State Representative,35,Mike Lang,REP,2012,2014,1,No,Yes,No
38,Montana,State Representative,36,Austin Knudsen,REP,2012,2014,2,Yes,Yes,Yes
39,Montana,State Representative,37,David Halvorson,REP,2012,2014,1,Yes,Yes,Yes
40,Montana,State Representative,38,Alan Doane,REP,2012,2014,1,No,Yes,Yes
41,Montana,State Representative,39,Lee Randall,REP,2012,2014,3,Yes,Yes,Yes
42,Montana,State Representative,40,Bill McChesney,DEM,2012,2014,4,Yes,Yes,Yes
43,Montana,State Representative,41,Patricia Rae Peppers,DEM,2012,2014,1,No,Yes,Yes
44,Montana,State Representative,42,Carolyn Pease-Lopez,DEM,2012,2014,3,Yes,Yes,Yes
45,Montana,State Representative,43,Duane Ankney,REP,2012,2014,4,No,Yes,Yes
46,Montana,State Representative,44,Jonathan McNiven,REP,2012,2014,2,No,Yes,Yes
47,Montana,State Representative,45,Thomas Berry,REP,2012,2014,3,No,Yes,Yes
48,Montana,State Representative,46,Clayton Fiscus,REP,2012,2014,1,Yes,Yes,No
49,Montana,State Representative,47,Daniel Zolnikov,REP,2012,2014,1,No,Yes,Yes
50,Montana,State Representative,48,Douglas Lee Kary,REP,2012,2014,2,No,Yes,Yes
51,Montana,State Representative,49,Mary McNally,DEM,2012,2014,2,No,No,No
52,Montana,State Representative,50,Dennis Robert Lenz,REP,2012,2014,1,No,No,Yes
53,Montana,State Representative,51,Kelly McCarthy,DEM,2012,2014,1,No,Yes,Yes
54,Montana,State Representative,52,Virginia Court,DEM,2012,2014,2,No,No,No
55,Montana,State Representative,53,Dave Hagstrom,REP,2012,2014,1,No,No,Yes
56,Montana,State Representative,54,Margaret Macdonald,DEM,2012,2014,3,No,Yes,Yes
57,Montana,State Representative,55,Cary Smith,REP,2012,2014,3,No,Yes,Yes
58,Montana,State Representative,56,Donald Jones,REP,2012,2014,1,Yes,No,Yes
59,Montana,State Representative,57,Sarah Laszloffy,REP,2012,2014,1,No,Yes,Yes
60,Montana,State Representative,58,Krayton Kerns,REP,2012,2014,4,No,Yes,Yes
61,Montana,State Representative,59,Joanne Blyton,REP,2012,2014,2,No,No,Yes
62,Montana,State Representative,60,David Howard,REP,2012,2014,3,No,Yes,Yes
63,Montana,State Representative,61,Alan Redfield,REP,2012,2014,1,Yes,Yes,Yes
64,Montana,State Representative,62,Reilly Neill,DEM,2012,2014,1,No,Yes,Yes
65,Montana,State Representative,63,Franke Wilmer,DEM,2012,2014,1,No,Yes,Yes
66,Montana,State Representative,64,Thomas Woods,DEM,2012,2014,1,No,Yes,Yes
67,Montana,State Representative,65,Kathleen Williams,DEM,2012,2014,2,No,Yes,Yes
68,Montana,State Representative,66,Jennifer Pomnichowski,DEM,2012,2014,1,No,Yes,Yes
69,Montana,State Representative,67,Gordon Vance,REP,2012,2014,3,Yes,Yes,Yes
70,Montana,State Representative,68,Kelly Flynn,REP,2012,2014,2,Yes,Yes,No
71,Montana,State Representative,69,Ted Washburn,REP,2012,2014,3,Yes,Yes,Yes
72,Montana,State Representative,70,Kerry White,REP,2012,2014,1,No,Yes,No
73,Montana,State Representative,71,Ray Shaw,REP,2012,2014,1,No,Yes,Yes
74,Montana,State Representative,72,Jeffrey Welborn,REP,2012,2014,3,No,Yes,Yes
75,Montana,State Representative,73,Pat Noonan,DEM,2012,2014,3,No,Yes,Yes
76,Montana,State Representative,74,Ryan Lynch,DEM,2012,2014,1,No,Yes,Yes
77,Montana,State Representative,75,Edith McClafferty,DEM,2012,2014,3,No,No,No
78,Montana,State Representative,76,Amanda Curtis,DEM,2012,2014,1,Yes,Yes,Yes
79,Montana,State Representative,77,Kirk Wagoner,REP,2012,2014,1,No,Yes,Yes
80,Montana,State Representative,78,Steve Gibson,REP,2012,2014,2,No,Yes,Yes
81,Montana,State Representative,79,Charles Hunter,DEM,2012,2014,3,No,No,Yes
82,Montana,State Representative,80,Liz Bangerter,REP,2012,2014,2,No,Yes,Yes
83,Montana,State Representative,81,Galen Hollenbaugh,DEM,2012,2014,3,No,No,Yes
84,Montana,State Representative,82,Jenny Eck,DEM,2012,2014,1,No,Yes,Yes
85,Montana,State Representative,83,Wylie Galt,REP,2012,2014,1,No,Yes,Yes
86,Montana,State Representative,84,Mike Miller,REP,2012,2014,3,No,Yes,Yes
87,Montana,State Representative,85,Gordon Pierson Jr.,DEM,2012,2014,1,No,No,Yes
88,Montana,State Representative,86,Kathy Swanson,DEM,2012,2014,2,No,Yes,No
89,Montana,State Representative,87,Patrick Connell,REP,2012,2014,2,No,Yes,Yes
90,Montana,State Representative,88,Ron Ehli,REP,2012,2014,2,No,Yes,No
91,Montana,State Representative,89,Nancy Ballance,REP,2012,2014,1,No,No,Yes
92,Montana,State Representative,90,Edward Greef,REP,2012,2014,2,No,Yes,Yes
93,Montana,State Representative,91,David Moore,REP,2012,2014,1,No,No,Yes
94,Montana,State Representative,92,Bryce Bennett,DEM,2012,2014,2,No,No,No
95,Montana,State Representative,93,Douglas Coffin,DEM,2012,2014,1,No,No,Yes
96,Montana,State Representative,94,Ellie Boldman Hill Smith,DEM,2012,2014,2,No,No,Yes
97,Montana,State Representative,95,Thomas Steenberg,DEM,2012,2014,1,No,Yes,Yes
98,Montana,State Representative,96,Carolyn Squires,DEM,2012,2014,2,No,Yes,Yes
99,Montana,State Representative,97,Nancy Wilson,DEM,2012,2014,1,No,No,Yes
100,Montana,State Representative,98,Jenifer Gursky,DEM,2012,2014,1,No,Yes,Yes
101,Montana,State Representative,99,Kimberly Dudik,DEM,2012,2014,1,No,Yes,Yes
102,Montana,State Representative,100,Champ Edmunds,REP,2012,2014,2,No,Yes,Yes
103,Montana,State Senator,1,Chas Vincent,REP,2010,2012,1,Yes,Yes,Yes
104,Montana,State Senator,2,Dee Brown,REP,2012,2016,1,No,Yes,Yes
105,Montana,State Senator,3,Bruce Tutvedt,REP,2012,2016,2,No,Yes,Yes
106,Montana,State Senator,4,Jon Sonju,REP,2010,2012,1,No,Yes,Yes
107,Montana,State Senator,5,Verdell Jackson,REP,2010,2012,2,No,Yes,Yes
108,Montana,State Senator,6,Janna Taylor,REP,2012,2016,1,No,Yes,Yes
109,Montana,State Senator,7,Jennifer Fielder,REP,2012,2016,1,No,Yes,Yes
110,Montana,State Senator,8,Shannon James Augare,DEM,2010,2012,1,No,Yes,Yes
111,Montana,State Senator,9,Rick Ripley,REP,2012,2016,2,No,Yes,No
112,Montana,State Senator,10,Bradley Hamlett,DEM,2012,2016,2,No,Yes,Yes
113,Montana,State Senator,11,Anders Blewett,DEM,2010,2014,1,No,Yes,Yes
114,Montana,State Senator,12,Mitch Tropila,DEM,2010,2014,2,Yes,Yes,Yes
115,Montana,State Senator,13,Francis Edward Buttrey,REP,2010,2014,1,No,Yes,Yes
116,Montana,State Senator,14,Llewelyn Jones,REP,2010,2014,1,Yes,Yes,No
117,Montana,State Senator,15,Jim Peterson,REP,2010,2012,2,No,Yes,Yes
118,Montana,State Senator,16,Jonathan Windy Boy,DEM,2012,2016,2,Yes,Yes,Yes
119,Montana,State Senator,17,Greg Jergeson,DEM,2012,2016,1,No,Yes,Yes
120,Montana,State Senator,18,John Brenden,REP,2012,2016,2,No,Yes,Yes
121,Montana,State Senator,19,Matthew Martin Rosendale Sr.,REP,2012,2014,1,No,Yes,No
122,Montana,State Senator,20,Frederick Moore,REP,2010,2014,1,Yes,Yes,Yes
123,Montana,State Senator,21,Sharon Stewart-Peregoy,DEM,2012,2016,2,Yes,Yes,Yes
124,Montana,State Senator,22,Taylor Brown,REP,2012,2014,2,No,No,Yes
125,Montana,State Senator,23,Alan Olson,REP,2010,2012,1,Yes,Yes,Yes
126,Montana,State Senator,24,Roger Webb,REP,2012,2014,1,No,Yes,Yes
127,Montana,State Senator,25,Kendall Van Dyk,DEM,2010,2012,1,No,Yes,Yes
128,Montana,State Senator,26,Robyn Driscoll,DEM,2012,2016,1,No,Yes,Yes
129,Montana,State Senator,27,Elsie Arntzen,REP,2012,2014,1,No,Yes,Yes
130,Montana,State Senator,28,Jeffrey Essmann,REP,2010,2012,2,No,Yes,Yes
131,Montana,State Senator,29,Edward Walker,REP,2010,2014,1,No,Yes,No
132,Montana,State Senator,30,Jason Priest,REP,2010,2014,1,No,Yes,Yes
133,Montana,State Senator,31,Ron Arthun,REP,2010,2012,1,No,Yes,Yes
134,Montana,State Senator,32,Larry Jent,DEM,2010,2014,2,No,Yes,Yes
135,Montana,State Senator,33,Mike Phillips,DEM,2012,2014,1,No,Yes,Yes
136,Montana,State Senator,34,Scott Sales,REP,2012,2014,1,No,Yes,Yes
137,Montana,State Senator,35,Arthur Wittich,REP,2010,2012,1,No,Yes,Yes
138,Montana,State Senator,36,Debby Barrett,REP,2012,2016,2,No,Yes,Yes
139,Montana,State Senator,37,Jon Sesso,DEM,2012,2016,1,No,Yes,Yes
140,Montana,State Senator,38,Jim Keane,DEM,2012,2016,2,Yes,Yes,Yes
141,Montana,State Senator,39,Terry Murphy,REP,2010,2012,2,No,Yes,Yes
142,Montana,State Senator,40,Mary Caferro,DEM,2010,2012,1,No,Yes,Yes
143,Montana,State Senator,41,Christine Kaufmann,DEM,2012,2014,2,No,No,Yes
144,Montana,State Senator,42,David Lewis,REP,2010,2014,2,Yes,Yes,Yes
145,Montana,State Senator,43,Gene Vuckovich,DEM,2012,2014,2,No,Yes,No
146,Montana,State Senator,44,Robert Lake,REP,2010,2012,1,No,Yes,Yes
147,Montana,State Senator,45,Fred Thomas,REP,2012,2016,1,No,Yes,Yes
148,Montana,State Senator,46,Sue Malek,DEM,2012,2016,1,No,Yes,Yes
149,Montana,State Senator,47,Dick Barrett,DEM,2012,2016,1,No,Yes,Yes
150,Montana,State Senator,48,Thomas Facey,DEM,2010,2014,1,No,Yes,Yes
151,Montana,State Senator,49,David Wanzenried,DEM,2010,2014,2,No,Yes,Yes
152,Montana,State Senator,50,Clifford Larsen,DEM,2012,2014,2,No,Yes,Yes
153,Montana,Superintendent Of Public Instruction,0,Denise Juneau,DEM,2012,2016,2,No,Yes,Yes
154,Montana,U.S. Representative,1,Steven Daines,REP,2012,2014,1,No,No,Yes
155,Montana,U.S. Senator,0,Jon Tester,DEM,2012,2018,1,No,No,No
