office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Steven Daines,REP,MT,Open,Won-General,6845881.83,nan
U.S. Representative,Ryan Zinke,REP,MT,Open,Won-General,4663689.35,1
U.S. Senator,John Walsh,DEM,MT,Incumbent,Withdrew-General,2607504.66,nan
U.S. Representative,John Lewis,DEM,MT,Open,Lost-General,1722347.09,1
U.S. Senator,Amanda Curtis,DEM,MT,Open,Lost-General,977757.91,nan
Supreme Court-002,Michael Wheat,IND,MT,Incumbent,Won-General,162658.0,nan
Supreme Court-002,Lawrence Vandyke,IND,MT,Challenger,Lost-General,133817.68,nan
Supreme Court,James Rice Jr.,IND,MT,Incumbent,Won-General,73715.05,nan
State Senator,Franke Wilmer,DEM,MT,Open,Lost-General,43715.73,32
State Senator,Kris Hansen,REP,MT,Challenger,Won-General,41712.89,14
State Senator,Llewelyn Jones,REP,MT,Incumbent,Won-General,40634.72,9
State Senator,Mark Wade Blasdel,REP,MT,Open,Won-General,37440.99,4
Public Service Commissioner District 005,Brad Johnson,REP,MT,Open,Won-General,37130.6,nan
State Representative,Janet Ellis,DEM,MT,Open,Won-General,37013.81,81
State Representative,Dave Strohmaier,DEM,MT,Challenger,Lost-General,36333.33,92
State Senator,Joe Dooling,REP,MT,Open,Lost-General,36069.0,42
State Senator,Vonnie Brown,DEM,MT,Challenger,Lost-General,34409.0,11
State Representative,Jeffrey Essmann,REP,MT,Open,Won-General,34365.0,54
State Representative,Albert Olszewski,REP,MT,Open,Won-General,33107.89,11
State Representative,Steven Fitzpatrick,REP,MT,Incumbent,Won-General,32420.89,20
State Senator,Mary McNally,DEM,MT,Open,Won-General,31384.09,24
Public Service Commissioner District 005,Galen Hollenbaugh,DEM,MT,Open,Lost-General,30384.28,nan
State Senator,Jedediah Lee Hinkle,REP,MT,Open,Won-General,30254.66,32
State Representative,Moffie Funk,DEM,MT,Challenger,Won-General,29630.0,82
State Senator,Diane Sands,DEM,MT,Open,Won-General,27846.0,49
State Senator,Cary Smith,REP,MT,Open,Won-General,27411.0,27
State Representative,Liz Bangerter,REP,MT,Incumbent,Lost-General,27063.98,82
State Representative,Dennis Robert Lenz,REP,MT,Incumbent,Lost-General,26342.16,48
State Senator,Brian Hoven,REP,MT,Open,Won-General,26108.94,13
State Representative,Daniel Zolnikov,REP,MT,Incumbent,Won-General,25693.29,45
State Representative,Virginia Court,DEM,MT,Incumbent,Won-General,25305.06,50
State Representative,Mitzi Vorachek,DEM,MT,Open,Lost-General,24701.0,58
State Senator,Patrick Connell,REP,MT,Open,Won-General,24429.01,43
State Senator,Greg Jergeson,DEM,MT,Incumbent,Lost-General,24033.1,14
State Senator,Gordon Vance,REP,MT,Open,Won-General,23617.0,34
State Representative,Tony Odonnell,REP,MT,Challenger,Lost-General,23309.0,51
State Representative,Mary Anne Dunwell,DEM,MT,Challenger,Won-General,22635.72,84
State Senator,Duane Ankney,REP,MT,Open,Won-General,21758.0,20
State Representative,Robin Allan Cook,REP,MT,Incumbent,Won-General,21191.12,18
State Senator,Francis Edward Buttrey,REP,MT,Incumbent,Won-General,21176.01,11
State Representative,Steve Gibson,REP,MT,Incumbent,Lost-General,21093.0,84
State Senator,Mary Sheehy Moe,DEM,MT,Open,Won-General,20148.76,12
State Representative,Debra Lamm,REP,MT,Challenger,Won-General,19719.39,60
State Representative,Zach Brown,DEM,MT,Open,Won-General,19326.0,63
State Representative,Seth Berglee,REP,MT,Open,Won-General,19084.0,58
