office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Mark Emery Udall,DEM,CO,Incumbent,Lost-General,19768363.38,nan
U.S. Senator,Cory Gardner,REP,CO,Challenger,Won-General,11137781.31,nan
Governor,John Hickenlooper,DEM,CO,Incumbent,Won-General,5626403.42,nan
U.S. Representative,Andrew Romanoff,DEM,CO,Challenger,Lost-General,5132748.19,6
U.S. Representative,Michael Coffman,REP,CO,Incumbent,Won-General,4808335.75,6
Governor,Robert Beauprez,REP,CO,Challenger,Lost-General,2901288.93,nan
U.S. Representative,Edwin Perlmutter,DEM,CO,Incumbent,Won-General,2056864.49,7
U.S. Representative,Kenneth Buck,REP,CO,Open,Won-General,1299201.91,4
U.S. Representative,Scott Tipton,REP,CO,Incumbent,Won-General,1284602.01,3
U.S. Representative,Jared Schutz Polis,DEM,CO,Incumbent,Won-General,1210287.96,2
U.S. Representative,Diana Degette,DEM,CO,Incumbent,Won-General,1041647.09,1
Treasurer,Walker Stapleton,REP,CO,Incumbent,Won-General,866147.57,nan
U.S. Representative,Irving Halter Jr.,DEM,CO,Challenger,Lost-General,834934.74,5
Attorney General,Donald Quick,DEM,CO,Open,Lost-General,588693.02,nan
Secretary Of State,Joseph Neguse,DEM,CO,Open,Lost-General,588341.43,nan
Treasurer,Elizabeth Markey,DEM,CO,Challenger,Lost-General,582049.4,nan
Attorney General,Cynthia Coffman,REP,CO,Open,Won-General,512469.82,nan
U.S. Representative,Douglas Lamborn,REP,CO,Incumbent,Won-General,488820.06,5
U.S. Representative,George Leing,REP,CO,Challenger,Lost-General,360970.33,2
U.S. Representative,Donald W Ytterberg,REP,CO,Challenger,Lost-General,296574.29,7
Secretary Of State,Wayne Williams,REP,CO,Open,Won-General,287069.21,nan
U.S. Representative,Abel Tapia,DEM,CO,Challenger,Lost-General,279186.35,3
Governor,Steven House,REP,CO,Open,Lost-Convention,267057.34,nan
State Senator,Norma Jeanne Nicholson,DEM,CO,Incumbent,Lost-General,256449.29,16
State Senator,Rachel Zenzinger,DEM,CO,Incumbent,Lost-General,247326.29,19
State Senator,Andy Kerr,DEM,CO,Incumbent,Won-General,224186.93,22
U.S. Senator,Steve Shogan,IND,CO,Challenger,Lost-General,215601.0,nan
Governor,Gregory Brophy,REP,CO,Open,Lost-Convention,197223.88,nan
State Senator,Cheri Jahn,DEM,CO,Incumbent,Won-General,188755.72,20
State Representative,Daniel Kagan,DEM,CO,Incumbent,Won-General,173769.35,3
State Senator,Michael George Merrifield,DEM,CO,Challenger,Won-General,167409.86,11
State Representative,Michael Edward McLachlan,DEM,CO,Incumbent,Lost-General,164919.62,59
State Senator,Kerry Donovan,DEM,CO,Open,Won-General,160960.82,5
State Senator,Timothy Patrick Neville,REP,CO,Challenger,Won-General,151667.84,16
State Senator,Judy Solano,DEM,CO,Open,Lost-General,151466.0,24
State Representative,Dianne Primavera,DEM,CO,Incumbent,Won-General,144851.25,33
State Representative,Tracy Kraft-Tharp,DEM,CO,Incumbent,Won-General,141667.8,29
State Representative,Brittany Pettersen,DEM,CO,Incumbent,Won-General,139843.21,28
State Representative,David Young,DEM,CO,Incumbent,Won-General,138638.44,50
State Representative,Alec Walter Garnett,DEM,CO,Open,Won-General,138450.53,2
State Senator,Donald Joseph Suppes,REP,CO,Open,Lost-General,133828.59,5
State Senator,Laura Woods,REP,CO,Challenger,Won-General,133657.66,19
State Representative,Max Tyler,DEM,CO,Incumbent,Won-General,130083.66,23
State Senator,Leroy Garcia Jr.,DEM,CO,Challenger,Won-General,129962.51,3
State Representative,Sanford Lee,DEM,CO,Incumbent,Won-General,127333.77,18
State Representative,Paul Brown,REP,CO,Challenger,Won-General,123702.54,59
State Representative,Terri Carver,REP,CO,Open,Won-General,116920.13,20
State Senator,William Herpin Jr.,REP,CO,Incumbent,Lost-General,112427.6,11
State Representative,Thomas Exum Sr.,DEM,CO,Incumbent,Lost-General,110306.56,17
State Representative,Jessie Danielson,DEM,CO,Open,Won-General,107942.12,24
State Representative,Jonathan Keyser,REP,CO,Open,Won-General,104842.08,25
State Representative,John Buckner,DEM,CO,Incumbent,Won-General,99705.82,40
State Representative,Faith Winter,DEM,CO,Open,Won-General,92870.44,35
State Representative,Jennifer James Arndt,DEM,CO,Open,Won-General,90677.94,53
State Senator,Romualdo Anthony Sanchez,REP,CO,Challenger,Lost-General,90577.38,22
State Senator,John Cooke III,REP,CO,Open,Won-General,83799.39,13
State Representative,Millie Anne Hamner,DEM,CO,Incumbent,Won-General,83516.0,61
State Representative,Joann Ginal,DEM,CO,Incumbent,Won-General,82354.26,52
State Representative,Clarice Navarro-Ratzlaff,REP,CO,Incumbent,Won-General,80957.73,47
State Representative,Janet Heck Doyle,DEM,CO,Open,Lost-General,77604.3,25
Board Of Regents District 006,Naquetta Orchid Ricks,DEM,CO,Open,Lost-General,71865.0,nan
State Representative,Diane Mitsch Bush,DEM,CO,Incumbent,Won-General,68636.18,26
State Representative,Candice Lee Benge,REP,CO,Challenger,Lost-General,66804.42,3
Board Of Regents District 002,Linda Joan Shoemaker,DEM,CO,Open,Won-General,65006.81,nan
State Representative,Mary Parker,DEM,CO,Challenger,Lost-General,64627.04,22
State Representative,Jonathan Stuart Singer,DEM,CO,Incumbent,Won-General,64161.67,11
State Representative,Angela Williams,DEM,CO,Incumbent,Won-General,63958.7,7
State Representative,Libby Szabo,REP,CO,Incumbent,Won-General,62395.0,27
U.S. Representative,Vic Meyers,DEM,CO,Open,Lost-General,61904.77,4
State Senator,Ellen Stuart Roberts,REP,CO,Incumbent,Won-General,61438.8,6
State Representative,Yeulin Willett,REP,CO,Open,Won-General,60696.26,54
State Representative,Gordon Klingenschmitt,REP,CO,Open,Won-General,59559.4,15
State Representative,Marijo Tinlin,REP,CO,Challenger,Lost-General,58423.6,33
State Representative,Daneya Leigh Esgar,DEM,CO,Open,Won-General,57326.68,46
Governor,Michael Kenneth Dunafon,IND,CO,Challenger,Lost-General,53470.0,nan
State Representative,Jenise May,DEM,CO,Incumbent,Lost-General,50533.32,30
State Representative,Isaia Aricayos,REP,CO,Challenger,Lost-General,49594.21,50
State Representative,Catherine Roupe,REP,CO,Challenger,Won-General,49146.18,17
State Senator,George Rivera,REP,CO,Incumbent,Lost-General,48038.79,3
State Representative,John Tate,REP,CO,Open,Won-General,46404.09,37
State Senator,Chris Holbert,REP,CO,Open,Won-General,44407.34,30
State Representative,Rhonda Fields,DEM,CO,Incumbent,Won-General,44171.99,42
State Representative,Kathleen Collins Becker,DEM,CO,Incumbent,Won-General,43310.0,13
State Representative,Su Ryden,DEM,CO,Incumbent,Won-General,39981.0,36
State Representative,Daniel Thurlow,REP,CO,Open,Won-General,39978.79,55
State Representative,Crisanta Duran,DEM,CO,Incumbent,Won-General,39977.6,5
State Representative,Nancy Cronk,DEM,CO,Open,Lost-General,39563.59,37
State Representative,Michael Christopher Schlierf,REP,CO,Challenger,Lost-General,38444.48,18
State Representative,Paul Bradley Rosenthal,DEM,CO,Incumbent,Won-General,38247.27,9
State Senator,Kevin Grantham,REP,CO,Incumbent,Won-General,38224.99,2
State Senator,Ray Scott,REP,CO,Open,Won-General,38195.0,7
State Senator,Larry Queen,REP,CO,Challenger,Lost-General,37592.36,20
State Representative,Daniel Paul Nordberg,REP,CO,Incumbent,Won-General,37463.38,14
State Representative,Justin Everett,REP,CO,Incumbent,Won-General,36948.43,22
State Senator,Jerry Sonnenberg,REP,CO,Open,Won-General,36730.0,1
State Senator,Beth Martinez Humenik,REP,CO,Open,Won-General,36225.2,24
State Representative,Dominick Anselmo Moreno,DEM,CO,Incumbent,Won-General,35443.11,32
State Representative,Paul Harold Lundeen,REP,CO,Open,Won-General,35020.7,19
State Representative,Susan Lontine,DEM,CO,Open,Won-General,34794.35,1
Board Of Education District 007,Jane Goff,DEM,CO,Incumbent,Won-General,34473.68,nan
Board Of Regents District 006,John Carson,REP,CO,Open,Won-General,33450.36,nan
State Representative,Robert Rankin,REP,CO,Incumbent,Won-General,32550.0,57
State Representative,Debra-Lynn Irvine,REP,CO,Challenger,Lost-General,31902.9,61
State Representative,Steve Lebsock,DEM,CO,Incumbent,Won-General,30919.01,34
State Senator,Lucia Guzman,DEM,CO,Incumbent,Won-General,30898.25,34
