office,candidate,party,state,incumbency,result,total money,district
State Representative,Margo McDermed,REP,IL,Open,Won-General,157129.75,37
State Representative,Rich Brauer,REP,IL,Incumbent,Won-General,156327.0,87
State Representative,John Cavaletto,REP,IL,Incumbent,Won-General,155894.28,107
State Representative,Lawrence Walsh,DEM,IL,Incumbent,Won-General,153466.21,86
State Representative,Charles Meier,REP,IL,Incumbent,Won-General,152505.08,108
State Representative,Silvana Tabares,DEM,IL,Incumbent,Won-General,151485.28,21
State Representative,Frances Ann Hurley,DEM,IL,Incumbent,Won-General,148325.26,35
State Representative,Bill Mitchell,REP,IL,Incumbent,Won-General,147374.23,101
State Representative,Kelly Cassidy,DEM,IL,Incumbent,Won-General,147310.92,14
State Representative,Keith Wheeler,REP,IL,Open,Won-General,145876.9,50
State Representative,Kenneth Dunkin,DEM,IL,Incumbent,Won-General,145312.38,5
State Representative,Robert Pritchard,REP,IL,Incumbent,Won-General,144784.0,70
State Representative,Linda Chapa Lavia,DEM,IL,Incumbent,Won-General,144058.37,83
State Representative,William Davis,DEM,IL,Incumbent,Won-General,139832.71,30
State Representative,Gregory Harris,DEM,IL,Incumbent,Won-General,139118.64,13
State Representative,Rita Mayfield,DEM,IL,Incumbent,Won-General,136395.39,60
State Representative,Ramiro Juarez,REP,IL,Challenger,Lost-General,136006.91,44
State Representative,Pamela Reaves-Harris,DEM,IL,Open,Won-General,134290.83,10
State Representative,Kelly Burke,DEM,IL,Incumbent,Won-General,131494.24,36
State Representative,Steven Andersson,REP,IL,Open,Won-General,130838.02,65
State Representative,Reginald Phillips,REP,IL,Open,Won-General,130481.75,110
State Representative,Jeanne Ives,REP,IL,Incumbent,Won-General,127144.7,42
State Representative,Andre Thapedi,DEM,IL,Incumbent,Won-General,125650.0,32
State Representative,Kathleen Myalls,REP,IL,Challenger,Lost-General,123160.22,17
State Representative,Ann Williams,DEM,IL,Incumbent,Won-General,121636.17,11
State Senator,Tim Bivins,REP,IL,Incumbent,Won-General,121256.55,45
State Representative,Eddie Lee Jackson,DEM,IL,Incumbent,Won-General,114265.01,114
State Representative,Krishna Bansal,REP,IL,Challenger,Lost-General,108569.49,84
State Representative,Joe Sosnowski,REP,IL,Incumbent,Won-General,107809.06,69
State Representative,Michael Fortner,REP,IL,Incumbent,Won-General,97845.25,49
State Representative,Barbara Wheeler,REP,IL,Incumbent,Won-General,96347.31,64
