office,candidate,party,state,incumbency,result,total money,district
Governor,Jennifer Granholm,DEM,MI,Open,Won-General,9001408.07,nan
Governor,Richard Posthumus,REP,MI,Open,Lost-General,4546343.4,nan
Secretary Of State,Terri Lynn Land,REP,MI,Open,Won-General,2089729.01,nan
State Senator,Tony Stamas,REP,MI,Open,Won-General,1047497.0,36
Attorney General,Michael Cox,REP,MI,Open,Won-General,976637.55,nan
Attorney General,Gary Peters,DEM,MI,Open,Lost-General,854073.15,nan
Secretary Of State,Melvin Butch Hollowell Jr.,DEM,MI,Open,Lost-General,692237.67,nan
Supreme Court-Weaver Seat,Robert Young Jr.,IND,MI,Incumbent,Won-General,622512.52,nan
State Senator,Thomas George,REP,MI,Open,Won-General,561904.35,20
State Senator,Edward Laforge,DEM,MI,Open,Lost-General,534426.0,20
State Senator,Steve Pestka,DEM,MI,Open,Lost-General,467766.28,29
State Senator,Shirley Johnson,REP,MI,Incumbent,Won-General,443264.65,13
State Senator,Bruce Patterson,REP,MI,Open,Won-General,441304.23,7
State Senator,Bill Hardiman,REP,MI,Open,Won-General,437880.54,29
State Senator,Laura Toy,REP,MI,Open,Won-General,417847.6,6
State Senator,Gerald Van Woerkom,REP,MI,Open,Won-General,375044.49,34
State Senator,Paul Deweese,REP,MI,Open,Lost-General,333130.13,23
State Senator,Kenneth Sikkema,REP,MI,Open,Won-General,299936.39,28
State Senator,Beverly Hammerstrom,REP,MI,Incumbent,Won-General,293692.9,17
Supreme Court-Weaver Seat,Elizabeth Weaver,IND,MI,Incumbent,Won-General,281079.07,nan
State Senator,Mark Hamilton Schauer,DEM,MI,Open,Won-General,274722.16,19
State Senator,Michael Switalski,DEM,MI,Open,Won-General,261985.12,10
State Representative,Michael Nofs,REP,MI,Open,Won-General,254386.67,62
State Senator,Virgil Bernero,DEM,MI,Open,Won-General,242457.25,23
State Senator,Nancy Cassis,REP,MI,Open,Won-General,241717.55,15
State Senator,Michelle McManus,REP,MI,Open,Won-General,240633.52,35
State Senator,Deborah Cherry,DEM,MI,Open,Won-General,237740.11,26
State Representative,Daniel Acciavatti,REP,MI,Open,Won-General,208682.93,32
State Senator,Michael Goschka,REP,MI,Open,Won-General,203701.87,32
State Representative,Shelley Goodman Taub,REP,MI,Open,Won-General,203200.8,40
State Representative,Douglas Higgins,REP,MI,Open,Won-General,200617.84,52
State Senator,Michael Estes,DEM,MI,Open,Lost-General,199425.82,37
State Senator,Judson Gilbert II,REP,MI,Open,Won-General,192726.95,25
State Representative,Brian Palmer,REP,MI,Open,Won-General,189950.34,36
State Senator,Jason Allen,REP,MI,Open,Won-General,188196.3,37
State Senator,Michael Bishop,REP,MI,Open,Won-General,185796.77,12
State Senator,Bob Shrauger,DEM,MI,Open,Lost-General,185699.2,34
State Senator,Michael Green,REP,MI,Open,Lost-General,175606.5,31
State Representative,John Hertel,DEM,MI,Open,Lost-General,174553.96,32
State Representative,Marc Shulman,REP,MI,Incumbent,Won-General,170755.0,39
State Senator,Gilda Jacobs,DEM,MI,Open,Won-General,163638.18,14
State Senator,Andy Neumann,DEM,MI,Open,Lost-General,159551.0,36
State Representative,Laurie Stupak,DEM,MI,Open,Lost-General,159424.59,108
State Senator,James Barcia,DEM,MI,Open,Won-General,155711.45,31
State Representative,David Farhat,REP,MI,Open,Won-General,152402.88,91
State Senator,Michael Mortimer,REP,MI,Open,Lost-General,151009.58,19
State Representative,Rick Johnson,REP,MI,Incumbent,Won-General,150084.75,102
State Representative,Howard Walker,REP,MI,Open,Won-General,148810.0,104
State Representative,Germaine Kooiman,REP,MI,Incumbent,Won-General,148792.64,75
State Representative,John Brandenburg,REP,MI,Open,Won-General,143869.85,24
State Senator,Samuel Buzz Thomas III,DEM,MI,Open,Won-General,132809.0,4
State Senator,Liz Brater,DEM,MI,Open,Won-General,132754.29,18
State Representative,William Huizenga,REP,MI,Open,Won-General,132320.0,90
State Representative,David Wyman,REP,MI,Open,Lost-General,129212.2,106
State Representative,David Robertson,REP,MI,Challenger,Won-General,129177.32,51
State Senator,Patricia Birkholz,REP,MI,Open,Won-General,127516.43,24
State Senator,Robert Emerson,DEM,MI,Open,Won-General,126955.77,27
State Senator,Burton Leland,DEM,MI,Incumbent,Won-General,125085.04,5
State Representative,Barbara Vander Veen,REP,MI,Incumbent,Won-General,122310.37,89
State Senator,Eileen Dehart,DEM,MI,Open,Lost-General,120473.04,6
State Representative,Lisa Wojno,DEM,MI,Open,Won-General,119354.9,28
State Representative,Scott Shackleton,REP,MI,Incumbent,Won-General,118584.58,107
State Senator,Michael Hanley,DEM,MI,Open,Lost-General,114749.27,32
State Representative,Edward Gaffney,REP,MI,Open,Won-General,113482.98,1
State Senator,Michael Prusi,DEM,MI,Open,Won-General,112209.18,38
State Representative,Stephen Ehardt,REP,MI,Incumbent,Won-General,108953.0,83
State Representative,Larry Julian,REP,MI,Incumbent,Won-General,108248.4,85
State Representative,Ruth Johnson,REP,MI,Incumbent,Won-General,107588.53,46
State Representative,Randy Richardville,REP,MI,Incumbent,Won-General,107045.99,56
State Representative,James Howell,REP,MI,Incumbent,Won-General,104995.9,94
Attorney General,Jerry Kaufman,GRN,MI,Open,Lost-General,104233.92,nan
State Senator,Ronald Jelinek,REP,MI,Open,Won-General,102327.13,21
State Representative,Lorence Wenke,REP,MI,Open,Won-General,101451.2,63
State Senator,Cameron Brown,REP,MI,Open,Won-General,100545.69,16
State Senator,Thomas Hamilton,DEM,MI,Open,Lost-General,98959.29,25
State Representative,Thomas Casperson,REP,MI,Open,Won-General,98607.49,108
State Representative,Matt Gillard,DEM,MI,Open,Won-General,98011.0,106
State Senator,Alan Cropsey,REP,MI,Open,Won-General,97717.4,33
State Representative,John Moolenaar,REP,MI,Open,Won-General,97592.02,98
State Senator,Valde Garcia,REP,MI,Open,Won-General,95773.57,22
State Representative,Aldo Vagnozzi,DEM,MI,Open,Won-General,95770.25,37
State Representative,Peter Vander Meulen,DEM,MI,Challenger,Lost-General,94196.0,75
State Representative,Patricia Lockwood,DEM,MI,Incumbent,Lost-General,93825.09,51
State Representative,Pamela Byrnes,DEM,MI,Open,Lost-General,89728.88,52
State Representative,Shelli Weisberg,DEM,MI,Open,Lost-General,88294.84,40
State Representative,Roger Handy,REP,MI,Open,Lost-General,86632.46,17
