office,candidate,party,state,incumbency,result,total money,district
Governor,Janet Napolitano,DEM,AZ,Open,Won-General,2302811.0,nan
Governor,Matt Salmon,REP,AZ,Open,Lost-General,2182555.01,nan
Governor,Richard Mahoney,IND,AZ,Open,Lost-General,1708809.57,nan
Superintendent Of Public Instruction,Thomas Horne,REP,AZ,Open,Won-General,601821.17,nan
Attorney General,Andrew Thomas,REP,AZ,Open,Lost-General,423252.92,nan
Secretary Of State,Jan Brewer,REP,AZ,Open,Won-General,370988.98,nan
Secretary Of State,Christopher Cummiskey,DEM,AZ,Open,Lost-General,258605.47,nan
Attorney General,Terry Goddard,DEM,AZ,Open,Won-General,238600.0,nan
State Senator,Barbara Leff,REP,AZ,Open,Won-General,136328.05,11
Corporation Commissioner,Jeffrey Hatch Miller,REP,AZ,Open,Won-General,124018.78,nan
Corporation Commissioner,James Walsh,DEM,AZ,Open,Lost-General,120430.0,nan
Corporation Commissioner,Jim Irvin,REP,AZ,Open,Won-General,119510.0,nan
Superintendent Of Public Instruction,Jay Blanchard,DEM,AZ,Open,Lost-General,119425.0,nan
Corporation Commissioner,George Cunningham,DEM,AZ,Open,Lost-General,116920.0,nan
Treasurer,David Petersen,REP,AZ,Open,Won-General,115942.67,nan
Corporation Commissioner,Roland James,DEM,AZ,Open,Lost-General,113360.0,nan
State Senator,James Weiers,REP,AZ,Open,Won-General,110871.06,10
Treasurer,Ruth Solomon,DEM,AZ,Open,Lost-General,107880.0,nan
State Representative,Deb Gullett,REP,AZ,Open,Won-General,98952.3,11
State Senator,Slade Mead,REP,AZ,Open,Won-General,94145.19,20
State Senator,Peter Mahoney,DEM,AZ,Open,Lost-General,73875.0,12
State Representative,Franklin Flake,REP,AZ,Open,Won-General,70845.0,5
State Representative,Stephen Tully,REP,AZ,Open,Won-General,65621.3,11
State Representative,Colette Rosati,REP,AZ,Open,Won-General,62681.18,8
State Senator,Judy Kennedy,DEM,AZ,Open,Lost-General,61675.0,10
State Mine Inspector,Hon Douglas Martin,REP,AZ,Incumbent,Won-General,60788.17,nan
State Representative,Lucy Mason,REP,AZ,Challenger,Won-General,58362.65,1
State Senator,Jacqueline Jessie,DEM,AZ,Open,Lost-General,58124.04,3
State Representative,Ray Barnes,REP,AZ,Open,Won-General,57907.32,7
State Mine Inspector,Kenneth Hallock,DEM,AZ,Challenger,Lost-General,55225.0,nan
State Representative,Debbie McCune-Davis,DEM,AZ,Open,Won-General,52105.22,14
State Representative,Michele Reagan,REP,AZ,Open,Won-General,51771.37,8
State Representative,Robert Meza,DEM,AZ,Open,Won-General,51220.32,14
State Senator,Linda Binder,REP,AZ,Open,Won-General,50196.96,3
State Senator,Jim Waring,REP,AZ,Open,Won-General,50167.52,7
State Senator,Laura Knaperek,REP,AZ,Open,Lost-General,49776.5,17
State Senator,Kimberly Swanson,LIB,AZ,Open,Lost-General,49264.0,28
State Senator,Kenneth Roy Bennett,REP,AZ,Incumbent,Won-General,49231.84,1
State Representative,Bill Jeffers,DEM,AZ,Open,Lost-General,48957.06,5
State Representative,John Nelson,REP,AZ,Open,Won-General,48902.93,12
State Representative,Claudia Maestas,DEM,AZ,Open,Lost-General,48707.06,5
State Representative,Steve Huffman,REP,AZ,Open,Won-General,48701.0,26
State Representative,William Konopnicki,REP,AZ,Open,Won-General,45097.5,5
State Senator,Carolyn Allen,REP,AZ,Open,Won-General,44490.0,8
State Representative,Tom Ohalleran,REP,AZ,Challenger,Won-General,44448.19,1
Corporation Commissioner,Mike Gleason,REP,AZ,Open,Won-General,44208.12,nan
State Senator,Stuart Starky,DEM,AZ,Open,Lost-General,43415.87,11
State Senator,Dawn Knight,DEM,AZ,Challenger,Lost-General,42869.91,1
State Senator,Robert Blendu,REP,AZ,Open,Won-General,42110.0,12
State Representative,Gary Pierce,REP,AZ,Open,Won-General,41937.5,19
State Representative,Douglas Quelland,REP,AZ,Open,Won-General,41633.78,10
State Representative,Bob Schwartz,DEM,AZ,Open,Lost-General,41613.74,30
State Senator,Yuri Downing,LIB,AZ,Open,Lost-General,41481.43,17
State Representative,Henry Camarot,DEM,AZ,Incumbent,Lost-General,41141.45,1
State Senator,Toni Leigh Hellon,REP,AZ,Open,Won-General,40187.28,26
State Representative,Ken Moore,DEM,AZ,Open,Lost-General,39835.0,21
State Representative,Mike Langmead,DEM,AZ,Open,Lost-General,39402.74,30
State Senator,Gabrielle Giffords,DEM,AZ,Open,Won-General,39069.0,28
State Senator,Harry Mitchell,DEM,AZ,Open,Won-General,37912.93,17
State Senator,Robert Burns,REP,AZ,Open,Won-General,37676.33,9
State Senator,Marsha Arzberger,DEM,AZ,Open,Won-General,37478.45,25
State Representative,Edward Poelstra,REP,AZ,Open,Lost-General,37255.0,28
State Representative,Ken Clark,DEM,AZ,Open,Won-General,36464.54,15
State Senator,Dean Martin,REP,AZ,Open,Won-General,36332.77,6
State Senator,Ken Cheuvront,DEM,AZ,Open,Won-General,35841.7,15
State Representative,Dale Despain,REP,AZ,Open,Lost-General,35776.5,17
State Representative,Mark Thompson,REP,AZ,Open,Won-General,34992.5,17
State Representative,Darlene Pany,DEM,AZ,Open,Lost-General,34947.5,17
State Senator,William Brotherton Jr.,DEM,AZ,Open,Won-General,34847.35,14
State Representative,Phil Hanson,REP,AZ,Open,Won-General,34502.69,9
State Representative,Laurie Larson,DEM,AZ,Open,Lost-General,33926.0,6
State Senator,Paul Cash,DEM,AZ,Open,Lost-General,33325.0,19
State Representative,David Thomas Bradley,DEM,AZ,Open,Won-General,33279.25,28
State Representative,John Huppenthal,REP,AZ,Open,Won-General,32854.4,20
State Representative,Samuel Wercinski,DEM,AZ,Open,Lost-General,32743.5,11
State Representative,Paul Matt Dedonati,LIB,AZ,Open,Lost-General,32520.49,17
State Representative,Bill Wagner,REP,AZ,Open,Won-General,32458.18,3
State Representative,Peter Hershberger IV,REP,AZ,Open,Won-General,32009.33,26
State Representative,Ernest Bustamante,DEM,AZ,Open,Won-General,31970.0,23
State Representative,Meg Burton-Cahill,DEM,AZ,Open,Won-General,31891.75,17
State Representative,Trevor Clevenger,LIB,AZ,Open,Lost-General,31817.5,17
State Representative,Matthew Capalby,DEM,AZ,Open,Lost-General,31708.28,3
State Representative,Theodore Downing,DEM,AZ,Open,Won-General,31225.0,28
State Representative,Charles Gray,REP,AZ,Open,Won-General,30826.0,19
State Representative,Ginny Chin,DEM,AZ,Open,Lost-General,30754.93,8
State Representative,Robert Cannell,DEM,AZ,Open,Won-General,30652.82,24
State Representative,Bob Robson,REP,AZ,Open,Won-General,30435.0,20
State Senator,Brent Whiting Brown,DEM,AZ,Open,Lost-General,30150.0,22
State Representative,Steve Yarbrough,REP,AZ,Open,Won-General,30130.0,21
State Representative,Tom Boone,REP,AZ,Open,Won-General,30120.0,4
State Representative,John Atkins,REP,AZ,Open,Lost-General,30050.0,14
State Representative,David Brett Benedict,REP,AZ,Open,Lost-General,30045.0,23
State Representative,Jacqueline Thrasher,DEM,AZ,Open,Lost-General,29797.49,10
State Representative,Peter Hershfield,DEM,AZ,Open,Lost-General,29720.0,9
State Senator,Richard Miranda,DEM,AZ,Open,Won-General,29719.86,13
State Senator,Thayer Verschoor,REP,AZ,Open,Won-General,29650.98,22
State Representative,John Mahaney Jr.,DEM,AZ,Open,Lost-General,29595.0,4
State Senator,Jack Harper,REP,AZ,Open,Won-General,29429.46,4
State Representative,Jennifer Burns,REP,AZ,Open,Won-General,29259.31,25
State Representative,Shirley McAllister,DEM,AZ,Open,Lost-General,29073.08,9
State Representative,Warde Nichols,REP,AZ,Open,Won-General,28575.45,21
State Representative,William Arnold,REP,AZ,Open,Won-General,28564.06,12
State Representative,Carole Hubbs,REP,AZ,Open,Won-General,28265.0,4
State Senator,Jay Tibshraeny,REP,AZ,Open,Won-General,28095.0,21
State Representative,Christian Frandsen,DEM,AZ,Open,Lost-General,27995.8,10
State Representative,Manuel Alvarez,DEM,AZ,Open,Won-General,27629.55,25
State Representative,Virgel Cain,DEM,AZ,Open,Lost-General,27567.0,7
State Senator,Jeffrey Bollerman,DEM,AZ,Open,Lost-General,27365.0,7
State Representative,Marian McClure,REP,AZ,Open,Won-General,27320.39,30
State Senator,Jorge Luis Garcia,DEM,AZ,Open,Won-General,27033.0,27
State Representative,Richard Glancy,DEM,AZ,Open,Lost-General,27020.0,3
State Representative,Bobbie Lugo,DEM,AZ,Open,Lost-General,26995.0,25
State Representative,Joe Hart,REP,AZ,Open,Won-General,26495.0,3
State Representative,Andrew Biggs,REP,AZ,Open,Won-General,25863.0,22
State Representative,Clancy Jayne,REP,AZ,Open,Won-General,25046.0,6
State Representative,Randall Graf,REP,AZ,Open,Won-General,24717.98,30
State Representative,John Allen,REP,AZ,Open,Won-General,24098.47,7
State Representative,Karen Johnson,REP,AZ,Open,Won-General,24096.0,18
State Representative,Russell Pearce,REP,AZ,Open,Won-General,23615.0,18
State Representative,Cheryl Chase,DEM,AZ,Open,Won-General,23308.07,23
State Senator,Marilyn Jarrett,REP,AZ,Open,Won-General,22955.0,19
State Representative,Wally Straughn,DEM,AZ,Open,Won-General,22844.41,15
State Representative,Kyrsten Sinema,IND,AZ,Open,Lost-General,22717.23,15
State Senator,Dave Stoddard,IND,AZ,Open,Lost-General,22576.09,25
State Representative,Patty Kelly,LIB,AZ,Open,Lost-General,22362.82,24
State Representative,Sharon Lindsay,DEM,AZ,Open,Lost-General,21689.0,6
