office,candidate,party,state,incumbency,result,total money,district
Secretary Of State,John Fernandez,DEM,IN,Open,Lost-General,1307866.27,nan
Secretary Of State,Theodore Rokita,REP,IN,Open,Won-General,917072.86,nan
Treasurer,Timothy Berry,REP,IN,Incumbent,Won-General,573478.32,nan
State Representative,James Douglas Atterholt,REP,IN,Incumbent,Lost-General,483353.86,86
Auditor,Connie Kay Nass,REP,IN,Incumbent,Won-General,455686.45,nan
State Representative,David Orentlicher,DEM,IN,Challenger,Won-General,348310.22,86
State Representative,Alan Chowning,DEM,IN,Open,Won-General,294477.5,45
State Representative,Scott Reske,DEM,IN,Incumbent,Won-General,292335.83,37
Supreme Court Clerk,Brian Bishop,REP,IN,Incumbent,Won-General,278373.61,nan
State Representative,Patrick Bauer,DEM,IN,Incumbent,Won-General,261031.72,6
State Representative,Brian Bosma,REP,IN,Incumbent,Won-General,251476.0,88
State Representative,Richard Hamm,REP,IN,Open,Lost-General,242412.18,56
State Representative,Ralph Winters,DEM,IN,Open,Lost-General,238872.12,17
State Senator,Murray Clark,REP,IN,Incumbent,Won-General,235811.38,29
State Representative,Dale Sturtz,DEM,IN,Incumbent,Lost-General,231840.55,52
Secretary Of State,Kent Benson,REP,IN,Open,Withdrew-General,225253.99,nan
State Senator,Robert Garton,REP,IN,Incumbent,Won-General,199118.76,41
State Senator,Tim Lanane,DEM,IN,Incumbent,Won-General,197752.54,25
State Representative,Steven Heim,REP,IN,Open,Won-General,180872.99,17
State Representative,Carl Baxmeyer,REP,IN,Open,Lost-General,177461.29,8
State Senator,Ron Alting,REP,IN,Incumbent,Won-General,176238.99,22
State Representative,Phillip Pflum,DEM,IN,Open,Won-General,172075.95,56
State Representative,Lynn Rudolph,REP,IN,Challenger,Lost-General,168133.81,30
State Representative,Robert Kuzman,DEM,IN,Incumbent,Won-General,159183.84,19
State Senator,Richard Young Jr.,DEM,IN,Incumbent,Won-General,153708.15,47
State Senator,Jeff Allen Drozda,REP,IN,Open,Won-General,150392.64,21
State Representative,Robert Ray Steele Jr.,REP,IN,Challenger,Lost-General,145218.96,37
State Representative,Ron Herrell,DEM,IN,Incumbent,Won-General,145095.04,30
State Representative,Terri Jo Austin,DEM,IN,Open,Won-General,143869.49,36
State Representative,Brooks Laplante,REP,IN,Challenger,Won-General,137263.42,46
State Representative,Cynthia Jean Noe,REP,IN,Open,Won-General,135608.36,87
State Representative,Andrew Thomas,REP,IN,Open,Won-General,127237.59,44
State Senator,Allie Craycraft Jr.,DEM,IN,Incumbent,Won-General,126852.04,26
State Representative,Craig Raymond Fry,DEM,IN,Incumbent,Won-General,119537.0,5
State Senator,Rose Ann Antich,DEM,IN,Incumbent,Won-General,116612.4,4
State Representative,Eric Koch,REP,IN,Open,Won-General,108584.72,65
State Representative,Winfield Moses Jr.,DEM,IN,Incumbent,Won-General,107712.5,81
State Representative,Dennis Avery,DEM,IN,Incumbent,Won-General,106309.77,75
State Representative,William Roland Stine,REP,IN,Open,Won-General,105795.5,57
State Senator,Timothy Dale Skinner,DEM,IN,Open,Won-General,105553.86,38
State Representative,Bruce Alan Borders,REP,IN,Open,Lost-General,104155.94,45
State Representative,Sheila Klinker,DEM,IN,Incumbent,Won-General,103036.68,27
State Representative,Jonathan David Weinzapfel,DEM,IN,Incumbent,Won-General,102865.61,76
State Representative,Ryan Michael Dvorak,DEM,IN,Open,Won-General,100883.68,8
State Senator,Dr Gary Dillon,REP,IN,Open,Won-General,95493.48,17
State Representative,Ryan Jon Bergman,REP,IN,Challenger,Lost-General,90123.06,72
State Senator,Marshall Shane Stillman,REP,IN,Challenger,Lost-General,89377.39,4
State Representative,Peggy Welch,DEM,IN,Incumbent,Won-General,89197.83,60
State Representative,Matthew Whetstone,REP,IN,Incumbent,Won-General,89077.26,40
State Representative,John Gregory Frenz,DEM,IN,Incumbent,Won-General,89070.0,64
State Representative,Pamela Roth,REP,IN,Challenger,Lost-General,84804.0,19
State Representative,Chester Dobis,DEM,IN,Incumbent,Won-General,81486.49,13
State Representative,William Crawford,DEM,IN,Incumbent,Won-General,81350.0,98
State Representative,Markt Lance Lytle,DEM,IN,Incumbent,Won-General,81023.34,69
State Representative,Eric Wayne Davis,REP,IN,Challenger,Lost-General,80413.59,64
State Representative,Rusell Stilwell,DEM,IN,Incumbent,Won-General,80271.69,74
State Representative,Floyd Dale Grubb,DEM,IN,Incumbent,Won-General,80133.56,42
State Representative,Michael Smith,REP,IN,Incumbent,Won-General,79975.0,16
State Representative,Jack Lutz,REP,IN,Open,Won-General,79712.41,35
State Senator,James Lewis Jr.,DEM,IN,Incumbent,Won-General,78808.67,45
State Representative,Matthew Kelty,REP,IN,Challenger,Lost-General,78362.06,81
State Representative,Jeffrey Keller Espich,REP,IN,Incumbent,Won-General,77378.0,82
State Senator,Thomas Wyss,REP,IN,Incumbent,Won-General,76873.79,15
State Representative,Brian Hasler,DEM,IN,Incumbent,Won-General,76370.0,77
State Senator,Allen Paul,REP,IN,Incumbent,Won-General,76305.27,27
State Senator,Jerry McMullen,REP,IN,Open,Lost-General,68289.95,38
State Senator,Andrew Stillman Phipps,REP,IN,Challenger,Lost-General,67896.41,26
State Senator,David Clayton Ford,REP,IN,Incumbent,Won-General,66920.75,19
State Representative,Ron Liggett,DEM,IN,Incumbent,Won-General,64370.0,33
State Representative,David Crooks,DEM,IN,Incumbent,Won-General,63948.0,63
State Senator,Johnny Nugent,REP,IN,Incumbent,Won-General,63245.0,43
State Representative,Charlie Brown,DEM,IN,Incumbent,Won-General,63041.0,3
State Representative,Robert Bischoff,DEM,IN,Incumbent,Won-General,61781.54,68
State Representative,Carolene Renee Mays,DEM,IN,Open,Won-General,60937.44,94
State Representative,Edmund Mahern,DEM,IN,Incumbent,Won-General,60280.0,97
State Representative,Kathy Kreag Richardson,REP,IN,Incumbent,Won-General,59361.0,29
State Senator,Dorothy Suzanne Landske,REP,IN,Incumbent,Won-General,57918.43,6
State Representative,Lana Schimpf,DEM,IN,Open,Lost-General,57894.04,44
State Representative,Vern Tincher,DEM,IN,Incumbent,Lost-General,57537.76,46
State Representative,Jerry Denbo,DEM,IN,Incumbent,Won-General,57050.0,62
State Senator,Susan Maxson,DEM,IN,Open,Lost-General,56639.26,21
State Representative,David Frizzell,REP,IN,Incumbent,Won-General,55969.64,93
State Representative,Rolla Tiny Adams,DEM,IN,Incumbent,Won-General,55797.0,34
State Representative,Randy Borror,REP,IN,Open,Won-General,55143.79,84
State Representative,David Bradley Yount,REP,IN,Incumbent,Won-General,54305.0,59
State Senator,John Waterman,REP,IN,Incumbent,Won-General,53780.74,39
State Representative,Charles Burton,REP,IN,Incumbent,Won-General,53254.81,58
State Senator,Phil Croft,DEM,IN,Challenger,Lost-General,51294.7,39
State Representative,Donald Lehe,REP,IN,Open,Won-General,49849.75,15
State Representative,William Charles Cochran,DEM,IN,Incumbent,Won-General,49510.0,72
State Representative,John Cornelious Aguilera,DEM,IN,Incumbent,Won-General,49400.78,12
State Representative,Marlin Stutzman,REP,IN,Challenger,Won-General,49311.0,52
State Representative,Robert Cherry,REP,IN,Incumbent,Won-General,49099.75,53
State Representative,Dennie Ray Oxley,DEM,IN,Incumbent,Won-General,48769.32,73
Auditor,Barbara Huston,DEM,IN,Challenger,Lost-General,48700.4,nan
State Representative,Michael Murphy,REP,IN,Incumbent,Won-General,48374.72,90
State Representative,Thomas Saunders,REP,IN,Incumbent,Won-General,46821.4,54
State Senator,Lindel Hume,DEM,IN,Incumbent,Won-General,46638.23,48
State Representative,Sue Scholer,REP,IN,Incumbent,Won-General,44091.94,26
State Representative,Joe Micon,DEM,IN,Challenger,Lost-General,43545.11,26
State Senator,Joseph Harrison,REP,IN,Incumbent,Won-General,43390.25,23
