office,candidate,party,state,incumbency,result,total money,district
Auditor,Claire McCaskill,DEM,MO,Incumbent,Won-General,998769.32,nan
State Senator,Charlie Shields,REP,MO,Open,Won-General,374347.27,34
State Senator,Jim Kreider,DEM,MO,Open,Lost-General,365886.18,20
State Senator,Matthew Bartle,REP,MO,Open,Won-General,336738.5,8
State Senator,Joan Bray,DEM,MO,Open,Won-General,334701.82,24
State Representative,Sam Page,DEM,MO,Open,Won-General,330511.0,82
State Senator,John Cauthorn,REP,MO,Incumbent,Won-General,291055.15,18
State Senator,John Lewis,REP,MO,Open,Lost-General,290489.25,24
State Senator,Sarah Steelman,REP,MO,Incumbent,Won-General,257878.72,16
State Senator,Craig Hosmer,DEM,MO,Open,Lost-General,227082.75,30
State Senator,Jonathan Dolan,REP,MO,Open,Won-General,217745.6,2
State Senator,Ww Gratz,DEM,MO,Open,Lost-General,216883.11,6
State Senator,Dan Clemens,REP,MO,Open,Won-General,216372.8,20
State Senator,Glenda Kelly,DEM,MO,Open,Lost-General,209576.85,34
State Senator,Pat Dougherty,DEM,MO,Incumbent,Won-General,208828.06,4
State Senator,Carl Vogel,REP,MO,Open,Won-General,206120.82,6
State Senator,Sam Berkowitz,DEM,MO,Challenger,Lost-General,180143.67,18
State Senator,John Griesheimer,REP,MO,Open,Won-General,176228.45,26
State Senator,Norma Norma) Champion,REP,MO,Open,Won-General,175352.13,30
State Senator,Delbert Scott,REP,MO,Open,Won-General,174630.01,28
State Representative,Chris Shoemaker,REP,MO,Incumbent,Won-General,161304.61,8
State Representative,John Quinn,REP,MO,Incumbent,Won-General,126671.8,7
State Senator,Stephen Stoll,DEM,MO,Incumbent,Won-General,116861.39,22
State Senator,Gary Nodler,REP,MO,Open,Won-General,115841.1,32
State Representative,Joel Jeffries,REP,MO,Challenger,Lost-General,114983.26,25
State Representative,Catherine Hanaway,REP,MO,Incumbent,Won-General,109971.0,87
State Senator,Rita Heard Days,DEM,MO,Open,Won-General,103828.76,14
State Representative,Jeff Harris,DEM,MO,Open,Won-General,103092.99,23
State Senator,Charles Wheeler,DEM,MO,Open,Won-General,94694.0,10
State Representative,Rob Schaaf,REP,MO,Open,Won-General,94442.51,28
State Representative,Ronald Richard,REP,MO,Open,Won-General,93396.13,129
State Representative,Teresa Hensley,DEM,MO,Open,Lost-General,88719.0,123
State Representative,Thomas Green,DEM,MO,Incumbent,Won-General,88372.82,15
State Representative,Dan Bishop,DEM,MO,Open,Won-General,86831.64,38
State Representative,Fred Kratky,DEM,MO,Open,Won-General,86396.84,65
State Representative,Charles Portwood,REP,MO,Incumbent,Won-General,82596.01,92
State Representative,Mark Abel,DEM,MO,Incumbent,Won-General,80421.65,103
State Representative,Vicki Schneider,REP,MO,Open,Won-General,79553.19,17
State Representative,Bob Dixon,REP,MO,Open,Won-General,77240.74,140
State Representative,Cathy Jolly,DEM,MO,Incumbent,Won-General,75629.06,45
State Representative,Meg Harding,DEM,MO,Incumbent,Lost-General,73669.54,30
State Representative,Trent Skaggs,DEM,MO,Open,Won-General,72834.0,31
State Representative,Vicky Riback Wilson,DEM,MO,Incumbent,Won-General,72196.0,25
