Candidate,Party,State,Office,Incumbency,Result,Total Money
"CORZINE, JON S",DEMOCRATIC,NJ,GOVERNOR,Open,Won-General,44602153.04
"FORRESTER, DOUG",REPUBLICAN,NJ,GOVERNOR,Open,Lost-General,32150657.00
"WISNIEWSKI, JOHN S",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 019,Incumbent,Won-General,911874.10
"ROBERTS, JOE",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 005,Incumbent,Won-General,854983.32
"VAN DREW, JEFF",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 001,Incumbent,Won-General,799175.74
"GREENWALD, LOUIS D",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 006,Incumbent,Won-General,654761.36
"DECROCE, ALEX",REPUBLICAN,NJ,ASSEMBLY DISTRICT 026,Incumbent,Won-General,648304.45
"BARONI, BILL",REPUBLICAN,NJ,ASSEMBLY DISTRICT 014,Incumbent,Won-General,593416.53
"KEAN, SEAN T",REPUBLICAN,NJ,ASSEMBLY DISTRICT 011,Incumbent,Won-General,582492.62
"CORODEMUS, STEVE",REPUBLICAN,NJ,ASSEMBLY DISTRICT 011,Incumbent,Won-General,565473.81
"SIRES, ALBIO",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 033,Incumbent,Won-General,558845.82
"CRYAN, JOSEPH",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 020,Incumbent,Won-General,539080.50
"COHEN, NEIL M",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 020,Incumbent,Won-General,532950.92
"BLEE, FRANCIS J",REPUBLICAN,NJ,ASSEMBLY DISTRICT 002,Incumbent,Won-General,527315.28
"EGAN, JOSEPH V",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 017,Incumbent,Won-General,493826.42
"OTOOLE, KEVIN J",REPUBLICAN,NJ,ASSEMBLY DISTRICT 040,Incumbent,Won-General,480517.17
"CONOVER, KIRK W",REPUBLICAN,NJ,ASSEMBLY DISTRICT 002,Incumbent,Lost-General,469096.11
"GREENSTEIN, LINDA R",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 014,Incumbent,Won-General,464050.30
"CHIVUKULA, UPENDRA J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 017,Incumbent,Won-General,445523.51
"GIBLIN, THOMAS P (TOM)",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 034,Challenger,Won-General,439743.20
"DOHERTY, MATT",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 011,Challenger,Lost-General,425328.11
"GREEN, GERALD (JERRY)",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 022,Incumbent,Won-General,370447.14
"DIEGNAN JR, PATRICK J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 018,Incumbent,Won-General,365736.05
"BIONDI, PETER J",REPUBLICAN,NJ,ASSEMBLY DISTRICT 016,Incumbent,Won-General,357292.58
"COLEMAN, BONNIE WATSON",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 015,Incumbent,Won-General,344310.86
"CARABALLO, WILFREDO",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 029,Incumbent,Won-General,328120.00
"CASTILLO, HECTOR L",INDEPENDENT,NJ,GOVERNOR,Open,Lost-General,324175.00
"PAWLOWSKI, JEFFREY",INDEPENDENT,NJ,GOVERNOR,Open,Lost-General,319574.06
"MANZO, LOUIS M",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 031,Incumbent,Won-General,316617.22
"STENDER, LINDA A",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 022,Incumbent,Won-General,316204.08
"CONAWAY JR, HERBERT C",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 007,Incumbent,Won-General,311307.64
"BARNES JR, PETER J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 018,Incumbent,Won-General,294609.42
"THOMPSON, SAMUEL D",REPUBLICAN,NJ,ASSEMBLY DISTRICT 013,Incumbent,Won-General,268920.77
"SCHAER, GARY S",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 036,Challenger,Won-General,267698.64
"VAS, JOSEPH",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 019,Incumbent,Won-General,256578.31
"MALONE III, JOSEPH R",REPUBLICAN,NJ,ASSEMBLY DISTRICT 030,Incumbent,Won-General,244823.22
"REILLY, JIM",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 011,Challenger,Lost-General,237622.36
"VANDERVALK, CHARLOTTE",REPUBLICAN,NJ,ASSEMBLY DISTRICT 039,Incumbent,Won-General,236890.12
"QUIGLEY, JOAN",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 032,Incumbent,Won-General,231520.06
"BRAMNICK, JON M",REPUBLICAN,NJ,ASSEMBLY DISTRICT 021,Incumbent,Won-General,230872.02
"MAYER, DAVID R",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 004,Incumbent,Won-General,227699.58
"POU, NELIDA (NELLIE)",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 035,Incumbent,Won-General,227288.79
"PENNACCHIO, JOSEPH",REPUBLICAN,NJ,ASSEMBLY DISTRICT 026,Incumbent,Won-General,226333.07
