office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Christopher Van Hollen Jr.,DEM,MD,Open,Won-General,11903288.22,nan
U.S. Representative,Steny Hoyer,DEM,MD,Incumbent,Won-General,3715773.65,5
U.S. Representative,Jamin Ben Raskin,DEM,MD,Open,Won-General,2619503.12,8
U.S. Representative,John Delaney,DEM,MD,Incumbent,Won-General,1951728.12,6
U.S. Senator,Kathryn Szeliga,REP,MD,Open,Lost-General,1577879.21,nan
U.S. Representative,Anthony Brown,DEM,MD,Open,Won-General,1367069.0,4
U.S. Representative,Andrew Harris,REP,MD,Incumbent,Won-General,1296094.46,1
U.S. Representative,Amoretta Hoeber,REP,MD,Challenger,Lost-General,1172875.97,6
U.S. Representative,A Dutch Ruppersberger,DEM,MD,Incumbent,Won-General,1137823.77,2
U.S. Representative,Elijah Cummings,DEM,MD,Incumbent,Won-General,1065100.15,7
U.S. Representative,John Sarbanes,DEM,MD,Incumbent,Won-General,946820.52,3
U.S. Representative,Mark Leroy Plaster,REP,MD,Challenger,Lost-General,500504.6,3
U.S. Representative,Pat McDonough,REP,MD,Challenger,Lost-General,241579.14,2
U.S. Representative,Dan Cox,REP,MD,Open,Lost-General,76955.71,8
U.S. Senator,Margaret Flowers,GRN,MD,Open,Lost-General,74173.52,nan
U.S. Representative,Mark Kenneth Arness,REP,MD,Challenger,Lost-General,52554.16,5
U.S. Representative,Nancy Wallace,GRN,MD,Open,Lost-General,12558.36,8
U.S. Representative,Joe Werner,DEM,MD,Challenger,Lost-General,0.0,1
U.S. Representative,Matt Beers,LIB,MD,Challenger,Lost-General,0.0,1
U.S. Representative,Kristin Kasprzak,LIB,MD,Challenger,Lost-General,0.0,2
U.S. Representative,Nnabu Eze,GRN,MD,Challenger,Lost-General,0.0,3
U.S. Representative,George Edward McDermott,REP,MD,Open,Lost-General,0.0,4
U.S. Representative,Kamesha Clark,GRN,MD,Open,Lost-General,0.0,4
U.S. Representative,George Gluck,GRN,MD,Challenger,Lost-General,0.0,6
U.S. Representative,William Newton,REPUBLICAN WRITEIN,MD,Challenger,Lost-General,0.0,7
U.S. Representative,Corrogan Vaughn,REP,MD,Challenger,Lost-General,0.0,7
U.S. Representative,Myles Hoenig,GRN,MD,Challenger,Lost-General,0.0,7
U.S. Representative,Jasen Wunder,LIB,MD,Open,Lost-General,0.0,8
U.S. Senator,Lih Young,DEM,MD,Open,Lost-General,0.0,nan
U.S. Senator,Charles Smith,DEM,MD,Open,Lost-General,0.0,nan
Supreme Court District 005,Clayton Greene Jr.,IND,MD,Incumbent,Won-Retention,0.0,nan
U.S. Representative,Benjamin Lee Krause,LIB,MD,Open,Lost-General,0.0,4
U.S. Representative,Jason Summers,LIB,MD,Challenger,Lost-General,0.0,5
U.S. Representative,David Howser,LIB,MD,Challenger,Lost-General,0.0,6
Supreme Court District 004,Michele Hotten,IND,MD,Incumbent,Won-Retention,0.0,nan
Appellate Court District 5Th Circuit,Timothy Meredith,IND,MD,Incumbent,Won-Retention,0.0,nan
Appellate Court District 7Th Circuit,Patrick Woodward,IND,MD,Incumbent,Won-Retention,0.0,nan
Appellate Court District At Large-Friedman Seat,Dan Friedman,IND,MD,Incumbent,Won-Retention,0.0,nan
U.S. Representative,Ann Dalrymple,DEM,MD,Challenger,Lost-General,0.0,3
U.S. Representative,Adrian Petrus,DEM,MD,Open,Lost-General,0.0,4
U.S. Representative,Michael Pearson,REPUBLICAN WRITEIN,MD,Challenger,Lost-General,0.0,7
U.S. Representative,Kevin Levester Little,INDEPENDENT WRITEIN,MD,Open,Lost-General,0.0,8
U.S. Senator,Jeffrey Binkins,DEM,MD,Open,Lost-General,0.0,nan
U.S. Senator,Bob Robinson,DEM,MD,Open,Lost-General,0.0,nan
