office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Marco Antonio Rubio,REP,FL,Incumbent,Won-General,17848012.29,nan
U.S. Senator,Patrick Murphy,DEM,FL,Challenger,Lost-General,17843863.82,nan
U.S. Representative,Randy Perkins,DEM,FL,Open,Lost-General,10838957.63,18
U.S. Representative,Laurence Francis Rooney III,REP,FL,Open,Won-General,5150546.0,19
U.S. Representative,Ronald Desantis,REP,FL,Incumbent,Won-General,4733320.44,6
U.S. Representative,Debbie Wasserman Schultz,DEM,FL,Incumbent,Won-General,3949200.9,23
U.S. Representative,Carlos Luis Curbelo,REP,FL,Open,Won-General,3884993.13,26
U.S. Representative,Brian Mast,REP,FL,Open,Won-General,2982562.53,18
U.S. Representative,Neal Patrick Dunn,REP,FL,Open,Won-General,2218213.89,2
U.S. Representative,Charles Joseph Crist Jr.,DEM,FL,Challenger,Won-General,2073382.29,13
U.S. Representative,David Wilson Jolly,REP,FL,Incumbent,Lost-General,1999864.6,13
State Senator,Miguel Diaz De La Portilla,REP,FL,Incumbent,Lost-General,1939126.51,37
State Senator,Anitere Flores,REP,FL,Incumbent,Won-General,1790731.96,39
U.S. Representative,Lois Frankel,DEM,FL,Incumbent,Won-General,1639235.1,21
U.S. Representative,John Mica,REP,FL,Incumbent,Lost-General,1629338.18,7
U.S. Representative,Vern Buchanan,REP,FL,Incumbent,Won-General,1607570.06,16
U.S. Representative,Ileana Ros-Lehtinen,REP,FL,Incumbent,Won-General,1512683.22,27
U.S. Representative,Ted Deutch,DEM,FL,Incumbent,Won-General,1511491.68,22
U.S. Representative,Gus Michael Bilirakis,REP,FL,Incumbent,Won-General,1434943.95,12
U.S. Representative,Valdez Demings,DEM,FL,Open,Won-General,1385976.09,10
U.S. Representative,Mario Diaz-Balart,REP,FL,Incumbent,Won-General,1379223.0,25
State Senator,Dana Young,REP,FL,Open,Won-General,1378606.56,18
U.S. Representative,Jose Antonio Garcia,DEM,FL,Open,Lost-General,1370493.96,26
State Senator,Lizbeth Benacquisto,REP,FL,Incumbent,Won-General,1336617.0,27
U.S. Representative,Dennis Ross,REP,FL,Incumbent,Won-General,1226226.87,15
U.S. Representative,Darren Michael Soto,DEM,FL,Open,Won-General,1185765.4,9
State Senator,Frank Artiles,REP,FL,Challenger,Won-General,1152912.08,40
U.S. Representative,Matt Gaetz,REP,FL,Open,Won-General,1135899.89,1
U.S. Representative,Stephanie Murphy,DEM,FL,Challenger,Won-General,1073495.37,7
State Senator,Keith Perry,REP,FL,Open,Won-General,1070402.09,8
State Senator,Rod Smith,DEM,FL,Open,Lost-General,1019740.23,8
U.S. Representative,Scott Palmer Fuhrman,DEM,FL,Challenger,Lost-General,910916.02,27
U.S. Representative,Bill Posey,REP,FL,Incumbent,Won-General,887983.04,8
U.S. Representative,Daniel Webster,REP,FL,Incumbent,Won-General,870194.86,11
U.S. Representative,John Rutherford,REP,FL,Open,Won-General,834630.38,4
State Senator,Gary Farmer Jr.,DEM,FL,Open,Won-General,816248.14,34
U.S. Representative,Theodore Scott Yoho,REP,FL,Incumbent,Won-General,811470.17,3
U.S. Representative,Alcee Hastings,DEM,FL,Incumbent,Won-General,803611.05,20
State Senator,Deborah Mayfield,REP,FL,Open,Won-General,787638.08,17
State Senator,Joe Negron,REP,FL,Incumbent,Won-General,753961.4,25
U.S. Representative,Kathy Castor,DEM,FL,Incumbent,Won-General,731311.17,14
State Senator,Robert Buesing,DEM,FL,Open,Lost-General,713056.74,18
State Senator,Dennis Baxley,REP,FL,Open,Won-General,683798.53,12
State Senator,Kathleen Passidomo,REP,FL,Open,Won-General,654211.1,28
U.S. Representative,Tom Rooney,REP,FL,Incumbent,Won-General,624214.9,17
State Senator,Jose Javier Rodriguez,DEM,FL,Challenger,Won-General,600080.95,37
