office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Timothy Eugene Scott,REP,SC,Incumbent,Won-General,5982669.12,nan
U.S. Representative,James Clyburn,DEM,SC,Incumbent,Won-General,2169054.32,6
U.S. Representative,Harold Gowdy III,REP,SC,Incumbent,Won-General,1885063.8,4
U.S. Representative,Addison Wilson,REP,SC,Open,Won-General,1152263.81,2
U.S. Representative,John Michael Mulvaney,REP,SC,Incumbent,Won-General,1135313.17,5
U.S. Representative,Hugh Thompson Rice Jr.,REP,SC,Incumbent,Won-General,1095692.94,7
U.S. Representative,Marshall Sanford Jr.,REP,SC,Incumbent,Won-General,741639.0,1
U.S. Representative,Francis Person,DEM,SC,Challenger,Lost-General,706533.0,5
State Senator,Hugh Kenneth Leatherman Sr.,REP,SC,Incumbent,Won-General,622264.77,31
U.S. Representative,Jeff Duncan,REP,SC,Incumbent,Won-General,610465.81,3
State Senator,Luke Rankin,REP,SC,Incumbent,Won-General,326118.83,33
State Senator,William Timmons IV,REP,SC,Open,Won-General,301452.03,6
State Senator,Marvin Lee Bright III,REP,SC,Incumbent,Lost-Primary Runoff,289323.31,12
State Senator,Maymia McLeod,DEM,SC,Open,Won-General,269582.07,22
State Senator,Larry Martin,REP,SC,Incumbent,Lost-Primary Runoff,261515.67,2
State Senator,Stephen Goldfinch Jr.,REP,SC,Open,Won-General,247042.89,34
State Senator,Nikki Giles Setzler,DEM,SC,Incumbent,Won-General,244232.14,26
State Senator,Shane Martin,REP,SC,Incumbent,Won-General,242339.28,13
State Senator,Sandra Senn,REP,SC,Open,Won-General,233592.78,41
State Senator,Larry Grooms,REP,SC,Incumbent,Won-General,214154.41,37
State Senator,Katrina Shealy,REP,SC,Incumbent,Won-General,212243.19,23
State Senator,Thomas Davis,REP,SC,Incumbent,Won-General,210808.4,46
State Senator,Anthony Shane Massey,REP,SC,Incumbent,Won-General,207298.17,25
State Senator,Paul Campbell Jr.,REP,SC,Incumbent,Won-General,205424.16,44
State Senator,Scott Talley,REP,SC,Open,Won-General,201902.63,12
State Senator,John Courson,REP,SC,Incumbent,Won-General,199446.16,20
State Senator,Creighton Coleman,DEM,SC,Incumbent,Lost-Primary Runoff,197462.92,17
State Senator,Susan Brill,REP,SC,Open,Lost-General,193165.46,22
State Senator,Clarence Ross Turner III,REP,SC,Incumbent,Won-General,178090.18,8
State Senator,Kent Williams,DEM,SC,Incumbent,Won-General,172815.81,30
State Representative,Kirkman Finlay III,REP,SC,Incumbent,Won-General,169805.07,75
State Senator,Tom Corbin,REP,SC,Incumbent,Won-General,159735.89,5
State Senator,Roy Maybank,REP,SC,Open,Lost-Primary Runoff,159685.0,41
State Senator,Kevin Bryant,REP,SC,Incumbent,Won-General,148497.8,3
State Senator,Marlon Kimpson,DEM,SC,Incumbent,Won-General,146121.9,42
State Senator,Glenn Reese,DEM,SC,Incumbent,Won-General,139256.96,11
State Senator,Michael Gambrell,REP,SC,Incumbent,Won-General,136428.32,4
