Candidate,Party,State,Office,Incumbency,Result,Total Money
"LYKAM, JIM",DEMOCRATIC,IA,SENATE DISTRICT 045,Incumbent,Pending,40658.00
"SEXTON, MICHAEL V (MIKE)",REPUBLICAN,IA,HOUSE DISTRICT 010,Incumbent,Pending,39710.13
"HEIN, LEE",REPUBLICAN,IA,HOUSE DISTRICT 096,Incumbent,Pending,38620.00
"CARLSON, GARY L",REPUBLICAN,IA,HOUSE DISTRICT 091,Incumbent,Pending,36542.75
"NUNN, ZACHARY (ZACH)",REPUBLICAN,IA,HOUSE DISTRICT 030,Incumbent,Withdrew,35815.00
"SHIPLEY, TOM",REPUBLICAN,IA,SENATE DISTRICT 011,Incumbent,Pending,35458.56
"CELSI, CLAIRE A",DEMOCRATIC,IA,SENATE DISTRICT 021,Open,Pending,34787.58
"BERGMAN, ANNA",REPUBLICAN,IA,HOUSE DISTRICT 044,Open,Pending,34749.46
"STEWART, MARY S",DEMOCRATIC,IA,SENATE DISTRICT 041,Open,Pending,33718.28
"WEAVER, DAVID",DEMOCRATIC,IA,HOUSE DISTRICT 047,Open,Pending,33575.44
"DEJONG, RITA",DEMOCRATIC,IA,HOUSE DISTRICT 006,Challenger,Pending,33076.86
"CLEMENS, JODI",DEMOCRATIC,IA,HOUSE DISTRICT 073,Challenger,Pending,32833.31
"SUNDE, KRISTIN",DEMOCRATIC,IA,HOUSE DISTRICT 042,Challenger,Pending,32794.13
"JONES, MEGAN LEE HESS",REPUBLICAN,IA,HOUSE DISTRICT 002,Incumbent,Pending,31830.00
"WILLS, JOHN H",REPUBLICAN,IA,HOUSE DISTRICT 001,Incumbent,Pending,31152.40
"FITZGERALD, MICHAEL L",DEMOCRATIC,IA,TREASURER,Incumbent,Pending,30876.95
"ANDREWS, CHRISTIAN",DEMOCRATIC,IA,HOUSE DISTRICT 095,Challenger,Pending,30485.40
"MASCHER, MARY",DEMOCRATIC,IA,HOUSE DISTRICT 086,Incumbent,Pending,30013.40
"DONAHUE, MOLLY E",DEMOCRATIC,IA,HOUSE DISTRICT 068,Open,Pending,29921.97
"HALL, CHRIS",DEMOCRATIC,IA,HOUSE DISTRICT 013,Incumbent,Pending,29366.74
"SMITH, JACKIE",DEMOCRATIC,IA,SENATE DISTRICT 007,Open,Pending,29286.40
"MOHR, GARY M",REPUBLICAN,IA,HOUSE DISTRICT 094,Incumbent,Pending,29135.53
"SCHULTZ, JASON",REPUBLICAN,IA,SENATE DISTRICT 009,Incumbent,Pending,28752.53
"WILLIAMS, DAVE",DEMOCRATIC,IA,HOUSE DISTRICT 060,Challenger,Pending,28447.54
"FORBES, JOHN",DEMOCRATIC,IA,HOUSE DISTRICT 040,Incumbent,Pending,27147.72
"OURTH, SCOTT D",DEMOCRATIC,IA,HOUSE DISTRICT 026,Incumbent,Pending,27026.70
"FRY, JOEL",REPUBLICAN,IA,HOUSE DISTRICT 027,Incumbent,Pending,26450.00
"LUNDGREN, SHANNON",REPUBLICAN,IA,HOUSE DISTRICT 057,Incumbent,Pending,26430.00
"ZUMBACH, LOUIE J",REPUBLICAN,IA,HOUSE DISTRICT 095,Incumbent,Pending,25783.08
"GARRETT, JULIAN B",REPUBLICAN,IA,SENATE DISTRICT 013,Incumbent,Pending,25721.72
"LEO, PETER",DEMOCRATIC,IA,HOUSE DISTRICT 012,Challenger,Pending,25718.42
"WINDSCHITL, MATTHEW W (MATT)",REPUBLICAN,IA,HOUSE DISTRICT 017,Incumbent,Pending,25386.36
"BEST, BRIAN L",REPUBLICAN,IA,HOUSE DISTRICT 012,Incumbent,Pending,25316.00
"KNUTSON, TIM",DEMOCRATIC,IA,HOUSE DISTRICT 051,Challenger,Pending,25307.00
"FETT, NANCY",DEMOCRATIC,IA,HOUSE DISTRICT 057,Challenger,Pending,24184.32
"BLOOMINGDALE, JANE E",REPUBLICAN,IA,HOUSE DISTRICT 051,Incumbent,Pending,23768.90
"BRINK, BRENDA",DEMOCRATIC,IA,HOUSE DISTRICT 049,Challenger,Pending,23751.48
"PAUSTIAN, ROSS C",REPUBLICAN,IA,HOUSE DISTRICT 092,Incumbent,Pending,23713.00
"JACOBY, DAVID J",DEMOCRATIC,IA,HOUSE DISTRICT 074,Incumbent,Pending,21806.26
"OLSON, RICK L",DEMOCRATIC,IA,HOUSE DISTRICT 031,Incumbent,Pending,21461.30
"FIELDS, ANN M",DEMOCRATIC,IA,HOUSE DISTRICT 028,Open,Pending,21209.99
"HANUSA, MARY ANN",REPUBLICAN,IA,HOUSE DISTRICT 016,Incumbent,Pending,21177.87
