Candidate,Party,State,Office,Incumbency,Result,Total Money
"RAIMONDO, GINA M",DEMOCRATIC,RI,GOVERNOR,Incumbent,Won,7479325.20
"WHITEHOUSE II, SHELDON",DEMOCRATIC,RI,US SENATE DISTRICT RI SW-CLASS I,Incumbent,Won,6560351.86
"CICILLINE, DAVID N",DEMOCRATIC,RI,US HOUSE DISTRICT RI 001,Incumbent,Won,1563765.17
"LANGEVIN, JAMES R",DEMOCRATIC,RI,US HOUSE DISTRICT RI 002,Incumbent,Won,1120658.47
"FLANDERS, ROBERT",REPUBLICAN,RI,US SENATE DISTRICT RI SW-CLASS I,Challenger,Lost,1068669.70
"FUNG, ALLAN",REPUBLICAN,RI,GOVERNOR,Challenger,Lost,631185.27
"MAGAZINER, SETH M",DEMOCRATIC,RI,TREASURER,Incumbent,Won,563846.03
"REGUNBERG, J AARON",DEMOCRATIC,RI,LIEUTENANT GOVERNOR,Challenger,Lost,480264.17
"RUGGERIO, DOMINICK J",DEMOCRATIC,RI,SENATE DISTRICT 004,Incumbent,Won,443363.27
"MCKEE, DANIEL J (DAN)",DEMOCRATIC,RI,LIEUTENANT GOVERNOR,Incumbent,Won,409833.66
"GORBEA, NELLIE M",DEMOCRATIC,RI,SECRETARY OF STATE,Incumbent,Won,378076.03
"BROWN, MATTHEW A",DEMOCRATIC,RI,GOVERNOR,Challenger,Lost,377564.40
"MATTIELLO, NICHOLAS ANTHONY (NICK)",DEMOCRATIC,RI,HOUSE DISTRICT 015,Incumbent,Won,308393.09
"MORGAN, PATRICIA L",REPUBLICAN,RI,GOVERNOR,Open,Lost,306042.00
"SHEKARCHI, K JOSEPH",DEMOCRATIC,RI,HOUSE DISTRICT 023,Incumbent,Won,194735.00
"MCCAFFREY, MICHAEL J",DEMOCRATIC,RI,SENATE DISTRICT 029,Incumbent,Won,159385.00
"NERONHA, PETER",DEMOCRATIC,RI,ATTORNEY GENERAL,Open,Won,131947.97
"GOODWIN, MARYELLEN",DEMOCRATIC,RI,SENATE DISTRICT 001,Incumbent,Won,100920.00
"DE LA FUENTE, ROQUE (ROCKY)",REPUBLICAN,RI,US SENATE DISTRICT RI SW-CLASS I,Open,Lost,75000.00
"DICKINSON, SPENCER",DEMOCRATIC,RI,GOVERNOR,Challenger,Lost,72450.00
"UCCI, STEPHEN R",DEMOCRATIC,RI,HOUSE DISTRICT 042,Incumbent,Won,64935.00
"RANGLIN-VASSELL, MARCIA",DEMOCRATIC,RI,HOUSE DISTRICT 005,Incumbent,Won,61228.33
"LOMBARDI, JOHN JOSEPH",DEMOCRATIC,RI,HOUSE DISTRICT 008,Incumbent,Won,61125.00
