Candidate,Party,State,Office,Incumbency,Result,Total Money
"BROWN, KATE",DEMOCRATIC,OR,GOVERNOR,Incumbent,Won,20080407.25
"BUEHLER, KNUTE C",REPUBLICAN,OR,GOVERNOR,Challenger,Lost,19261672.66
"WALDEN, GREGORY P",REPUBLICAN,OR,US HOUSE DISTRICT OR 002,Incumbent,Won,5300249.94
"SCHRADER, WALTER (KURT)",DEMOCRATIC,OR,US HOUSE DISTRICT OR 005,Incumbent,Won,2056460.72
"DEFAZIO, PETER A",DEMOCRATIC,OR,US HOUSE DISTRICT OR 004,Incumbent,Won,1756530.92
"BLUMENAUER, EARL",DEMOCRATIC,OR,US HOUSE DISTRICT OR 003,Incumbent,Won,1455857.06
"MCLEOD-SKINNER, JAMIE",DEMOCRATIC,OR,US HOUSE DISTRICT OR 002,Challenger,Lost,1290021.06
"MCKEOWN, CATHERINE H (CADDY)",DEMOCRATIC,OR,HOUSE DISTRICT 009,Incumbent,Won,1047441.43
"BONAMICI, SUZANNE",DEMOCRATIC,OR,US HOUSE DISTRICT OR 001,Incumbent,Won,1031556.84
"HOYLE, VAL",NONPARTISAN,OR,LABOR COMMISSIONER,Open,Default Winner,964285.57
"COURTNEY, PETER",DEMOCRATIC,OR,SENATE DISTRICT 011,Incumbent,Won,915306.61
"EVANS, PAUL",DEMOCRATIC,OR,HOUSE DISTRICT 020,Incumbent,Won,895411.16
"THOMSEN, CHARLES WILLIAM (CHUCK)",REPUBLICAN,OR,SENATE DISTRICT 026,Incumbent,Won,890175.06
"PRUSAK, RACHEL",DEMOCRATIC,OR,HOUSE DISTRICT 037,Challenger,Won,887215.73
"BYNUM, JANELLE",DEMOCRATIC,OR,HOUSE DISTRICT 051,Incumbent,Won,884538.25
"WINTERS, JACKIE",REPUBLICAN,OR,SENATE DISTRICT 010,Incumbent,Won,824793.00
"REITZ, CHRISTINE",DEMOCRATIC,OR,SENATE DISTRICT 026,Challenger,Lost,733178.45
"HELFRICH, JEFFREY A",REPUBLICAN,OR,HOUSE DISTRICT 052,Incumbent,Lost,698714.16
"FLORES, ALEXANDER",REPUBLICAN,OR,SENATE DISTRICT 015,Challenger,Lost,690459.81
"MCLANE, MICHAEL R (MIKE)",REPUBLICAN,OR,HOUSE DISTRICT 055,Incumbent,Won,680866.67
"JOHNSON, ELIZABETH K (BETSY)",DEMOCRATIC,OR,SENATE DISTRICT 016,Incumbent,Won,674000.23
"WILLIAMS, ANNA K",DEMOCRATIC,OR,HOUSE DISTRICT 052,Challenger,Won,663004.93
"CHAVEZ-DEREMER, LORI",REPUBLICAN,OR,HOUSE DISTRICT 051,Challenger,Lost,587864.86
"KOTEK, TINA",DEMOCRATIC,OR,HOUSE DISTRICT 044,Incumbent,Won,585327.35
"PIERCE, SELMA M",REPUBLICAN,OR,HOUSE DISTRICT 020,Challenger,Lost,573767.77
"GOMEZ, JESSICA L",REPUBLICAN,OR,SENATE DISTRICT 003,Open,Lost,569966.88
"HELT, CHERI",REPUBLICAN,OR,HOUSE DISTRICT 054,Open,Won,534617.09
"MITCHELL, TIFFINY",DEMOCRATIC,OR,HOUSE DISTRICT 032,Open,Won,531673.01
"WILDE, MARSHALL L",DEMOCRATIC,OR,HOUSE DISTRICT 011,Open,Won,485181.85
"OLSEN, ALAN R",REPUBLICAN,OR,SENATE DISTRICT 020,Incumbent,Won,477416.15
"OGDEN, LOU",NONPARTISAN,OR,LABOR COMMISSIONER,Open,Lost,477208.13
"WILLIAMSON, JENNIFER",DEMOCRATIC,OR,HOUSE DISTRICT 036,Incumbent,Won,456290.20
"FAGAN, SHEMIA P",DEMOCRATIC,OR,SENATE DISTRICT 024,Open,Won,452875.17
"PARRISH, JULIEANNE N (JULIE)",REPUBLICAN,OR,HOUSE DISTRICT 037,Incumbent,Lost,443271.42
"CARPENTER, SAM",REPUBLICAN,OR,GOVERNOR,Open,Lost,441946.15
"MEEK, MARK W",DEMOCRATIC,OR,HOUSE DISTRICT 040,Incumbent,Won,420412.44
"HILL, JOSH",REPUBLICAN,OR,HOUSE DISTRICT 040,Challenger,Lost,394852.43
"MONROE, W ROD",DEMOCRATIC,OR,SENATE DISTRICT 024,Incumbent,Lost,388026.90
"RILEY, CHARLES D (CHUCK)",DEMOCRATIC,OR,SENATE DISTRICT 015,Incumbent,Won,377511.38
"STEINER HAYWARD, ELIZABETH",DEMOCRATIC,OR,SENATE DISTRICT 017,Incumbent,Won,338906.27
"BEYER, LESLEE (LEE)",DEMOCRATIC,OR,SENATE DISTRICT 006,Incumbent,Won,335047.99
"HERBERT, MARK F",REPUBLICAN,OR,HOUSE DISTRICT 011,Open,Lost,309851.96
"BARRETO, GREGORY L (GREG)",REPUBLICAN,OR,HOUSE DISTRICT 058,Incumbent,Won,309526.29
"GRIER, TERI",REPUBLICAN,OR,HOUSE DISTRICT 009,Challenger,Lost,294871.67
"WOOLDRIDGE, GREG C",REPUBLICAN,OR,GOVERNOR,Open,Lost,290615.18
"RAYFIELD, DANIEL A",DEMOCRATIC,OR,HOUSE DISTRICT 016,Incumbent,Won,274538.47
"THATCHER, LONA KIM",REPUBLICAN,OR,SENATE DISTRICT 013,Incumbent,Won,260897.98
"GALLIA, CHARLES A",DEMOCRATIC,OR,SENATE DISTRICT 020,Challenger,Lost,255659.86
"ALONSO LEON, TERESA",DEMOCRATIC,OR,HOUSE DISTRICT 022,Incumbent,Won,244998.72
"BENTZ, CLIFF B",REPUBLICAN,OR,SENATE DISTRICT 030,Incumbent,Won,232791.03
"GOLDEN, JEFFREY S",DEMOCRATIC,OR,SENATE DISTRICT 003,Open,Won,213976.92
"BOLES, DENYC N",REPUBLICAN,OR,HOUSE DISTRICT 019,Incumbent,Won,211921.79
"DRAZAN, CHRISTINE",REPUBLICAN,OR,HOUSE DISTRICT 039,Open,Won,208718.83
"LOWER, VINEETA",REPUBLICAN,OR,HOUSE DISTRICT 032,Open,Lost,206273.01
"ROBINSON, ARTHUR B",REPUBLICAN,OR,US HOUSE DISTRICT OR 004,Challenger,Lost,202014.49
"WAGNER, ROBERT (ROB)",DEMOCRATIC,OR,SENATE DISTRICT 019,Incumbent,Won,201186.72
"PROZANSKI JR, FLOYD F",DEMOCRATIC,OR,SENATE DISTRICT 004,Incumbent,Won,197621.04
"NATHANSON, NANCY",DEMOCRATIC,OR,HOUSE DISTRICT 013,Incumbent,Won,195817.68
"ZIKA, JOSEPH (JACK) J",REPUBLICAN,OR,HOUSE DISTRICT 053,Open,Won,188561.21
"SMITH, GREGORY V",REPUBLICAN,OR,HOUSE DISTRICT 057,Incumbent,Won,183138.83
"NEAHRING, JENNIFER (JENNI)",DEMOCRATIC,OR,US HOUSE DISTRICT OR 002,Open,Lost,175420.33
"DAVIS, SHELLY BOSHART",REPUBLICAN,OR,HOUSE DISTRICT 015,Open,Won,174529.23
"WITT, BRADLEY K",DEMOCRATIC,OR,HOUSE DISTRICT 031,Incumbent,Won,170963.87
"MANNING JR, JAMES I",DEMOCRATIC,OR,SENATE DISTRICT 007,Incumbent,Won,158215.55
"MCLAIN, SUSAN",DEMOCRATIC,OR,HOUSE DISTRICT 029,Incumbent,Won,157727.23
"NOSSE JR, ROBERT A (ROB)",DEMOCRATIC,OR,HOUSE DISTRICT 042,Incumbent,Won,152612.53
"VIAL, ARMAND RICHARD (RICH)",REPUBLICAN,OR,HOUSE DISTRICT 026,Incumbent,Lost,151464.62
"HAYDEN, CEDRIC ROSS",REPUBLICAN,OR,HOUSE DISTRICT 007,Incumbent,Won,149859.00
"GELSER, SARA A",DEMOCRATIC,OR,SENATE DISTRICT 008,Incumbent,Won,148201.56
"HOLVEY, PAUL R",DEMOCRATIC,OR,HOUSE DISTRICT 008,Incumbent,Won,145894.92
"SMITH, DAVID BROCK",REPUBLICAN,OR,HOUSE DISTRICT 001,Incumbent,Won,145213.14
