,State,Year,Position,District,Candidate,Party,Actual Vote Share
13,KS,2018,Attorney General,Statewide,Derek Larkin Schmidt,REP,0.5935
14,KS,2018,Attorney General,Statewide,Sarah Swain,DEM,0.4065
207,KS,2018,Governor,Statewide,Kris Kobach,REP,0.4330
208,KS,2018,Governor,Statewide,Greg Orman,IND,0.0646
209,KS,2018,Governor,Statewide,Laura Kelly,DEM,0.4779
0,KS,2018,Secretary Of State,Statewide,Scott Schwab,REP,0.5294
1,KS,2018,Secretary Of State,Statewide,Brian McClendon,DEM,0.4356
2,KS,2018,Secretary Of State,Statewide,Rob Hodgkinson,LIB,0.0350
15,KS,2018,State Representative,1,Michael Houser,REP,1
16,KS,2018,State Representative,10,Eileen Horn,DEM,1
17,KS,2018,State Representative,100,Dan Hawkins,REP,0.6059
18,KS,2018,State Representative,100,Jennifer Winn,DEM,0.3941
19,KS,2018,State Representative,101,Joe Seiwert,REP,1
20,KS,2018,State Representative,102,Jason Probst,DEM,1
21,KS,2018,State Representative,103,Ponka-We Victors,DEM,1
22,KS,2018,State Representative,104,Paul Waggoner,REP,1
23,KS,2018,State Representative,105,Brenda Landwehr,REP,1
24,KS,2018,State Representative,106,Bill Pannbacker,REP,1
25,KS,2018,State Representative,107,Bryan Bombardier,LIB,0.2336
26,KS,2018,State Representative,107,Susan Concannon,REP,0.7664
27,KS,2018,State Representative,108,Steven Johnson,REP,1
28,KS,2018,State Representative,109,Troy Waymaster,REP,1
29,KS,2018,State Representative,11,Jim Kelly,REP,1
30,KS,2018,State Representative,110,Ken Rahjes,REP,0.7592
31,KS,2018,State Representative,110,Kim Thomas,DEM,0.2408
32,KS,2018,State Representative,111,Eber Phelps,DEM,0.4976
33,KS,2018,State Representative,111,Barbara Wasinger,REP,0.5024
34,KS,2018,State Representative,112,Tory Arnberger,REP,1
35,KS,2018,State Representative,113,Greg Lewis,REP,0.8247
36,KS,2018,State Representative,113,David Curtis,DEM,0.1753
37,KS,2018,State Representative,114,Jack Thimesch,REP,0.7110
38,KS,2018,State Representative,114,Shanna Henry,DEM,0.2890
39,KS,2018,State Representative,115,Boyd Orr,REP,1
40,KS,2018,State Representative,116,Kyle Hoffman,REP,1
41,KS,2018,State Representative,117,Leonard Mastroni,REP,1
42,KS,2018,State Representative,118,Don Hineman,REP,1
43,KS,2018,State Representative,119,Bradley Ralph,REP,1
44,KS,2018,State Representative,12,Douglas Blex,REP,1
45,KS,2018,State Representative,120,Adam Smith,REP,0.8152
46,KS,2018,State Representative,120,Jerry Hill,DEM,0.1848
47,KS,2018,State Representative,121,John Resman,REP,0.5861
48,KS,2018,State Representative,121,Nick Gill,DEM,0.4139
49,KS,2018,State Representative,122,Russell Jennings,REP,1
50,KS,2018,State Representative,123,John Wheeler Jr.,REP,0.6273
51,KS,2018,State Representative,123,Pedro Rodriguez,DEM,0.3727
52,KS,2018,State Representative,124,Martin Long,REP,1
53,KS,2018,State Representative,125,Shannon Francis,REP,1
54,KS,2018,State Representative,13,Larry Paul Hibbard,REP,1
55,KS,2018,State Representative,14,Angela Schweller,DEM,0.4916
56,KS,2018,State Representative,14,Charlotte Esau,REP,0.5084
57,KS,2018,State Representative,15,Chris Haulmark,DEM,0.4830
58,KS,2018,State Representative,15,John Toplikar,REP,0.5170
59,KS,2018,State Representative,16,Cindy Holscher,DEM,0.5877
60,KS,2018,State Representative,16,Susan Huff,REP,0.4123
61,KS,2018,State Representative,17,Tom Cox,REP,0.4998
62,KS,2018,State Representative,17,Laura Smith-Everett,DEM,0.4656
63,KS,2018,State Representative,17,Michael Kerner,LIB,0.0346
