,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,VA,2018,U.S. Representative,1,Robert Wittman,REP,
1,VA,2018,U.S. Representative,1,Vangie Williams,DEM,
2,VA,2018,U.S. Representative,10,Barbara Comstock,REP,
3,VA,2018,U.S. Representative,10,Jennifer Wexton,DEM,
4,VA,2018,U.S. Representative,11,Gerald Connolly,DEM,
5,VA,2018,U.S. Representative,11,Jeffery Anthony Dove Jr.,REP,
6,VA,2018,U.S. Representative,11,Stevan Michael Porter,LIB,
7,VA,2018,U.S. Representative,2,Scott Taylor,REP,
8,VA,2018,U.S. Representative,2,Elaine Luria,DEM,
9,VA,2018,U.S. Representative,3,Robert Scott,DEM,
10,VA,2018,U.S. Representative,4,Aston Donald McEachin,DEM,
11,VA,2018,U.S. Representative,4,Peter Wells,LIB,
12,VA,2018,U.S. Representative,4,Ryan McAdams,REP,
13,VA,2018,U.S. Representative,5,Leslie Cockburn,DEM,
14,VA,2018,U.S. Representative,5,Denver Riggleman,REP,
15,VA,2018,U.S. Representative,6,Jenniefer Lynn Lewis,DEM,
16,VA,2018,U.S. Representative,6,Ben Cline,REP,
17,VA,2018,U.S. Representative,7,Abigail Spanberger,DEM,
18,VA,2018,U.S. Representative,7,David Alan Brat,REP,
19,VA,2018,U.S. Representative,7,Joseph Walton,LIB,
20,VA,2018,U.S. Representative,8,Donald Sternoff Beyer Jr.,DEM,
21,VA,2018,U.S. Representative,8,Thomas Oh,REP,
22,VA,2018,U.S. Representative,9,Morgan Griffith,REP,
23,VA,2018,U.S. Representative,9,Anthony Flaccavento,DEM,
