,State,Year,Position,District,Candidate,Party,Actual Vote Share
261,TN,2018,Governor,Statewide,Bill Lee,REP,
262,TN,2018,Governor,Statewide,Karl Dean,DEM,
263,TN,2018,Governor,Statewide,Joe Wilmoth,IND,
74,TN,2018,State Representative,1,John Crawford,REP,
75,TN,2018,State Representative,10,Rick Eldridge,REP,
76,TN,2018,State Representative,10,Barbara Simmons,DEM,
77,TN,2018,State Representative,11,Jeremy Faison,REP,
78,TN,2018,State Representative,11,Vincyl Fitzgerald II,DEM,
79,TN,2018,State Representative,11,Carl Eggers Sr.,IND,
80,TN,2018,State Representative,12,Bruce Dale Carr,REP,
81,TN,2018,State Representative,12,Robert Williams,DEM,
82,TN,2018,State Representative,13,Eddie Smith,REP,
83,TN,2018,State Representative,13,Gloria Johnson,DEM,
84,TN,2018,State Representative,13,Zachary Houk,IND,
85,TN,2018,State Representative,14,Jason Zachary,REP,
86,TN,2018,State Representative,14,Justin Davis,DEM,
87,TN,2018,State Representative,15,Rick Staples,DEM,
88,TN,2018,State Representative,16,Bill Dunn,REP,
89,TN,2018,State Representative,16,Kate Trudell,DEM,
90,TN,2018,State Representative,17,Andrew Farmer,REP,
91,TN,2018,State Representative,17,Delynn McCash,DEM,
92,TN,2018,State Representative,18,Martin Daniel,REP,
93,TN,2018,State Representative,18,Greg Mackay,DEM,
94,TN,2018,State Representative,19,Edward Nelson,DEM,
95,TN,2018,State Representative,19,Dave Wright,REP,
96,TN,2018,State Representative,19,Michelle Westover,IND,
97,TN,2018,State Representative,2,Bud Hulsey,REP,
98,TN,2018,State Representative,2,Arvil Love Jr.,DEM,
99,TN,2018,State Representative,2,Robert Ellis,IND,
100,TN,2018,State Representative,20,Bob Ramsey,REP,
101,TN,2018,State Representative,20,Susan Sneed,DEM,
102,TN,2018,State Representative,21,Lowell Russell,REP,
103,TN,2018,State Representative,21,Laura Miller,DEM,
104,TN,2018,State Representative,22,Dan Howell,REP,
105,TN,2018,State Representative,23,Mark Cochran,REP,
106,TN,2018,State Representative,23,Brad William Hartley,DEM,
107,TN,2018,State Representative,24,Mark Hall,REP,
108,TN,2018,State Representative,24,Mallory Pickert,DEM,
109,TN,2018,State Representative,25,Cameron Sexton,REP,
110,TN,2018,State Representative,25,Anne Quillen,DEM,
111,TN,2018,State Representative,26,Robin Smith,REP,
112,TN,2018,State Representative,26,Jean-Marie Lawrence,DEM,
113,TN,2018,State Representative,27,Patsy Hazlewood,REP,
114,TN,2018,State Representative,27,Brent Morris,DEM,
115,TN,2018,State Representative,28,Yusuf Hakeem,DEM,
116,TN,2018,State Representative,28,Lemon Williams Jr.,REP,
117,TN,2018,State Representative,29,Mike Carter,REP,
118,TN,2018,State Representative,29,Tammy Magouirk,DEM,
119,TN,2018,State Representative,3,Timothy Hill,REP,
120,TN,2018,State Representative,30,Esther Helton,REP,
121,TN,2018,State Representative,30,Joda Thongnopnua,DEM,
122,TN,2018,State Representative,30,Michael Holloway,IND,
123,TN,2018,State Representative,31,Ron Travis,REP,
124,TN,2018,State Representative,31,Dean Sparks,DEM,
125,TN,2018,State Representative,32,Kent Calfee,REP,
126,TN,2018,State Representative,32,Mary Ellen Blencoe,DEM,
127,TN,2018,State Representative,33,Richard Dawson,DEM,
128,TN,2018,State Representative,33,John Ragan,REP,
129,TN,2018,State Representative,34,Tim Rudd,REP,
130,TN,2018,State Representative,34,Jennifer Vannoy,DEM,
131,TN,2018,State Representative,35,Jerry Sexton,REP,
132,TN,2018,State Representative,36,Dennis Powers,REP,
133,TN,2018,State Representative,36,Cassandra Mitchell,DEM,
134,TN,2018,State Representative,37,Charlie Baum,REP,
135,TN,2018,State Representative,37,Deanna Osborne,DEM,
136,TN,2018,State Representative,38,Kelly Keisling,REP,
137,TN,2018,State Representative,38,Carol Venea Abney,DEM,
138,TN,2018,State Representative,39,Iris Rudder,REP,
139,TN,2018,State Representative,39,Layne Adams,DEM,
140,TN,2018,State Representative,4,John Holsclaw Jr.,REP,
141,TN,2018,State Representative,40,Terri Lynn Weaver,REP,
142,TN,2018,State Representative,40,Teresa Marion,IND,
143,TN,2018,State Representative,41,Ed Butler,REP,
144,TN,2018,State Representative,41,John Mark Windle,DEM,
145,TN,2018,State Representative,42,Ryan Williams,REP,
146,TN,2018,State Representative,42,Terry Scott,DEM,
147,TN,2018,State Representative,43,Paul Sherrell,REP,
148,TN,2018,State Representative,43,Les Trotman,DEM,
149,TN,2018,State Representative,44,William Lamberth,REP,
150,TN,2018,State Representative,44,Rachel Mackey,DEM,
151,TN,2018,State Representative,45,Johnny Garrett,REP,
152,TN,2018,State Representative,45,Hana Ali,DEM,
153,TN,2018,State Representative,46,Clark Boyd,REP,
154,TN,2018,State Representative,46,Mark Cagle,DEM,
155,TN,2018,State Representative,47,Rush Bricken,REP,
156,TN,2018,State Representative,47,Mike Winton,DEM,
157,TN,2018,State Representative,48,Gregory Bryan Terry,REP,
158,TN,2018,State Representative,48,Matt Ferry,DEM,
159,TN,2018,State Representative,49,Mike Sparks,REP,
160,TN,2018,State Representative,49,Chris Mayor,DEM,
161,TN,2018,State Representative,5,David Hawk,REP,
162,TN,2018,State Representative,5,Park Overall,DEM,
163,TN,2018,State Representative,50,Bo Mitchell,DEM,
164,TN,2018,State Representative,50,Judd Cowan,REP,
165,TN,2018,State Representative,51,Bill Beck,DEM,
166,TN,2018,State Representative,51,Randell Stroud,IND,
167,TN,2018,State Representative,52,Mike Stewart,DEM,
168,TN,2018,State Representative,53,Jason Powell,DEM,
169,TN,2018,State Representative,53,Amberlee Brooks,REP,
170,TN,2018,State Representative,53,Crockett Dennison,IND,
171,TN,2018,State Representative,54,Vincent Dixie,DEM,
172,TN,2018,State Representative,54,Big John) Smith,IND,
173,TN,2018,State Representative,55,John Ray Clemmons,DEM,
