,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,LA,2018,U.S. Representative,1,Stephen Scalise,REP,
1,LA,2018,U.S. Representative,1,Lee Ann Dugas,DEM,
2,LA,2018,U.S. Representative,1,Jim Francis,DEM,
6,LA,2018,U.S. Representative,2,Cedric Richmond,DEM,
7,LA,2018,U.S. Representative,2,Belden Man) Batiste,IND,
8,LA,2018,U.S. Representative,3,Clay Higgins,REP,
9,LA,2018,U.S. Representative,3,Joshua Guillory,REP,
10,LA,2018,U.S. Representative,3,Phillip Conner,DEM,
16,LA,2018,U.S. Representative,4,James Michael Johnson,REP,
17,LA,2018,U.S. Representative,4,Ryan Trundle,DEM,
18,LA,2018,U.S. Representative,5,Ralph Lee Abraham Jr.,REP,
19,LA,2018,U.S. Representative,5,Jessee Carlton Fleenor,DEM,
20,LA,2018,U.S. Representative,5,Billy Burkette,IND,
22,LA,2018,U.S. Representative,6,Garret Graves,REP,
23,LA,2018,U.S. Representative,6,Justin Dewitt,DEM,
24,LA,2018,U.S. Representative,6,Andie Saizan,DEM,
