,State,Year,Position,District,Candidate,Party,Actual Vote Share
13,ID,2018,Attorney General,Statewide,Lawrence Wasden,REP,
14,ID,2018,Attorney General,Statewide,Bruce Bistline,DEM,
129,ID,2018,Controller,Statewide,Brandon Woolf,REP,
126,ID,2018,Governor,Statewide,Brad Little,REP,
127,ID,2018,Governor,Statewide,Paulette Jordan,DEM,
128,ID,2018,Governor,Statewide,Bev Boeck,LIB,
189,ID,2018,Lieutenant Governor,Statewide,Janice McGeachin,REP,
190,ID,2018,Lieutenant Governor,Statewide,Kristin Collum,DEM,
0,ID,2018,Secretary Of State,Statewide,Lawerence Denney,REP,
1,ID,2018,Secretary Of State,Statewide,Jill Humble,DEM,
15,ID,2018,State Representative,10A,Sead Muradbegovic,DEM,
16,ID,2018,State Representative,10A,Jarom Wagoner,REP,
17,ID,2018,State Representative,10B,Gregory Chaney,REP,
18,ID,2018,State Representative,10B,Chelsea Gaona-Lincoln,DEM,
19,ID,2018,State Representative,11A,Scott Alan Syme,REP,
20,ID,2018,State Representative,11B,Tammy Nichols,REP,
21,ID,2018,State Representative,11B,Brian Ertz,DEM,
22,ID,2018,State Representative,12A,Robert Anderst,REP,
23,ID,2018,State Representative,12A,Pat Day Hartwell,DEM,
24,ID,2018,State Representative,12B,Rick Youngblood,REP,
25,ID,2018,State Representative,13A,Brent Crane,REP,
26,ID,2018,State Representative,13B,Sean McGary,REP,
27,ID,2018,State Representative,13B,Chris Ho,DEM,
28,ID,2018,State Representative,13B,Sean McGary,REP,
29,ID,2018,State Representative,14A,Mike Moyle,REP,
30,ID,2018,State Representative,14A,Jane Rohling,DEM,
31,ID,2018,State Representative,14B,Gayann Demordaunt,REP,
32,ID,2018,State Representative,15A,Steve Berch,DEM,
33,ID,2018,State Representative,15A,Lynn Luker,REP,
34,ID,2018,State Representative,15B,Jake Ellis,DEM,
35,ID,2018,State Representative,15B,Patrick McDonald,REP,
36,ID,2018,State Representative,16A,John McCrostie,DEM,
37,ID,2018,State Representative,16A,Graham Paterson,REP,
38,ID,2018,State Representative,16B,Rob Mason,DEM,
39,ID,2018,State Representative,16B,Jim Silsby,REP,
40,ID,2018,State Representative,17A,John Gannon,DEM,
41,ID,2018,State Representative,17A,Anthony Thomas Dephue,REP,
42,ID,2018,State Representative,17B,Sue Chew,DEM,
43,ID,2018,State Representative,17B,Kevin Rhoades,REP,
44,ID,2018,State Representative,18A,Ilana Rubel,DEM,
45,ID,2018,State Representative,18B,Brooke Green,DEM,
46,ID,2018,State Representative,18B,Steve Simmons,REP,
