,State,Year,Position,District,Candidate,Party,Actual Vote Share
24,SC,2018,Attorney General,Statewide,Michael Alan Wilson,REP,
25,SC,2018,Attorney General,Statewide,Constance Anastopoulo,DEM,
23,SC,2018,Comptroller,Statewide,Richard Eckstrom,REP,
207,SC,2018,Governor,Statewide,Henry McMaster,REP,
208,SC,2018,Governor,Statewide,James Smith Jr.,DEM,
0,SC,2018,Secretary Of State,Statewide,John Mark Hammond,REP,
1,SC,2018,Secretary Of State,Statewide,Melvin Whittenburg,DEM,
26,SC,2018,State Representative,1,Bill Whitmire,REP,
27,SC,2018,State Representative,10,West Cox,REP,
28,SC,2018,State Representative,10,Lucy Hoffman,DEM,
29,SC,2018,State Representative,100,Sylleste Davis,REP,
30,SC,2018,State Representative,100,Michael Yates,DEM,
31,SC,2018,State Representative,101,Cezar McKnight,DEM,
32,SC,2018,State Representative,102,Joseph Jefferson Jr.,DEM,
33,SC,2018,State Representative,102,Terry Hardesty,REP,
34,SC,2018,State Representative,103,Carl Anderson,DEM,
35,SC,2018,State Representative,104,William Bailey Jr.,REP,
36,SC,2018,State Representative,105,Kevin Hardee,REP,
37,SC,2018,State Representative,106,Russell Fry,REP,
38,SC,2018,State Representative,106,Robin Gause,DEM,
39,SC,2018,State Representative,107,Alan Clemmons,REP,
40,SC,2018,State Representative,108,William Hewitt,REP,
41,SC,2018,State Representative,109,David Mack III,DEM,
42,SC,2018,State Representative,109,Rodney Travis,LIB,
43,SC,2018,State Representative,11,Craig Gagnon,REP,
44,SC,2018,State Representative,11,Devon Smith,DEM,
45,SC,2018,State Representative,110,William Cogswell Jr.,REP,
46,SC,2018,State Representative,110,Ben Pogue III,DEM,
47,SC,2018,State Representative,111,Wendell Gilliard,DEM,
48,SC,2018,State Representative,112,Michael Sottile,REP,
49,SC,2018,State Representative,112,Joe Preston,DEM,
50,SC,2018,State Representative,113,Marvin Pendarvis,DEM,
51,SC,2018,State Representative,114,Dan Jones,DEM,
52,SC,2018,State Representative,114,Linda Bennett,REP,
53,SC,2018,State Representative,114,Melissa Couture,LIB,
54,SC,2018,State Representative,115,Peter McCoy,REP,
55,SC,2018,State Representative,115,Carol Tempel,DEM,
56,SC,2018,State Representative,116,Robert Brown,DEM,
57,SC,2018,State Representative,116,James Oneal,REP,
58,SC,2018,State Representative,117,William Crosby,REP,
59,SC,2018,State Representative,117,Krystle Simmons,DEM,
60,SC,2018,State Representative,118,Bill Herbkersman,REP,
61,SC,2018,State Representative,119,Leon Stavrinakis,DEM,
62,SC,2018,State Representative,119,Paul Sizemore,REP,
63,SC,2018,State Representative,12,Anne Parks,DEM,
