,State,Year,Position,District,Candidate,Party,Actual Vote Share
35,CO,2018,Attorney General,Statewide,Philip Jacob Weiser,DEM,
36,CO,2018,Attorney General,Statewide,George Brauchler,REP,
37,CO,2018,Attorney General,Statewide,William Robinson,LIB,
182,CO,2018,Governor,Statewide,Jared Schutz Polis,DEM,
183,CO,2018,Governor,Statewide,Walker Stapleton,REP,
184,CO,2018,Governor,Statewide,Scott Helker,LIB,
0,CO,2018,Secretary Of State,Statewide,Jena Griswold,DEM,
1,CO,2018,Secretary Of State,Statewide,Wayne Williams,REP,
38,CO,2018,State Representative,1,Susan Lontine,DEM,
39,CO,2018,State Representative,1,Darrell Dinges,LIB,
40,CO,2018,State Representative,1,Alysia Padilla,REP,
41,CO,2018,State Representative,10,Edith Russell Hooton,DEM,
42,CO,2018,State Representative,10,Murl Hendrickson,REP,
43,CO,2018,State Representative,10,Alexander Lanzano,LIB,
44,CO,2018,State Representative,11,Jonathan Stuart Singer,DEM,
45,CO,2018,State Representative,11,Brian Donahue,REP,
46,CO,2018,State Representative,12,Sonja Jacquez Lewis,DEM,
47,CO,2018,State Representative,12,Theresa Stets,IND,
48,CO,2018,State Representative,13,Kathleen Collins Becker,DEM,
49,CO,2018,State Representative,13,Kevin Sipple,REP,
50,CO,2018,State Representative,14,Shane Sandridge,REP,
51,CO,2018,State Representative,14,Paul Haddick,DEM,
52,CO,2018,State Representative,15,Dave Williams,REP,
53,CO,2018,State Representative,15,Brenda Krause,DEM,
54,CO,2018,State Representative,16,Larry Liston,REP,
55,CO,2018,State Representative,16,Andrew Smith,DEM,
56,CO,2018,State Representative,16,John Hjersman,LIB,
57,CO,2018,State Representative,17,Thomas Exum Sr.,DEM,
58,CO,2018,State Representative,17,Catherine Roupe,REP,
59,CO,2018,State Representative,18,Maile Foster,IND,
60,CO,2018,State Representative,18,Marc Alan Snyder,DEM,
61,CO,2018,State Representative,18,Mary Elizabeth Fabian,REP,
62,CO,2018,State Representative,19,Tim Geitner,REP,
63,CO,2018,State Representative,19,Asia Zanders,DEM,
64,CO,2018,State Representative,2,Alec Walter Garnett,DEM,
65,CO,2018,State Representative,20,Terri Carver,REP,
66,CO,2018,State Representative,20,Kent Jarnig,DEM,
67,CO,2018,State Representative,21,Lois Landgraf,REP,
68,CO,2018,State Representative,21,Elizabeth Rosenbaum,DEM,
69,CO,2018,State Representative,22,Colin Larson,REP,
70,CO,2018,State Representative,22,Todd Kastetter,DEM,
71,CO,2018,State Representative,23,Chris Kennedy,DEM,
72,CO,2018,State Representative,23,Joan Poston,REP,
73,CO,2018,State Representative,24,Monica Duran,DEM,
74,CO,2018,State Representative,24,Arthur Erwin,REP,
75,CO,2018,State Representative,25,Lisa Cutter,DEM,
76,CO,2018,State Representative,25,Steven Szutenbach,REP,
77,CO,2018,State Representative,26,Dylan Roberts,DEM,
78,CO,2018,State Representative,26,Luke Bray,IND,
79,CO,2018,State Representative,26,Nicki Mills,REP,
80,CO,2018,State Representative,27,Brianna Titone,DEM,
81,CO,2018,State Representative,27,Vicki Pyne,REP,
82,CO,2018,State Representative,28,Kerry Tipper,DEM,
83,CO,2018,State Representative,28,Kristina Alley,REP,
84,CO,2018,State Representative,28,Ross Klopf,LIB,
85,CO,2018,State Representative,29,Tracy Kraft-Tharp,DEM,
86,CO,2018,State Representative,29,Grady Nouis,REP,
87,CO,2018,State Representative,29,Hansjor Romer,LIB,
88,CO,2018,State Representative,3,Jeff Bridges,DEM,
89,CO,2018,State Representative,3,Toren Mushovic,REP,
90,CO,2018,State Representative,30,Dafna Michaelson Jenet,DEM,
91,CO,2018,State Representative,30,Susan Kochevar,REP,
92,CO,2018,State Representative,30,Jeff Wilson,LIB,
93,CO,2018,State Representative,31,Yadira Caraveo,DEM,
94,CO,2018,State Representative,31,Enrico Figueroa,REP,
95,CO,2018,State Representative,31,Breanna Owens,LIB,
96,CO,2018,State Representative,32,Adrienne Helen Benavidez,DEM,
97,CO,2018,State Representative,32,Kim Bishop,REP,
98,CO,2018,State Representative,33,Jay Geyer,IND,
99,CO,2018,State Representative,33,Matthew Gray,DEM,
100,CO,2018,State Representative,33,Eric Rutherford,REP,
101,CO,2018,State Representative,33,Kim Tavendale,LIB,
