,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,TX,2018,U.S. Representative,1,Louis Gohmert Jr.,REP,
1,TX,2018,U.S. Representative,1,Shirley Jonetta McKellar,DEM,
2,TX,2018,U.S. Representative,1,Jeff Callaway,LIB,
3,TX,2018,U.S. Representative,10,Michael McCaul,REP,
4,TX,2018,U.S. Representative,10,Mike Siegel,DEM,
5,TX,2018,U.S. Representative,10,Mike Ryan,LIB,
6,TX,2018,U.S. Representative,11,Michael Conaway,REP,
7,TX,2018,U.S. Representative,11,Virginia Louise Leeder,DEM,
8,TX,2018,U.S. Representative,11,Rhett Rosenquest Smith,LIB,
9,TX,2018,U.S. Representative,12,Kay Granger,REP,
10,TX,2018,U.S. Representative,12,Vanessa Michelle Adia,DEM,
11,TX,2018,U.S. Representative,12,Jacob Leddy,LIB,
12,TX,2018,U.S. Representative,13,Mac Thornberry,REP,
13,TX,2018,U.S. Representative,13,Gregory Sagan,DEM,
14,TX,2018,U.S. Representative,13,Calvin Deweese,LIB,
15,TX,2018,U.S. Representative,14,Randy Weber,REP,
16,TX,2018,U.S. Representative,14,Adrienne Bell,DEM,
17,TX,2018,U.S. Representative,14,Don Conley III,LIB,
18,TX,2018,U.S. Representative,15,Vicente Gonzalez,DEM,
19,TX,2018,U.S. Representative,15,Anthony Cristo,LIB,
20,TX,2018,U.S. Representative,15,Tim Westley,REP,
21,TX,2018,U.S. Representative,16,Veronica Escobar,DEM,
22,TX,2018,U.S. Representative,16,Rick Seeberger,REP,
23,TX,2018,U.S. Representative,16,Ben Mendoza,IND,
24,TX,2018,U.S. Representative,17,William Flores,REP,
25,TX,2018,U.S. Representative,17,Richard Kennedy,DEM,
26,TX,2018,U.S. Representative,17,Peter Churchman,LIB,
27,TX,2018,U.S. Representative,18,Sheila Jackson Lee,DEM,
28,TX,2018,U.S. Representative,18,Ava Pate,REP,
29,TX,2018,U.S. Representative,18,Vince Duncan,IND,
31,TX,2018,U.S. Representative,19,Jodey Arrington,REP,
32,TX,2018,U.S. Representative,19,Miguel Antonio Levario,DEM,
33,TX,2018,U.S. Representative,2,Dan Crenshaw,REP,
34,TX,2018,U.S. Representative,2,Todd Catlett Litton,DEM,
35,TX,2018,U.S. Representative,2,Scott Cubbler,IND,
37,TX,2018,U.S. Representative,20,Joaquin Castro,DEM,
38,TX,2018,U.S. Representative,20,Jeffrey Blunt,LIB,
39,TX,2018,U.S. Representative,21,Joseph Kopser,DEM,
40,TX,2018,U.S. Representative,21,Chip Roy,REP,
41,TX,2018,U.S. Representative,21,Lee Santos,LIB,
42,TX,2018,U.S. Representative,22,Pete Olson,REP,
43,TX,2018,U.S. Representative,22,Kulkarni Sr.i Preston,DEM,
44,TX,2018,U.S. Representative,22,Stephanie Williams,IND,
47,TX,2018,U.S. Representative,23,William Hurd,REP,
48,TX,2018,U.S. Representative,23,Gina Ortiz Jones,DEM,
49,TX,2018,U.S. Representative,23,Ruben Corvalan,LIB,
50,TX,2018,U.S. Representative,24,Kenny Marchant,REP,
51,TX,2018,U.S. Representative,24,Jan McDowell,DEM,
52,TX,2018,U.S. Representative,25,Roger Williams,REP,
53,TX,2018,U.S. Representative,25,Julie Oliver,DEM,
54,TX,2018,U.S. Representative,25,Desarae Lindsey,LIB,
55,TX,2018,U.S. Representative,26,Michael Burgess,REP,
56,TX,2018,U.S. Representative,26,Linsey Fagan,DEM,
57,TX,2018,U.S. Representative,26,Mark Boler,LIB,
58,TX,2018,U.S. Representative,27,Michael Cloud,REP,
59,TX,2018,U.S. Representative,27,Eric Holguin,DEM,
60,TX,2018,U.S. Representative,27,James Duerr,IND,
62,TX,2018,U.S. Representative,28,Henry Cuellar,DEM,
63,TX,2018,U.S. Representative,28,Arthur Thomas IV,LIB,
64,TX,2018,U.S. Representative,29,Sylvia Garcia,DEM,
65,TX,2018,U.S. Representative,29,Cullen Burns,LIB,
66,TX,2018,U.S. Representative,29,Phillip Aronoff,REP,
67,TX,2018,U.S. Representative,3,Nicholas Taylor,REP,
68,TX,2018,U.S. Representative,3,Lorie Louis Burch,DEM,
69,TX,2018,U.S. Representative,3,Christopher Claytor,LIB,
70,TX,2018,U.S. Representative,30,Eddie Bernice Johnson,DEM,
71,TX,2018,U.S. Representative,30,Shawn Jones,LIB,
72,TX,2018,U.S. Representative,31,Mary Jennings Hegar,DEM,
73,TX,2018,U.S. Representative,31,John Carter,REP,
74,TX,2018,U.S. Representative,31,Jason Hope,LIB,
75,TX,2018,U.S. Representative,32,Pete Sessions,REP,
76,TX,2018,U.S. Representative,32,Colin Allred,DEM,
77,TX,2018,U.S. Representative,32,Melina Baker,LIB,
78,TX,2018,U.S. Representative,33,Marc Veasey,DEM,
79,TX,2018,U.S. Representative,33,Willie Billups,REP,
80,TX,2018,U.S. Representative,33,Jason Reeves,LIB,
81,TX,2018,U.S. Representative,34,Filemon Vela,DEM,
82,TX,2018,U.S. Representative,34,Rey Gonzalez,REP,
83,TX,2018,U.S. Representative,35,Lloyd Doggett,DEM,
84,TX,2018,U.S. Representative,35,David Smalling,REP,
85,TX,2018,U.S. Representative,35,Clark Patterson,LIB,
86,TX,2018,U.S. Representative,36,Brian Babin,REP,
87,TX,2018,U.S. Representative,36,Dayna Steele,DEM,
88,TX,2018,U.S. Representative,4,John Ratcliffe,REP,
89,TX,2018,U.S. Representative,4,Catherine Krantz,DEM,
90,TX,2018,U.S. Representative,4,Ken Ashby,LIB,
91,TX,2018,U.S. Representative,5,Lance Gooden,REP,
92,TX,2018,U.S. Representative,5,Danny Eugene Wood Jr.,DEM,
93,TX,2018,U.S. Representative,6,Jana Lynne Sanchez,DEM,
94,TX,2018,U.S. Representative,6,Ron Wright,REP,
95,TX,2018,U.S. Representative,6,Jason Harber,LIB,
96,TX,2018,U.S. Representative,7,Elizabeth Pannill Fletcher,DEM,
97,TX,2018,U.S. Representative,7,John Culberson,REP,
98,TX,2018,U.S. Representative,8,Kevin Brady,REP,
99,TX,2018,U.S. Representative,8,Steven David,DEM,
100,TX,2018,U.S. Representative,8,Chris Duncan,LIB,
101,TX,2018,U.S. Representative,9,Alexander Green,DEM,
102,TX,2018,U.S. Representative,9,Kesha Rogers,IND,
103,TX,2018,U.S. Representative,9,Benjamin Hernandez,IND,
