,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,AL,2018,U.S. Representative,1,Bradley Byrne,REP,
1,AL,2018,U.S. Representative,1,Robert Kennedy Jr.,DEM,
2,AL,2018,U.S. Representative,2,Martha Roby,REP,
3,AL,2018,U.S. Representative,2,Tabitha Kay Isner,DEM,
4,AL,2018,U.S. Representative,3,Mike Rogers,REP,
5,AL,2018,U.S. Representative,3,Mallory Hagan,DEM,
6,AL,2018,U.S. Representative,4,Robert Aderholt,REP,
7,AL,2018,U.S. Representative,4,Lee Auman,DEM,
8,AL,2018,U.S. Representative,5,Peter Joffrion,DEM,
9,AL,2018,U.S. Representative,5,Mo Brooks,REP,
10,AL,2018,U.S. Representative,6,Sean McGary,REP,
11,AL,2018,U.S. Representative,6,Danner Kline,DEM,
12,AL,2018,U.S. Representative,7,Terri Sewell,DEM,
