,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,MT,2018,U.S. Representative,1,Gregory Gianforte,REP,
1,MT,2018,U.S. Representative,1,Kathleen Williams,DEM,
2,MT,2018,U.S. Representative,1,Elinor Swanson,LIB,
