,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,IN,2018,U.S. Representative,1,Peter Visclosky,DEM,
1,IN,2018,U.S. Representative,1,Mark Leyva,REP,
2,IN,2018,U.S. Representative,2,Jacqueline Swihart Walorski,REP,
3,IN,2018,U.S. Representative,2,Melvin Hall,DEM,
4,IN,2018,U.S. Representative,3,Jim Banks,REP,
5,IN,2018,U.S. Representative,3,Courtney Tritch,DEM,
6,IN,2018,U.S. Representative,4,James Baird,REP,
7,IN,2018,U.S. Representative,4,Tobi Beck,DEM,
8,IN,2018,U.S. Representative,5,Susan Brooks,REP,
9,IN,2018,U.S. Representative,5,Dee Thornton,DEM,
10,IN,2018,U.S. Representative,6,Gregory Pence,REP,
11,IN,2018,U.S. Representative,6,Jeannine Lee Lake,DEM,
12,IN,2018,U.S. Representative,6,Tom Ferkinhoff,LIB,
13,IN,2018,U.S. Representative,7,Andre Carson,DEM,
14,IN,2018,U.S. Representative,7,Wayne Harmon,REP,
15,IN,2018,U.S. Representative,8,Larry Bucshon,REP,
16,IN,2018,U.S. Representative,8,William Tanoos,DEM,
17,IN,2018,U.S. Representative,9,Trey Hollingsworth,REP,
18,IN,2018,U.S. Representative,9,Liz Watson,DEM,
