Candidate,Party,State,Office,Incumbency,Result,Total Money
"RENSBERGER, LARRY E",DEMOCRATIC,IN,HOUSE DISTRICT 022,Challenger,Lost-General,3133.52
"PAPAI, DONALD (DON)",DEMOCRATIC,IN,HOUSE DISTRICT 052,Open,Lost-General,3035.00
"KELLER, MIKE",DEMOCRATIC,IN,HOUSE DISTRICT 067,Challenger,Lost-General,2925.00
"SCHMUTTE, NICHOLAS G",DEMOCRATIC,IN,HOUSE DISTRICT 040,Open,Lost-General,2654.92
"SETTLES, MIKE",DEMOCRATIC,IN,SENATE DISTRICT 009,Challenger,Lost-General,2424.49
"MITSCHELEN, KEVIN L",REPUBLICAN,IN,HOUSE DISTRICT 006,Challenger,Lost-General,2415.00
"BELL, RHONDA ROUSH",DEMOCRATIC,IN,HOUSE DISTRICT 059,Challenger,Lost-General,2365.00
"JESSUP, JOHN D",INDEPENDENT,IN,HOUSE DISTRICT 053,Challenger,Lost-General,2356.85
"MILLER, CHAD D",REPUBLICAN,IN,HOUSE DISTRICT 094,Open,Lost-General,2309.00
"SHEARER, RAY G",REPUBLICAN,IN,HOUSE DISTRICT 095,Challenger,Lost-General,2045.00
"WEINGARTEN, JOSEPH L (JOE)",DEMOCRATIC,IN,HOUSE DISTRICT 029,Challenger,Lost-General,1714.35
"MILLER, JASON C",REPUBLICAN,IN,HOUSE DISTRICT 030,Challenger,Lost-General,1598.81
"JOZWIAK, ROBERT (ROOFER ROB)",LIBERTARIAN,IN,HOUSE DISTRICT 037,Challenger,Lost-General,1477.33
"HERO, JOSEPH M",REPUBLICAN,IN,HOUSE DISTRICT 013,Challenger,Lost-General,1273.08
"JANIEC, GEORGE T",REPUBLICAN,IN,HOUSE DISTRICT 012,Challenger,Lost-General,1258.00
"WEHRLE, MARK",DEMOCRATIC,IN,HOUSE DISTRICT 084,Challenger,Lost-General,1108.97
"BELL, JON",LIBERTARIAN,IN,HOUSE DISTRICT 056,Challenger,Lost-General,806.32
"ELLIS, JASON",DEMOCRATIC,IN,HOUSE DISTRICT 028,Challenger,Lost-General,800.00
"SKOOG JR, ALVIN E (RUSTY)",DEMOCRATIC,IN,HOUSE DISTRICT 039,Challenger,Lost-General,789.19
"KERN, KENNETH C (KEN)",DEMOCRATIC,IN,SENATE DISTRICT 032,Challenger,Lost-General,691.49
"DEGROFF, TODD S",DEMOCRATIC,IN,SENATE DISTRICT 030,Challenger,Lost-General,600.00
"CESNIK, MICHAEL",DEMOCRATIC,IN,SENATE DISTRICT 035,Challenger,Lost-General,550.00
"BROWN, KEVIN R",INDEPENDENT,IN,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Lost-General,500.00
"GINGLES SR, TERRY",DEMOCRATIC,IN,HOUSE DISTRICT 088,Challenger,Lost-General,500.00
"VOEGELE, MARTIN W (MARTY)",INDEPENDENT,IN,HOUSE DISTRICT 067,Challenger,Lost-General,234.10
"COMPTON, LESLIE O",REPUBLICAN,IN,SENATE DISTRICT 040,Challenger,Lost-General,200.00
"DAHLIN JR, CARL L",REPUBLICAN,IN,SENATE DISTRICT 002,Open,Lost-General,100.00
"CAMPBELL, CATHERINE",REPUBLICAN,IN,HOUSE DISTRICT 014,Challenger,Lost-General,50.00
"KELVER, GREGORY D",LIBERTARIAN,IN,SENATE DISTRICT 008,Challenger,Lost-General,25.74
"NEWMAN, LAWRENCE T",REPUBLICAN,IN,HOUSE DISTRICT 096,Challenger,Lost-General,8.55
"BAXTER, DAVID",DEMOCRATIC,IN,HOUSE DISTRICT 053,Challenger,Lost-General,0.00
"MERRITT, SHAYNE",DEMOCRATIC,IN,HOUSE DISTRICT 093,Challenger,Lost-General,0.00
"RAINEY, JAMES",REPUBLICAN,IN,SENATE DISTRICT 034,Challenger,Lost-General,0.00
"STEVENS JR, ALLEN L",REPUBLICAN,IN,SENATE DISTRICT 008,Challenger,Lost-General,0.00
"CAMPBELL, BARRY",LIBERTARIAN,IN,SENATE DISTRICT 036,Challenger,Lost-General,0.00
"COATES, FLOYD EUGENE",REPUBLICAN,IN,HOUSE DISTRICT 069,Challenger,Lost-General,0.00
"COX, AL",LIBERTARIAN,IN,HOUSE DISTRICT 065,Challenger,Lost-General,0.00
"EVANS, HERBERT (JACK)",LIBERTARIAN,IN,HOUSE DISTRICT 083,Challenger,Lost-General,0.00
"GOLDMAN, DARRELL",LIBERTARIAN,IN,HOUSE DISTRICT 044,Challenger,Lost-General,0.00
"MEUSER, JOHN",LIBERTARIAN,IN,HOUSE DISTRICT 099,Challenger,Lost-General,0.00
"MITCHELL, WADE",LIBERTARIAN,IN,HOUSE DISTRICT 028,Challenger,Lost-General,0.00
"NFR, K P",LIBERTARIAN,IN,HOUSE DISTRICT 009,Challenger,Lost-General,0.00
"NOLAND, GREG",LIBERTARIAN,IN,HOUSE DISTRICT 036,Challenger,Lost-General,0.00
"STEWART, TIM",LIBERTARIAN,IN,HOUSE DISTRICT 041,Challenger,Lost-General,0.00
"BOEHM, THEODORE R",NONPARTISAN,IN,SUPREME COURT-BOEHM SEAT,Incumbent,Won-Retention,0.00
"DARDEN, CARR L",NONPARTISAN,IN,APPELLATE COURT DISTRICT 004-DARDEN SEAT,Incumbent,Won-Retention,0.00
"DICKSON, BRENT E",NONPARTISAN,IN,SUPREME COURT-DICKSON SEAT,Incumbent,Won-Retention,0.00
"SHEPARD, RANDALL T",NONPARTISAN,IN,SUPREME COURT-SHEPARD SEAT,Incumbent,Won-Retention,0.00
"DANIELS, MITCH",REPUBLICAN,IN,GOVERNOR,Incumbent,Won-Primary,0.00
"THOMPSON, JILL LONG",DEMOCRATIC,IN,GOVERNOR,Open,Won-Primary,0.00
