Candidate,Party,State,Office,Incumbency,Result,Total Money
"DIMASI, SALVATORE F",DEMOCRATIC,MA,HOUSE DISTRICT THIRD SUFFOLK,Incumbent,Won-General,918726.95
"MURRAY, THERESE",DEMOCRATIC,MA,SENATE DISTRICT PLYMOUTH AND BARNSTABLE,Incumbent,Won-General,744840.81
"DELEO, ROBERT A",DEMOCRATIC,MA,HOUSE DISTRICT NINETEENTH SUFFOLK,Incumbent,Won-General,477360.43
"ELDRIDGE, JAMES B",DEMOCRATIC,MA,SENATE DISTRICT MIDDLESEX AND WORCESTER,Open,Won-General,371202.23
"HART JR, JOHN A (JACK)",DEMOCRATIC,MA,SENATE DISTRICT FIRST SUFFOLK,Incumbent,Won-General,311137.92
"PETRUCCELLI, ANTHONY W",DEMOCRATIC,MA,SENATE DISTRICT FIRST SUFFOLK AND MIDDLESEX,Incumbent,Won-General,282368.12
"TISEI, RICHARD R",REPUBLICAN,MA,SENATE DISTRICT MIDDLESEX AND ESSEX,Incumbent,Won-General,262596.46
"MENARD, JOAN M",DEMOCRATIC,MA,SENATE DISTRICT FIRST BRISTOL AND PLYMOUTH,Incumbent,Won-General,250158.95
"MORRISSEY, MICHAEL W",DEMOCRATIC,MA,SENATE DISTRICT NORFOLK AND PLYMOUTH,Incumbent,Won-General,229484.00
"PETROLATI, THOMAS M",DEMOCRATIC,MA,HOUSE DISTRICT SEVENTH HAMPDEN,Incumbent,Won-General,229389.00
"CHANG-DIAZ, SONIA",DEMOCRATIC,MA,SENATE DISTRICT SECOND SUFFOLK,Open,Won-General,218712.52
"BADDOUR, STEVEN A",DEMOCRATIC,MA,SENATE DISTRICT FIRST ESSEX,Incumbent,Won-General,218043.50
"ROGERS, JOHN H",DEMOCRATIC,MA,HOUSE DISTRICT TWELFTH NORFOLK,Incumbent,Won-General,217110.58
"JOYCE, BRIAN A",DEMOCRATIC,MA,"SENATE DISTRICT NORFOLK, BRISTOL AND PLYMOUTH",Incumbent,Won-General,216277.16
"BROWN, SCOTT P",REPUBLICAN,MA,"SENATE DISTRICT NORFOLK, BRISTOL AND MIDDLESEX",Incumbent,Won-General,212577.93
"BUONICONTI, STEPHEN J",DEMOCRATIC,MA,SENATE DISTRICT HAMPDEN,Incumbent,Won-General,206955.50
"MOORE, RICHARD T",DEMOCRATIC,MA,SENATE DISTRICT WORCESTER AND NORFOLK,Incumbent,Won-General,204695.45
"SULLIVAN, DAVID B",DEMOCRATIC,MA,HOUSE DISTRICT SIXTH BRISTOL,Incumbent,Won-General,198212.99
"DONNELLY, KENNETH J",DEMOCRATIC,MA,SENATE DISTRICT FOURTH MIDDLESEX,Open,Won-General,195451.16
"DONATO, PAUL J",DEMOCRATIC,MA,HOUSE DISTRICT THIRTY-FIFTH MIDDLESEX,Incumbent,Won-General,194587.39
"TOLMAN, STEVEN A",DEMOCRATIC,MA,SENATE DISTRICT SECOND SUFFOLK AND MIDDLESEX,Incumbent,Won-General,189946.00
"KOUTOUJIAN, PETER J",DEMOCRATIC,MA,HOUSE DISTRICT TENTH MIDDLESEX,Incumbent,Won-General,189110.03
"MARIANO, RONALD",DEMOCRATIC,MA,HOUSE DISTRICT THIRD NORFOLK,Incumbent,Won-General,181194.00
"ROSENBERG, STANLEY C",DEMOCRATIC,MA,SENATE DISTRICT HAMPSHIRE AND FRANKLIN,Incumbent,Won-General,175732.90
"RODRIGUES, MICHAEL J",DEMOCRATIC,MA,HOUSE DISTRICT EIGHTH BRISTOL,Incumbent,Won-General,169308.65
"PACHECO, MARC RICHARD",DEMOCRATIC,MA,SENATE DISTRICT FIRST PLYMOUTH AND BRISTOL,Incumbent,Won-General,160602.50
"TIMILTY, JAMES E",DEMOCRATIC,MA,SENATE DISTRICT BRISTOL AND NORFOLK,Incumbent,Won-General,159210.44
"MOORE, MICHAEL O",DEMOCRATIC,MA,SENATE DISTRICT SECOND WORCESTER,Open,Won-General,156880.88
"PANAGIOTAKOS, STEVEN C",DEMOCRATIC,MA,SENATE DISTRICT FIRST MIDDLESEX,Incumbent,Won-General,155132.43
"CHANDLER, HARRIETTE L",DEMOCRATIC,MA,SENATE DISTRICT FIRST WORCESTER,Incumbent,Won-General,153110.19
