Candidate,Party,State,Office,Incumbency,Result,Total Money
"MARTINEZ, SUSANA",REPUBLICAN,NM,GOVERNOR,Incumbent,Won-Primary,0.00
"HAALAND, DEBRA A",DEMOCRATIC,NM,LIEUTENANT GOVERNOR,Open,Won-Primary,0.00
"SANCHEZ, JOHN A",REPUBLICAN,NM,LIEUTENANT GOVERNOR,Incumbent,Won-Primary,0.00
"CHAVEZ, ELEANOR",DEMOCRATIC,NM,BOARD OF EDUCATION DISTRICT 001,Open,Won-General,0.00
"POGNA, MILLIE",REPUBLICAN,NM,BOARD OF EDUCATION DISTRICT 002,Incumbent,Won-General,0.00
"ARMBRUSTER, KARYL ANN",DEMOCRATIC,NM,BOARD OF EDUCATION DISTRICT 004,Open,Won-General,0.00
"CONYERS, JAMES F",DEMOCRATIC,NM,BOARD OF EDUCATION DISTRICT 005,Incumbent,Won-General,0.00
"THOMPSON, NATHAN E",DEMOCRATIC,NM,HOUSE DISTRICT 002,Challenger,Lost-General,0.00
"MCGRANN, JACK A",REPUBLICAN WRITEIN,NM,US HOUSE DISTRICT NM 002,Challenger,Lost-General,0.00
"HOOK, THOMAS F",REPUBLICAN WRITEIN,NM,US HOUSE DISTRICT NM 003,Challenger,Lost-General,0.00
"CHIMONI, SHELLY C",DEMOCRATIC WRITEIN,NM,HOUSE DISTRICT 006,Challenger,Lost-General,0.00
"VANZI, LINDA M",NONPARTISAN,NM,APPELLATE COURT-VANZI SEAT,Incumbent,Won-Retention,0.00
"WECHSLER, JIM",NONPARTISAN,NM,APPELLATE COURT-WECHSLER SEAT,Incumbent,Won-Retention,0.00
"FRY, CYNTHIA A",NONPARTISAN,NM,APPELLATE COURT-FRY SEAT,Incumbent,Won-Retention,0.00
