Candidate,Party,State,Office,Incumbency,Result,Total Money
"FLYNN II, MARTIN B",DEMOCRATIC,PA,HOUSE DISTRICT 113,Incumbent,Won-General,84956.00
"PICKETT, TINA",REPUBLICAN,PA,HOUSE DISTRICT 110,Incumbent,Won-General,84340.00
"WENTLING, PARKE H",REPUBLICAN,PA,HOUSE DISTRICT 017,Open,Won-General,82524.17
"OBERLANDER, DONNA R",REPUBLICAN,PA,HOUSE DISTRICT 063,Incumbent,Won-General,82100.00
"MATZIE, ROBERT F",DEMOCRATIC,PA,HOUSE DISTRICT 016,Incumbent,Won-General,81398.93
"WALKER, CUYLER H",REPUBLICAN,PA,HOUSE DISTRICT 158,Challenger,Withdrew-General,81232.00
"HARHART, JULIANN L",REPUBLICAN,PA,HOUSE DISTRICT 183,Incumbent,Won-General,80970.26
"REESE, MICHAEL P",REPUBLICAN,PA,HOUSE DISTRICT 059,Incumbent,Won-General,80258.10
"CALTAGIRONE, THOMAS R",DEMOCRATIC,PA,HOUSE DISTRICT 127,Incumbent,Won-General,78295.00
"GALLOWAY, JOHN T",DEMOCRATIC,PA,HOUSE DISTRICT 140,Incumbent,Won-General,77825.00
"MURT, THOMAS P",REPUBLICAN,PA,HOUSE DISTRICT 152,Incumbent,Won-General,74672.35
"MADDEN, MAUREEN E",DEMOCRATIC,PA,HOUSE DISTRICT 115,Open,Lost-General,73675.73
"HARRIS, JORDAN A",DEMOCRATIC,PA,HOUSE DISTRICT 186,Incumbent,Won-General,72450.00
"FARINA, FRANK A",DEMOCRATIC,PA,HOUSE DISTRICT 112,Incumbent,Won-General,70274.14
"BENNINGHOFF, KERRY A",REPUBLICAN,PA,HOUSE DISTRICT 171,Incumbent,Won-General,70035.29
"CAUSER, MARTIN T",REPUBLICAN,PA,HOUSE DISTRICT 067,Incumbent,Won-General,69075.00
"GIBBONS, JARET A",DEMOCRATIC,PA,HOUSE DISTRICT 010,Incumbent,Won-General,68983.00
"PHILLIPS-HILL, KRISTIN L",REPUBLICAN,PA,HOUSE DISTRICT 093,Open,Won-General,68702.00
"SCHLEGEL CULVER, LYNDA J",REPUBLICAN,PA,HOUSE DISTRICT 108,Incumbent,Won-General,68244.57
"STAATS, CRAIG T",REPUBLICAN,PA,HOUSE DISTRICT 145,Open,Won-General,68022.96
"MAXWELL, JOSHUA ANTHONY (JOSH)",DEMOCRATIC,PA,HOUSE DISTRICT 074,Open,Lost-General,67914.65
"BOYLE, BRENDAN F",DEMOCRATIC,PA,HOUSE DISTRICT 170,Incumbent,Won-General,67850.00
"MARSHALL, JAMES E",REPUBLICAN DEMOCRATIC,PA,HOUSE DISTRICT 014,Incumbent,Won-General,67475.00
"KINSEY, STEPHEN",DEMOCRATIC,PA,HOUSE DISTRICT 201,Incumbent,Won-General,67314.00
"YODER, ALICE M",DEMOCRATIC,PA,HOUSE DISTRICT 041,Open,Lost-General,67199.14
"EMRICK, JOSEPH T",REPUBLICAN,PA,HOUSE DISTRICT 137,Incumbent,Won-General,66869.38
"GREINER, KEITH J",REPUBLICAN,PA,HOUSE DISTRICT 043,Incumbent,Won-General,66645.94
"WHEATLEY JR, JAKE",DEMOCRATIC,PA,HOUSE DISTRICT 019,Incumbent,Won-General,66578.33
"COSTA, PAUL",DEMOCRATIC,PA,HOUSE DISTRICT 034,Incumbent,Won-General,66250.00
"SCHREIBER, KEVIN JOSEPH",DEMOCRATIC,PA,HOUSE DISTRICT 095,Incumbent,Won-General,65542.45
"ROEBUCK, JAMES R",DEMOCRATIC,PA,HOUSE DISTRICT 188,Incumbent,Won-General,64465.00
"VULAKOVICH, RUDOLPH P (RANDY)",REPUBLICAN,PA,SENATE DISTRICT 038,Incumbent,Won-General,64224.38
"LAWRENCE, JOHN ADDA",REPUBLICAN,PA,HOUSE DISTRICT 013,Incumbent,Won-General,61059.39
"SHEELER, FREDERICK C",DEMOCRATIC,PA,HOUSE DISTRICT 005,Open,Lost-General,60606.71
"GERGELY, MARC J",DEMOCRATIC,PA,HOUSE DISTRICT 035,Incumbent,Won-General,60475.00
"DEAN, MADELEINE",DEMOCRATIC,PA,HOUSE DISTRICT 153,Incumbent,Won-General,60200.00
"PETRI, SCOTT A",REPUBLICAN,PA,HOUSE DISTRICT 178,Incumbent,Won-General,60185.00
"COZZONE, KATHLEEN",DEMOCRATIC,PA,SENATE DISTRICT 044,Challenger,Lost-General,60184.10
"IRVIN, RICHARD S (RICH)",REPUBLICAN,PA,HOUSE DISTRICT 081,Challenger,Won-General,60002.67
"GROVE, SETH M",REPUBLICAN,PA,HOUSE DISTRICT 196,Incumbent,Won-General,59753.50
"HENNESSEY, TIMOTHY F",REPUBLICAN,PA,HOUSE DISTRICT 026,Incumbent,Won-General,58800.00
"LONGIETTI, MARK A",REPUBLICAN DEMOCRATIC,PA,HOUSE DISTRICT 007,Incumbent,Won-General,58734.00
"GIBBON, DAVID WILLIAM",REPUBLICAN,PA,HOUSE DISTRICT 031,Challenger,Lost-General,58137.87
"DUSH, CRIS",REPUBLICAN,PA,HOUSE DISTRICT 066,Open,Won-General,57400.32
"HELM, SUSAN C (SUE)",REPUBLICAN,PA,HOUSE DISTRICT 104,Incumbent,Won-General,57343.06
"QUINN, MARGUERITE CORR",REPUBLICAN,PA,HOUSE DISTRICT 143,Incumbent,Won-General,56244.50
"RAPP, KATHY L",REPUBLICAN,PA,HOUSE DISTRICT 065,Incumbent,Won-General,55454.68
"PEIFER, MICHAEL T",REPUBLICAN,PA,HOUSE DISTRICT 139,Incumbent,Won-General,55151.57
"ZIMMERMAN, DAVID H",REPUBLICAN,PA,HOUSE DISTRICT 099,Open,Won-General,54559.72
"GRELL, GLEN R",REPUBLICAN,PA,HOUSE DISTRICT 087,Incumbent,Won-General,54158.21
"BLOOM, STEPHEN L",REPUBLICAN,PA,HOUSE DISTRICT 199,Incumbent,Won-General,52790.66
"REGAN, MICHAEL R",REPUBLICAN,PA,HOUSE DISTRICT 092,Incumbent,Won-General,51778.82
"PAYNE, JOHN D",REPUBLICAN,PA,HOUSE DISTRICT 106,Incumbent,Won-General,51430.86
"PETRARCA, JOSEPH A (JOE)",DEMOCRATIC,PA,HOUSE DISTRICT 055,Incumbent,Won-General,51338.60
"WATSON, KATHARINE M",REPUBLICAN,PA,HOUSE DISTRICT 144,Incumbent,Won-General,50761.40
"MILLER, DOROTHY M",DEMOCRATIC,PA,HOUSE DISTRICT 053,Challenger,Lost-General,50732.44
"TOOHIL, TARAH C",REPUBLICAN DEMOCRATIC,PA,HOUSE DISTRICT 116,Incumbent,Won-General,50687.00
"RATH, MEGAN ANN",REPUBLICAN,PA,US HOUSE DISTRICT PA 001,Challenger,Lost-General,49206.46
"CUTLER, BRYAN D",REPUBLICAN,PA,HOUSE DISTRICT 100,Incumbent,Won-General,49125.00
"TOBASH, MICHAEL G",REPUBLICAN,PA,HOUSE DISTRICT 125,Incumbent,Won-General,48838.54
"HICKERNELL, DAVID S",REPUBLICAN,PA,HOUSE DISTRICT 098,Incumbent,Won-General,48175.00
"VITALI, GREGORY S",DEMOCRATIC,PA,HOUSE DISTRICT 166,Incumbent,Won-General,48150.00
"THOMAS, W CURTIS",DEMOCRATIC,PA,HOUSE DISTRICT 181,Incumbent,Won-General,47631.00
"SAINATO, CHRISTOPHER",DEMOCRATIC,PA,HOUSE DISTRICT 009,Incumbent,Won-General,47483.00
"GOODMAN, NEAL P",DEMOCRATIC,PA,HOUSE DISTRICT 123,Incumbent,Won-General,47476.00
"TOPPER, JESSE W",REPUBLICAN,PA,HOUSE DISTRICT 078,Incumbent,Won-General,46429.70
"DEASY JR, DANIEL J",DEMOCRATIC,PA,HOUSE DISTRICT 027,Incumbent,Won-General,45025.00
"MILLER, DANIEL L",DEMOCRATIC,PA,HOUSE DISTRICT 042,Incumbent,Won-General,44933.90
"DAY, GARY W",REPUBLICAN,PA,HOUSE DISTRICT 187,Incumbent,Won-General,44590.00
"KELLER, FREDERICK B",REPUBLICAN,PA,HOUSE DISTRICT 085,Incumbent,Won-General,43035.00
