Candidate,Party,State,Office,Incumbency,Result,Total Money
"COTTON, THOMAS (TOM)",REPUBLICAN,AR,US SENATE DISTRICT AR SW-CLASS II,Challenger,Won-General,13909882.56
"PRYOR, MARK LUNSFORD",DEMOCRATIC,AR,US SENATE DISTRICT AR SW-CLASS II,Incumbent,Lost-General,11939401.13
"ROSS, MIKE",DEMOCRATIC,AR,GOVERNOR,Open,Lost-General,6366770.82
"HUTCHINSON, ASA",REPUBLICAN,AR,GOVERNOR,Open,Won-General,4492718.55
"BURKHALTER, JOHN C",DEMOCRATIC,AR,LIEUTENANT GOVERNOR,Open,Lost-General,3038861.38
"HILL, JAMES FRENCH (FRENCH)",REPUBLICAN,AR,US HOUSE DISTRICT AR 002,Open,Won-General,2166181.42
"HAYS, PATRICK HENRY",DEMOCRATIC,AR,US HOUSE DISTRICT AR 002,Open,Lost-General,1381688.90
"WITT, JAMES LEE",DEMOCRATIC,AR,US HOUSE DISTRICT AR 004,Open,Lost-General,1185857.64
"GRIFFIN, JOHN TIMOTHY (TIM)",REPUBLICAN,AR,LIEUTENANT GOVERNOR,Open,Won-General,1169128.92
"STEEL, NATE",DEMOCRATIC,AR,ATTORNEY GENERAL,Open,Lost-General,1123092.79
"WESTERMAN, BRUCE E",REPUBLICAN,AR,US HOUSE DISTRICT AR 004,Open,Won-General,1063624.85
"WOMACK, STEVE",REPUBLICAN,AR,US HOUSE DISTRICT AR 003,Incumbent,Won-General,971598.86
"CRAWFORD, ERIC ALAN (RICK)",REPUBLICAN,AR,US HOUSE DISTRICT AR 001,Incumbent,Won-General,905441.65
"RUTLEDGE, LESLIE",REPUBLICAN,AR,ATTORNEY GENERAL,Open,Won-General,790750.99
"TUCKER, CLARKE",DEMOCRATIC,AR,HOUSE DISTRICT 035,Open,Won-General,348379.80
"RAPERT, JASON",REPUBLICAN,AR,SENATE DISTRICT 035,Incumbent,Won-General,332220.09
"HURST, STACY",REPUBLICAN,AR,HOUSE DISTRICT 035,Open,Lost-General,314862.43
"MCPHERSON, JACKIE",DEMOCRATIC,AR,US HOUSE DISTRICT AR 001,Challenger,Lost-General,283039.13
"THOMPSON, ROBERT",DEMOCRATIC,AR,SENATE DISTRICT 020,Incumbent,Lost-General,225187.42
"ROCKWELL, STEVE",DEMOCRATIC,AR,SENATE DISTRICT 021,Open,Lost-General,217302.71
"MILLIGAN, DENNIS",REPUBLICAN,AR,TREASURER,Open,Won-General,211368.85
"STERLING, DAVID",REPUBLICAN,AR,ATTORNEY GENERAL,Open,Lost-Primary Runoff,210493.47
"BURRIS, JOHN D",REPUBLICAN,AR,SENATE DISTRICT 017,Open,Lost-Primary Runoff,194214.93
"PEARSON, JOEL (TYLER)",DEMOCRATIC,AR,SENATE DISTRICT 035,Challenger,Lost-General,192305.17
"IRVIN, MISSY THOMAS",REPUBLICAN,AR,SENATE DISTRICT 018,Incumbent,Default Winner-General,182841.40
"SAMPLE, BILL",REPUBLICAN,AR,SENATE DISTRICT 014,Incumbent,Won-General,176562.92
"BAKER, RADIUS H",DEMOCRATIC,AR,HOUSE DISTRICT 052,Open,Lost-General,160632.20
"GARCIA, KAREN SEALY",DEMOCRATIC,AR,TREASURER,Open,Lost-General,160119.47
"RICE, TERRY W",REPUBLICAN,AR,SENATE DISTRICT 009,Open,Default Winner-General,156908.29
"SULLIVAN, DAN A",REPUBLICAN,AR,HOUSE DISTRICT 053,Challenger,Won-General,142170.01
"FLIPPO, SCOTT P",REPUBLICAN,AR,SENATE DISTRICT 017,Open,Default Winner-General,141112.17
"COLLINS, CHARLES S (CHARLIE)",REPUBLICAN,AR,HOUSE DISTRICT 084,Incumbent,Won-General,139826.02
