Candidate,Party,State,Office,Incumbency,Result,Total Money
"RICKETTS, JOHN PETER (PETE) & FOLEY, MIKE",REPUBLICAN,NE,GOVERNOR / LIEUTENANT GOVERNOR,Open,Won-General,8483771.73
"SASSE, BENJAMIN E",REPUBLICAN,NE,US SENATE DISTRICT NE SW-CLASS II,Open,Won-General,6548186.88
"HASSEBROOK, CHUCK H & RAYBOULD, JANE",DEMOCRATIC,NE,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,3349003.34
"TERRY, LEE",REPUBLICAN,NE,US HOUSE DISTRICT NE 002,Incumbent,Lost-General,3116654.45
"ASHFORD, BRAD",DEMOCRATIC,NE,US HOUSE DISTRICT NE 002,Challenger,Won-General,1255175.56
"DOMINA, DAVID A (DAVE)",DEMOCRATIC,NE,US SENATE DISTRICT NE SW-CLASS II,Open,Lost-General,1251508.53
"SMITH, ADRIAN",REPUBLICAN,NE,US HOUSE DISTRICT NE 003,Incumbent,Won-General,1040272.16
"FORTENBERRY, JEFF",REPUBLICAN,NE,US HOUSE DISTRICT NE 001,Incumbent,Won-General,772236.27
"GLENN, STEVE",NONPARTISAN,NE,BOARD OF REGENTS DISTRICT 005,Challenger,Lost-General,553455.95
"PETERSON, DOUG",REPUBLICAN,NE,ATTORNEY GENERAL,Open,Won-General,440198.00
"SCHAFER, ROB",NONPARTISAN,NE,BOARD OF REGENTS DISTRICT 005,Incumbent,Won-General,379122.32
"JENKINS, JAMES JEFFREY (JIM)",PETITIONING CANDIDATE,NE,US SENATE DISTRICT NE SW-CLASS II,Open,Lost-General,326976.10
"HARR, BURKE J",NONPARTISAN,NE,SENATE DISTRICT 008,Incumbent,Won-General,302061.03
"PANSING BROOKS, PATTY",NONPARTISAN,NE,SENATE DISTRICT 028,Open,Won-General,223614.28
"PAULMAN, RORIC R",NONPARTISAN,NE,SENATE DISTRICT 042,Open,Lost-General,215324.59
"MCGILL, AMANDA M",DEMOCRATIC,NE,AUDITOR,Open,Lost-General,174666.00
"HILKEMANN, ROBERT BOB",NONPARTISAN,NE,SENATE DISTRICT 004,Open,Won-General,174176.10
"MCCOLLISTER, JOHN S",NONPARTISAN,NE,SENATE DISTRICT 020,Open,Won-General,166352.68
"LATHROP, MATT",NONPARTISAN,NE,SENATE DISTRICT 020,Open,Lost-General,163219.21
"JONES, DALLAS",NONPARTISAN,NE,SENATE DISTRICT 028,Open,Lost-General,157546.59
"WILLIAMS, MATT",NONPARTISAN,NE,SENATE DISTRICT 036,Open,Won-General,155317.91
"CRAIGHEAD, JONI",NONPARTISAN,NE,SENATE DISTRICT 006,Open,Won-General,154911.60
"JANSSEN, CHARLIE",REPUBLICAN,NE,AUDITOR,Open,Won-General,149640.14
"KRIST, BOB",NONPARTISAN,NE,SENATE DISTRICT 010,Incumbent,Won-General,135153.23
"STALNAKER, JOHN",NONPARTISAN,NE,SENATE DISTRICT 006,Open,Lost-General,132909.75
"RYAN, STACY",NONPARTISAN,NE,SENATE DISTRICT 004,Open,Lost-General,131559.42
"STINNER, JOHN P",NONPARTISAN,NE,SENATE DISTRICT 048,Open,Won-General,128065.08
"ASPEN, GWENN",NONPARTISAN,NE,SENATE DISTRICT 008,Challenger,Lost-General,127416.39
"LARSON, TYSON",NONPARTISAN,NE,SENATE DISTRICT 040,Incumbent,Won-General,116959.76
