,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,MI,2018,State Senator,REP,38,38,19.0,25.333333333333332,
1,MI,2018,State Senator,DEM,38,38,19.0,25.333333333333332,
2,MI,2018,State Senator,IND,38,38,19.0,25.333333333333332,
