Candidate,Party,State,Office,Incumbency,Result,Total Money
"PAULSEN, ERIK",REPUBLICAN,MN,US HOUSE DISTRICT MN 003,Incumbent,Won-General,4925242.80
"CRAIG, ANGIE",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 002,Open,Lost-General,4023464.24
"MILLS, STEWART",REPUBLICAN,MN,US HOUSE DISTRICT MN 008,Challenger,Lost-General,3620284.22
"NOLAN, RICHARD MICHAEL (RICK)",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 008,Incumbent,Won-General,3024826.58
"ELLISON, KEITH MAURICE",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 005,Incumbent,Won-General,2786499.12
"EMMER JR, THOMAS EARL",REPUBLICAN,MN,US HOUSE DISTRICT MN 006,Incumbent,Won-General,2059268.79
"BONOFF, TERRI E",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 003,Challenger,Lost-General,1971567.61
"WALZ, TIMOTHY J",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 001,Incumbent,Won-General,1547190.51
"PETERSON, COLLIN C",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 007,Incumbent,Won-General,1203552.47
"LEWIS, JASON",REPUBLICAN,MN,US HOUSE DISTRICT MN 002,Open,Won-General,1033372.68
"MCCOLLUM, BETTY",DEMOCRATIC-FARMER-LABOR,MN,US HOUSE DISTRICT MN 004,Incumbent,Won-General,914151.22
"HAGEDORN, JIM",REPUBLICAN,MN,US HOUSE DISTRICT MN 001,Challenger,Lost-General,356904.42
"KNOBLACH, JIM",REPUBLICAN,MN,HOUSE DISTRICT 014B,Incumbent,Won-General,165468.32
"HAWJ, FOUNG",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 067,Incumbent,Won-General,164972.93
"TOMASSONI, DAVID J",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 006,Incumbent,Won-General,146636.13
"FRANZEN, MELISA",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 049,Incumbent,Won-General,136769.98
"BAKK, THOMAS (TOM)",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 003,Incumbent,Won-General,135419.40
"ABELER, JIM",REPUBLICAN,MN,SENATE DISTRICT 035,Incumbent,Won-General,133542.12
"MURPHY, ERIN P",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 064A,Incumbent,Won-General,130942.94
"ANDERSON, PAUL T",REPUBLICAN,MN,SENATE DISTRICT 044,Open,Won-General,124492.74
"NELSON, CARLA JEAN",REPUBLICAN,MN,SENATE DISTRICT 026,Incumbent,Won-General,118578.57
"HOFFMAN, JOHN",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 036,Incumbent,Won-General,117048.49
"DAHMS, GARY",REPUBLICAN,MN,SENATE DISTRICT 016,Incumbent,Won-General,114152.21
"HANN, DAVID",REPUBLICAN,MN,SENATE DISTRICT 048,Incumbent,Lost-General,112461.13
"DAVIDS, GREGORY M",REPUBLICAN,MN,HOUSE DISTRICT 028B,Incumbent,Won-General,109753.29
"WESTROM, TORREY NORMAN",REPUBLICAN,MN,SENATE DISTRICT 012,Incumbent,Won-General,109587.04
"DAUDT, KURT",REPUBLICAN,MN,HOUSE DISTRICT 031A,Incumbent,Won-General,103418.57
"LITTLE, MATT",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 058,Open,Won-General,102498.19
"COHEN, RICHARD",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 064,Incumbent,Won-General,102241.62
"CALVERT, DEB",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 044,Open,Lost-General,102103.26
"APPLEBAUM, JON",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 044B,Incumbent,Won-General,99696.72
"HALL, DAN",REPUBLICAN,MN,SENATE DISTRICT 056,Incumbent,Won-General,99494.47
"CARLSON, JAMES",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 051,Incumbent,Won-General,99399.10
"JENSEN, VICKI",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 024,Incumbent,Lost-General,99325.96
"NELSON, TIM",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 032,Open,Lost-General,98611.91
"ERHARDT, RON",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 049A,Incumbent,Lost-General,98413.63
"ANSELMO, DARIO",REPUBLICAN,MN,HOUSE DISTRICT 049A,Challenger,Won-General,97217.88
"EKEN, BERNHARD KENT",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 004,Incumbent,Won-General,94725.53
"THISSEN, PAUL C",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 061B,Incumbent,Won-General,93574.85
"CWODZINSKI, STEVE",DEMOCRATIC-FARMER-LABOR,MN,SENATE DISTRICT 048,Challenger,Won-General,92071.72
"CARLSON, ANDREW",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 050B,Open,Won-General,91326.15
"PORT, LINDSEY",DEMOCRATIC-FARMER-LABOR,MN,HOUSE DISTRICT 056B,Challenger,Lost-General,91021.99
"JENSEN, SCOTT",REPUBLICAN,MN,SENATE DISTRICT 047,Open,Won-General,90846.85
"GAZELKA, PAUL",REPUBLICAN,MN,SENATE DISTRICT 009,Incumbent,Won-General,90517.96
