Candidate,Party,State,Office,Incumbency,Result,Total Money
"LEAHY, PATRICK",DEMOCRATIC,VT,US SENATE DISTRICT VT SW-CLASS III,Incumbent,Won-General,4691699.77
"MINTER, SUE",DEMOCRATIC,VT,GOVERNOR,Open,Lost-General,2315405.22
"SCOTT, PHILIP B",REPUBLICAN,VT,GOVERNOR,Open,Won-General,1685616.23
"WELCH, PETER F",DEMOCRATIC,VT,US HOUSE DISTRICT VT 001,Incumbent,Won-General,977310.10
"DONOVAN, TJ",DEMOCRATIC,VT,ATTORNEY GENERAL,Open,Won-General,417496.77
"ZUCKERMAN, DAVID",PROGRESSIVE DEMOCRATIC,VT,LIEUTENANT GOVERNOR,Open,Won-General,405909.10
"BROCK III, RANDOLPH D (RANDY)",REPUBLICAN,VT,LIEUTENANT GOVERNOR,Open,Lost-General,199500.00
"PEARSON, CHRISTOPHER A (CHRIS)",DEMOCRATIC,VT,SENATE DISTRICT CHITTENDEN,Challenger,Won-General,173635.46
"BUCKNAM, DEBORAH T (DEB)",REPUBLICAN,VT,ATTORNEY GENERAL,Open,Lost-General,115421.98
"CLARKSON, ALISON H",DEMOCRATIC,VT,SENATE DISTRICT WINDSOR,Challenger,Won-General,59507.58
"MILNE, SCOTT",REPUBLICAN,VT,US SENATE DISTRICT VT SW-CLASS III,Challenger,Lost-General,44419.00
"SIROTKIN, MICHAEL D",DEMOCRATIC,VT,SENATE DISTRICT CHITTENDEN,Incumbent,Won-General,34889.30
"RODRIGUE, KORRINE",DEMOCRATIC,VT,SENATE DISTRICT RUTLAND,Challenger,Lost-General,33627.00
"DEGREE, DUSTIN ALLARD",REPUBLICAN,VT,SENATE DISTRICT FRANKLIN,Incumbent,Won-General,33400.00
"WESTMAN, RICHARD A",REPUBLICAN,VT,SENATE DISTRICT LAMOILLE,Incumbent,Won-General,31019.09
"INGRAM, DEBBIE J",DEMOCRATIC,VT,SENATE DISTRICT CHITTENDEN,Challenger,Won-General,30047.69
"CORDES, MARI",DEMOCRATIC,VT,HOUSE DISTRICT ADDISON-4,Challenger,Lost-General,22942.78
"KITTELL, SARA BRANON",DEMOCRATIC,VT,SENATE DISTRICT FRANKLIN,Challenger,Lost-General,21502.19
"SMITH, DENISE",DEMOCRATIC,VT,SENATE DISTRICT FRANKLIN,Challenger,Lost-General,21492.22
"PARENT, COREY",REPUBLICAN,VT,HOUSE DISTRICT FRANKLIN-3-1,Incumbent,Won-General,21335.00
"MCCORMACK, RICHARD J (DICK)",DEMOCRATIC,VT,SENATE DISTRICT WINDSOR,Incumbent,Won-General,21242.75
"PEARCE, BETH",DEMOCRATIC,VT,TREASURER,Incumbent,Won-General,21169.19
"LAWRENCE, BILL",REPUBLICAN,VT,HOUSE DISTRICT CHITTENDEN-3,Challenger,Lost-General,19760.00
"NOLAN, GARY",REPUBLICAN,VT,HOUSE DISTRICT LAMOILLE-WASHINGTON,Challenger,Won-General,18213.17
