Candidate,Party,State,Office,Incumbency,Result,Total Money
"MORIGEAU, SHANE A",DEMOCRATIC,MT,HOUSE DISTRICT 095,Open,Won-General,16107.62
"GANSER, NEAL",REPUBLICAN,MT,HOUSE DISTRICT 061,Open,Lost-General,15904.23
"PATELIS, JIMMY G",REPUBLICAN,MT,HOUSE DISTRICT 052,Open,Won-General,15814.40
"PERRY, ZAC",DEMOCRATIC,MT,HOUSE DISTRICT 003,Incumbent,Won-General,15603.06
"RYAN, MARILYN",DEMOCRATIC,MT,HOUSE DISTRICT 099,Open,Won-General,15040.83
"FERN, DAVID (DAVE)",DEMOCRATIC,MT,HOUSE DISTRICT 005,Open,Won-General,14979.95
"MCCLAFFERTY, EDITH (EDIE)",DEMOCRATIC,MT,SENATE DISTRICT 038,Open,Won-General,14908.85
"HUSTON, DONNA",REPUBLICAN,MT,SENATE DISTRICT 025,Open,Lost-General,14691.04
"REGIER, KEITH",REPUBLICAN,MT,SENATE DISTRICT 003,Open,Won-General,14526.00
"ANDERSON, FRED",REPUBLICAN,MT,HOUSE DISTRICT 020,Open,Won-General,14315.00
"GORSKI, MARGARET J",DEMOCRATIC,MT,HOUSE DISTRICT 088,Challenger,Lost-General,14286.09
"DAVIS, NICK",DEMOCRATIC,MT,HOUSE DISTRICT 097,Challenger,Lost-General,14190.97
"THOMAS, FRED",REPUBLICAN,MT,SENATE DISTRICT 044,Incumbent,Won-General,14089.00
"FLEMING, JOHN",DEMOCRATIC,MT,HOUSE DISTRICT 093,Open,Won-General,13872.00
"BACHMEIER, JACOB",DEMOCRATIC,MT,HOUSE DISTRICT 028,Challenger,Won-General,13649.13
"BOITER, KARI",DEMOCRATIC,MT,HOUSE DISTRICT 044,Challenger,Lost-General,13318.28
"MUGGLI, STEVE",DEMOCRATIC,MT,HOUSE DISTRICT 038,Challenger,Lost-General,13228.00
"COURT, VIRGINIA J",DEMOCRATIC,MT,HOUSE DISTRICT 050,Incumbent,Won-General,13082.00
"KELKER, KATHERIN A",DEMOCRATIC,MT,HOUSE DISTRICT 047,Incumbent,Won-General,13024.75
"COOK, ROBIN ALLAN",REPUBLICAN,MT,HOUSE DISTRICT 018,Incumbent,Won-General,12960.57
"HARTMAN, MELISSA L",DEMOCRATIC,MT,SENATE DISTRICT 003,Open,Lost-General,12872.17
"HINEBAUCH, STEVE",REPUBLICAN,MT,SENATE DISTRICT 018,Open,Won-General,12830.45
"GRUBBS, BRUCE S",REPUBLICAN,MT,HOUSE DISTRICT 068,Open,Won-General,12731.99
"HOPKINS, MIKE",REPUBLICAN,MT,HOUSE DISTRICT 092,Open,Won-General,12524.00
"BROWN, ZACH",DEMOCRATIC,MT,HOUSE DISTRICT 063,Incumbent,Won-General,12503.89
"SHELDON-GALLOWAY, LOLA",REPUBLICAN,MT,HOUSE DISTRICT 022,Open,Won-General,12482.01
"PEASE-LOPEZ, CAROLYN R",DEMOCRATIC,MT,SENATE DISTRICT 021,Open,Lost-General,12326.35
"BARRETT, DICK",DEMOCRATIC,MT,SENATE DISTRICT 045,Incumbent,Won-General,12189.00
"BURNETT, TOM",REPUBLICAN,MT,HOUSE DISTRICT 067,Incumbent,Won-General,12183.89
"TSCHIDA, BRADLEY",REPUBLICAN,MT,HOUSE DISTRICT 097,Incumbent,Won-General,12108.32
"POPE, CHRISTOPHER",DEMOCRATIC,MT,HOUSE DISTRICT 065,Incumbent,Lost-General,12031.81
"STEKETEE, SABRINA",DEMOCRATIC,MT,HOUSE DISTRICT 075,Challenger,Lost-General,11999.26
"LAKE, ROBERT (BOB)",REPUBLICAN,MT,PUBLIC SERVICE COMMISSIONER DISTRICT 004,Incumbent,Won-General,11904.10
"SEEKINS-CROWE, KERRI",REPUBLICAN,MT,HOUSE DISTRICT 050,Challenger,Lost-General,11873.00
"HOLMLUND, KENNETH (KEN)",REPUBLICAN,MT,HOUSE DISTRICT 038,Incumbent,Won-General,11852.94
"USHER, BARRY M",REPUBLICAN,MT,HOUSE DISTRICT 040,Open,Won-General,11721.66
"FLYNN, KELLY",REPUBLICAN,MT,HOUSE DISTRICT 070,Incumbent,Won-General,11155.60
"LOGE, DENLEY M",REPUBLICAN,MT,HOUSE DISTRICT 014,Open,Won-General,11075.00
"ELLIS, JANET H",DEMOCRATIC,MT,HOUSE DISTRICT 081,Incumbent,Won-General,11030.00
"LANKFORD, GARRETT T",DEMOCRATIC,MT,HOUSE DISTRICT 025,Open,Lost-General,10991.00
"WELCH, TOM",REPUBLICAN,MT,HOUSE DISTRICT 072,Open,Won-General,10945.00
"MALEK, SUE",DEMOCRATIC,MT,SENATE DISTRICT 046,Incumbent,Won-General,10786.00
"TAYLOR, ROSE",REPUBLICAN,MT,HOUSE DISTRICT 003,Challenger,Lost-General,10765.82
"GOODRIDGE, CHRISTOPHER R (CHRIS)",DEMOCRATIC,MT,HOUSE DISTRICT 052,Open,Lost-General,10540.87
"BECH, EILEEN BACH",DEMOCRATIC,MT,HOUSE DISTRICT 011,Open,Lost-General,10261.09
"VEIS, SHOOTS",DEMOCRATIC,MT,HOUSE DISTRICT 051,Open,Lost-General,10235.00
"BILLI, CHET",REPUBLICAN,MT,HOUSE DISTRICT 005,Open,Lost-General,10233.15
"FUNK, MOFFIE",DEMOCRATIC,MT,HOUSE DISTRICT 082,Incumbent,Won-General,10233.00
"PINCOLINI, ELIZABETH",DEMOCRATIC,MT,HOUSE DISTRICT 043,Open,Lost-General,10189.00
"SALES, SCOTT",REPUBLICAN,MT,SENATE DISTRICT 035,Incumbent,Won-General,9912.00
"GUNDERSON, STEVE",REPUBLICAN,MT,HOUSE DISTRICT 001,Open,Won-General,9477.13
"WEBB, ROGER",REPUBLICAN,MT,SENATE DISTRICT 023,Open,Won-General,9406.54
"SCHREINER, CASEY J",DEMOCRATIC,MT,HOUSE DISTRICT 026,Open,Won-General,9390.25
"GREEF, EDWARD",REPUBLICAN,MT,HOUSE DISTRICT 088,Incumbent,Won-General,9376.00
"OLSEN, ANDREA",DEMOCRATIC,MT,HOUSE DISTRICT 100,Incumbent,Won-General,9375.00
"PRICE, JEAN",DEMOCRATIC,MT,HOUSE DISTRICT 024,Incumbent,Won-General,9329.00
"BENNETT, BRYCE",DEMOCRATIC,MT,HOUSE DISTRICT 091,Incumbent,Won-General,9301.21
"FITZGERALD, ROSS H",REPUBLICAN,MT,HOUSE DISTRICT 017,Open,Won-General,9114.90
"SHAW, RAY L",REPUBLICAN,MT,HOUSE DISTRICT 071,Incumbent,Won-General,8733.00
"MEYERS, G BRUCE",REPUBLICAN,MT,SENATE DISTRICT 016,Open,Lost-General,8429.00
"BARTEL, DAN",REPUBLICAN,MT,HOUSE DISTRICT 029,Open,Won-General,8410.00
"SKEES, DEREK",REPUBLICAN,MT,HOUSE DISTRICT 011,Open,Won-General,8189.42
