Candidate,Party,State,Office,Incumbency,Result,Total Money
"WILLIAMS, KATHERINE",NONPARTISAN,CO,REGIONAL TRANSPORTATION DISTRICT BOARD DISTRICT A,Open,Won-General,0.00
"FIORINO, PAUL NOEL",UNAFFILIATED,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,0.00
"CHAPIN, DAN",UNAFFILIATED,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,0.00
"PARKER, MARY K",UNAFFILIATED,CO,HOUSE DISTRICT 022,Challenger,Lost-General,0.00
"MIRACLE, DOUG",UNAFFILIATED,CO,HOUSE DISTRICT 027,Challenger,Lost-General,0.00
"MIHALIK, KEN",NONPARTISAN,CO,REGIONAL TRANSPORTATION DISTRICT BOARD DISTRICT G,Open,Won-General,0.00
"HAMMONS, WILLIAM ROBERT (BILL)",UNITY PARTY OF COLORADO,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,0.00
"DINGES, DARRELL",LIBERTARIAN,CO,US HOUSE DISTRICT CO 001,Challenger,Lost-General,0.00
"LONGSTRETH, RICHARD",LIBERTARIAN,CO,US HOUSE DISTRICT CO 002,Challenger,Lost-General,0.00
"WILLMENG, CLIFF",GREEN,CO,US HOUSE DISTRICT CO 002,Challenger,Withdrew-General,0.00
"KENT, GAYLON",LIBERTARIAN,CO,US HOUSE DISTRICT CO 003,Challenger,Lost-General,0.00
"GRIFFITH, BRUCE",LIBERTARIAN,CO,US HOUSE DISTRICT CO 004,Challenger,Lost-General,0.00
"MCREDMOND, MIKE",LIBERTARIAN,CO,US HOUSE DISTRICT CO 005,Challenger,Lost-General,0.00
"OLSEN, NORMAN T (NORM)",LIBERTARIAN,CO,US HOUSE DISTRICT CO 006,Challenger,Lost-General,0.00
"WORTHEY, ROBERT LEE",GREEN,CO,US HOUSE DISTRICT CO 006,Challenger,Lost-General,0.00
"BUCHANAN, MARTIN L",LIBERTARIAN,CO,US HOUSE DISTRICT CO 007,Challenger,Lost-General,0.00
"QUINTEL, MANUEL",LIBERTARIAN,CO,SENATE DISTRICT 012,Open,Lost-General,0.00
"ROMER, HANS V",LIBERTARIAN,CO,SENATE DISTRICT 019,Challenger,Lost-General,0.00
"POAGUE, MICHELE R",LIBERTARIAN,CO,SENATE DISTRICT 029,Open,Lost-General,0.00
"BARTLEY, WILLIAM STUART",LIBERTARIAN,CO,SENATE DISTRICT 035,Challenger,Lost-General,0.00
"HJERSMAN, JOHN C",LIBERTARIAN,CO,HOUSE DISTRICT 016,Open,Lost-General,0.00
"DAWSON, NORMAN (PAOTIE)",LIBERTARIAN,CO,HOUSE DISTRICT 018,Challenger,Lost-General,0.00
"DARCY, JUDITH",LIBERTARIAN,CO,HOUSE DISTRICT 020,Challenger,Lost-General,0.00
"SEEBECK, MICHAEL",LIBERTARIAN,CO,HOUSE DISTRICT 021,Challenger,Lost-General,0.00
"HESS, MATTHEW",LIBERTARIAN,CO,HOUSE DISTRICT 028,Challenger,Lost-General,0.00
"DOVE, JENICE (JJ)",GREEN,CO,HOUSE DISTRICT 034,Challenger,Lost-General,0.00
"DAKROUB, ROY",LIBERTARIAN,CO,HOUSE DISTRICT 050,Challenger,Lost-General,0.00
"FULLER, GILBERT",LIBERTARIAN,CO,HOUSE DISTRICT 054,Challenger,Lost-General,0.00
"GULBRANSON, KEVIN",LIBERTARIAN,CO,HOUSE DISTRICT 056,Open,Lost-General,0.00
"INGALLS, GLENN",LIBERTARIAN,CO,HOUSE DISTRICT 060,Challenger,Lost-General,0.00
"JOHNSON, JOE",LIBERTARIAN,CO,HOUSE DISTRICT 063,Challenger,Lost-General,0.00
"WALTERS, CHRIS",DEMOCRATIC,CO,HOUSE DISTRICT 014,Challenger,Lost-General,0.00
"BERNARD, STEVEN L",NONPARTISAN,CO,APPELLATE COURT-BERNARD SEAT,Incumbent,Won-Retention,0.00
"DUNN, STEPHANIE",NONPARTISAN,CO,APPELLATE COURT-DUNN SEAT,Incumbent,Won-Retention,0.00
"FURMAN, DAVID M",NONPARTISAN,CO,APPELLATE COURT-FURMAN SEAT,Incumbent,Won-Retention,0.00
"JONES, JERRY N",NONPARTISAN,CO,APPELLATE COURT-JONES SEAT,Incumbent,Won-Retention,0.00
"HAWTHORNE, ROBERT D",NONPARTISAN,CO,APPELLATE COURT-HAWTHORNE SEAT,Incumbent,Won-Retention,0.00
"ROMAN, GILBERT M",NONPARTISAN,CO,APPELLATE COURT-ROMAN SEAT,Incumbent,Won-Retention,0.00
"TERRY, DIANA L",NONPARTISAN,CO,APPELLATE COURT-TERRY SEAT,Incumbent,Won-Retention,0.00
"ASHBY, KAREN M",NONPARTISAN,CO,APPELLATE COURT-ASHBY SEAT,Incumbent,Won-Retention,0.00
"BERGER, MICHAEL H",NONPARTISAN,CO,APPELLATE COURT-BERGER SEAT,Incumbent,Won-Retention,0.00
"NAVARRO, ANTHONY J",NONPARTISAN,CO,APPELLATE COURT-NAVARRO SEAT,Incumbent,Won-Retention,0.00
"HOOD, WILLIAM",NONPARTISAN,CO,SUPREME COURT-HOOD SEAT,Incumbent,Won-Retention,0.00
