Candidate,Party,State,Office,Incumbency,Result,Total Money
"GREITENS, ERIC",REPUBLICAN,MO,GOVERNOR,Open,Won-General,32111917.95
"KOSTER, CHRISTOPHER A (CHRIS)",DEMOCRATIC,MO,GOVERNOR,Open,Lost-General,28709070.80
"BLUNT, ROY",REPUBLICAN,MO,US SENATE DISTRICT MO SW-CLASS III,Incumbent,Won-General,16422757.76
"KANDER, JASON",DEMOCRATIC,MO,US SENATE DISTRICT MO SW-CLASS III,Challenger,Lost-General,13356853.16
"HAWLEY, JOSHUA DAVID (JOSH)",REPUBLICAN,MO,ATTORNEY GENERAL,Open,Won-General,10345157.56
"HENSLEY, TERESA L",DEMOCRATIC,MO,ATTORNEY GENERAL,Open,Lost-General,4410515.93
"SCHMITT, ERIC",REPUBLICAN,MO,TREASURER,Open,Won-General,3508688.09
"PARSON, MICHAEL L (MIKE)",REPUBLICAN,MO,LIEUTENANT GOVERNOR,Open,Won-General,3005100.67
"ROWDEN, CALEB",REPUBLICAN,MO,SENATE DISTRICT 019,Open,Won-General,2458963.52
"WAGNER, ANN L",REPUBLICAN,MO,US HOUSE DISTRICT MO 002,Incumbent,Won-General,2329540.70
"SIFTON JR, RICHARD PRESCOTT (SCOTT)",DEMOCRATIC,MO,SENATE DISTRICT 001,Incumbent,Won-General,1983448.04
"WEBBER, STEPHEN D",DEMOCRATIC,MO,SENATE DISTRICT 019,Open,Lost-General,1920017.70
"LUETKEMEYER, BLAINE",REPUBLICAN,MO,US HOUSE DISTRICT MO 003,Incumbent,Won-General,1885798.44
"ASHCROFT, JOHN R (JAY)",REPUBLICAN,MO,SECRETARY OF STATE,Open,Won-General,1749106.73
"SMITH, JASON T",REPUBLICAN,MO,US HOUSE DISTRICT MO 008,Incumbent,Won-General,1712595.51
"CARNAHAN, RUSS",DEMOCRATIC,MO,LIEUTENANT GOVERNOR,Open,Lost-General,1691907.91
"LONG, BILLY",REPUBLICAN,MO,US HOUSE DISTRICT MO 007,Incumbent,Won-General,1569946.63
"GRAVES JR, SAMUEL B (SAM)",REPUBLICAN,MO,US HOUSE DISTRICT MO 006,Incumbent,Won-General,1514251.13
"RICHARDSON, TODD",REPUBLICAN,MO,HOUSE DISTRICT 152,Incumbent,Won-General,1258127.26
"CLEAVER II, EMANUEL",DEMOCRATIC,MO,US HOUSE DISTRICT MO 005,Incumbent,Won-General,1138706.16
"EIGEL, WILLIAM (BILL)",REPUBLICAN,MO,SENATE DISTRICT 023,Open,Won-General,998360.24
"SILVEY, RYAN",REPUBLICAN,MO,SENATE DISTRICT 017,Incumbent,Won-General,979239.44
