Candidate,Party,State,Office,Incumbency,Result,Total Money
"MCCAIN, JOHN S",REPUBLICAN,AZ,US SENATE DISTRICT AZ SW-CLASS III,Incumbent,Won-General,13908242.48
"KIRKPATRICK, ANN LEILA",DEMOCRATIC,AZ,US SENATE DISTRICT AZ SW-CLASS III,Challenger,Lost-General,9278728.75
"MCSALLY, MARTHA E",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 002,Incumbent,Won-General,8109830.82
"SINEMA, KYRSTEN",DEMOCRATIC,AZ,US HOUSE DISTRICT AZ 009,Incumbent,Won-General,4938342.50
"OHALLERAN, TOM",DEMOCRATIC,AZ,US HOUSE DISTRICT AZ 001,Open,Won-General,1713957.31
"HEINZ, MATTHEW GERALD",DEMOCRATIC,AZ,US HOUSE DISTRICT AZ 002,Challenger,Lost-General,1577345.06
"BABEU, PAUL RAYMOND",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 001,Open,Lost-General,1267301.12
"GALLEGO, RUBEN",DEMOCRATIC,AZ,US HOUSE DISTRICT AZ 007,Incumbent,Won-General,1086817.00
"BIGGS, ANDREW (ANDY)",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 005,Open,Won-General,828782.63
"GOSAR, PAUL ANTHONY",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 004,Incumbent,Won-General,709288.54
"GRIJALVA, RAUL M",DEMOCRATIC,AZ,US HOUSE DISTRICT AZ 003,Incumbent,Won-General,654103.07
"SCHWEIKERT, DAVID S",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 006,Incumbent,Won-General,587747.29
"BROPHY MCGEE, KATE",REPUBLICAN,AZ,SENATE DISTRICT 028,Open,Won-General,304271.00
"MEYER, ERIC D",DEMOCRATIC,AZ,SENATE DISTRICT 028,Open,Lost-General,301911.07
"CHABIN, TOM",DEMOCRATIC,AZ,CORPORATION COMMISSIONER,Challenger,Lost-General,281300.00
"MUNDELL, WILLIAM A (BILL)",DEMOCRATIC,AZ,CORPORATION COMMISSIONER,Challenger,Lost-General,280211.60
"GILES, DAVID VICTOR (DAVE)",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 009,Challenger,Lost-General,271072.74
"ROBSON, BOB",REPUBLICAN,AZ,HOUSE DISTRICT 018,Incumbent,Lost-General,256964.17
"FRANKS, TRENT",REPUBLICAN,AZ,US HOUSE DISTRICT AZ 008,Incumbent,Won-General,252898.00
"LESKO, DEBBIE",REPUBLICAN,AZ,SENATE DISTRICT 021,Incumbent,Won-General,219690.50
"SYMS, MARIA MAZZEO",REPUBLICAN,AZ,HOUSE DISTRICT 028,Open,Won-General,215514.60
"MESNARD, J D",REPUBLICAN,AZ,HOUSE DISTRICT 017,Incumbent,Won-General,192867.68
"SCHMUCK, FRANK",REPUBLICAN,AZ,SENATE DISTRICT 018,Open,Lost-General,183833.44
"CARTER, HEATHER",REPUBLICAN,AZ,HOUSE DISTRICT 015,Incumbent,Won-General,169183.89
"BUTLER, KELLI SUE",DEMOCRATIC,AZ,HOUSE DISTRICT 028,Open,Won-General,161194.54
"HAMWAY, MARY E",REPUBLICAN,AZ,HOUSE DISTRICT 028,Open,Lost-General,160665.37
"BURNS, ROBERT (BOB)",REPUBLICAN,AZ,CORPORATION COMMISSIONER,Incumbent,Won-General,139277.53
"DUNN, BOYD",REPUBLICAN,AZ,CORPORATION COMMISSIONER,Challenger,Won-General,137875.00
"YARBROUGH, STEVE",REPUBLICAN,AZ,SENATE DISTRICT 017,Incumbent,Won-General,136220.29
"STRINGER, DAVID",REPUBLICAN,AZ,HOUSE DISTRICT 001,Challenger,Won-General,133678.55
"HERNANDEZ JR, DANIEL",DEMOCRATIC,AZ,HOUSE DISTRICT 002,Challenger,Won-General,131028.80
"BAGLEY, NIKKI CHECK",DEMOCRATIC,AZ,SENATE DISTRICT 006,Challenger,Lost-General,129225.95
"EPSTEIN, DENISE (MITZI)",DEMOCRATIC,AZ,HOUSE DISTRICT 018,Challenger,Won-General,127168.30
"YEE, KIMBERLY",REPUBLICAN,AZ,SENATE DISTRICT 020,Incumbent,Won-General,122529.56
"BOWIE, SEAN",DEMOCRATIC,AZ,SENATE DISTRICT 018,Open,Won-General,115163.60
"PRATT, FRANK",REPUBLICAN,AZ,SENATE DISTRICT 008,Challenger,Won-General,114997.59
"SHOPE, THOMAS (TJ)",REPUBLICAN,AZ,HOUSE DISTRICT 008,Incumbent,Won-General,114269.39
"WORSLEY, ROBERT M (BOB)",REPUBLICAN,AZ,SENATE DISTRICT 025,Incumbent,Won-General,113042.50
"NORGAARD, JILL",REPUBLICAN,AZ,HOUSE DISTRICT 018,Incumbent,Won-General,111620.54
"FANN, KAREN ELIZABETH",REPUBLICAN,AZ,SENATE DISTRICT 001,Open,Won-General,110371.32
"BOLDING, REGINALD",DEMOCRATIC,AZ,HOUSE DISTRICT 027,Incumbent,Won-General,105115.24
"MONTENEGRO, STEVE",REPUBLICAN,AZ,SENATE DISTRICT 013,Open,Won-General,98260.95
"FRIESE, RANDALL (RANDY)",DEMOCRATIC,AZ,HOUSE DISTRICT 009,Incumbent,Won-General,93061.71
