Candidate,Party,State,Office,Incumbency,Result,Total Money
"KAINE, TIMOTHY M (TIM)",DEMOCRATIC,VA,US SENATE DISTRICT VA SW-CLASS I,Open,Won-General,18567431.32
"ALLEN, GEORGE F",REPUBLICAN,VA,US SENATE DISTRICT VA SW-CLASS I,Open,Lost-General,14752467.81
"CANTOR, ERIC I",REPUBLICAN,VA,US HOUSE DISTRICT VA 007,Incumbent,Won-General,8958166.99
"RIGELL, EDWARD SCOTT",REPUBLICAN,VA,US HOUSE DISTRICT VA 002,Incumbent,Won-General,2419986.74
"CONNOLLY, GERALD E (GERRY)",DEMOCRATIC,VA,US HOUSE DISTRICT VA 011,Incumbent,Won-General,2280029.42
"HURT, ROBERT",REPUBLICAN,VA,US HOUSE DISTRICT VA 005,Incumbent,Won-General,2082202.77
"HIRSCHBIEL JR, PAUL ODELL",DEMOCRATIC,VA,US HOUSE DISTRICT VA 002,Challenger,Lost-General,1881420.79
"GOODLATTE, ROBERT W (BOB)",REPUBLICAN,VA,US HOUSE DISTRICT VA 006,Incumbent,Won-General,1589771.02
"GRIFFITH, H MORGAN",REPUBLICAN,VA,US HOUSE DISTRICT VA 009,Incumbent,Won-General,1410570.76
"DOUGLASS, JOHN WADE",DEMOCRATIC,VA,US HOUSE DISTRICT VA 005,Challenger,Lost-General,1120021.35
"MORAN JR, JAMES P (JIM)",DEMOCRATIC,VA,US HOUSE DISTRICT VA 008,Incumbent,Won-General,1085842.91
"FORBES, J RANDY",REPUBLICAN,VA,US HOUSE DISTRICT VA 004,Incumbent,Won-General,1068616.05
"WOLF, FRANK R",REPUBLICAN,VA,US HOUSE DISTRICT VA 010,Incumbent,Won-General,1065196.09
"WITTMAN, ROBERT J (ROB)",REPUBLICAN,VA,US HOUSE DISTRICT VA 001,Incumbent,Won-General,946807.00
"POWELL, E (WAYNE)",DEMOCRATIC,VA,US HOUSE DISTRICT VA 007,Challenger,Lost-General,868799.44
"PERKINS, CHRIS S",REPUBLICAN,VA,US HOUSE DISTRICT VA 011,Challenger,Lost-General,541872.90
"FLACCAVENTO, ANTHONY J",DEMOCRATIC,VA,US HOUSE DISTRICT VA 009,Challenger,Lost-General,445338.53
"SCOTT, ROBERT C (BOBBY)",DEMOCRATIC,VA,US HOUSE DISTRICT VA 003,Incumbent,Won-General,444152.39
"CABRAL, KRISTIN ANN",DEMOCRATIC,VA,US HOUSE DISTRICT VA 010,Challenger,Lost-General,288259.85
"MURRAY, J PATRICK",REPUBLICAN,VA,US HOUSE DISTRICT VA 008,Challenger,Lost-General,192931.47
"COOK, ADAM M",DEMOCRATIC,VA,US HOUSE DISTRICT VA 001,Challenger,Lost-General,184919.64
"SCHMOOKLER, ANDY B",DEMOCRATIC,VA,US HOUSE DISTRICT VA 006,Challenger,Lost-General,165083.01
"KRUPICKA JR, KENNETH ROBERT (ROB)",DEMOCRATIC,VA,HOUSE DISTRICT 045,Open,Won-General,122746.84
"ALEXANDER, KENNETH COOPER",DEMOCRATIC,VA,SENATE DISTRICT 005,Open,Won-General,108051.29
"WARD, ELLA P",DEMOCRATIC,VA,US HOUSE DISTRICT VA 004,Challenger,Lost-General,60496.64
"HESTER, DAUN SESSOMS",DEMOCRATIC,VA,HOUSE DISTRICT 089,Open,Won-General,28980.00
"LONGO, DEAN J",REPUBLICAN,VA,US HOUSE DISTRICT VA 003,Challenger,Lost-General,27054.87
"HOWELL, JASON J",INDEPENDENT,VA,US HOUSE DISTRICT VA 008,Challenger,Lost-General,18743.51
"GALDO JR, JOE F",GREEN,VA,US HOUSE DISTRICT VA 011,Challenger,Lost-General,15564.53
"MALKIN, JUSTIN R",LIBERTARIAN,VA,HOUSE DISTRICT 045,Open,Lost-General,9770.68
"MCGHEE, TIMOTHY T C",REPUBLICAN,VA,HOUSE DISTRICT 045,Open,Lost-General,5995.00
"GIBSON, MARK T",INDEPENDENT,VA,US HOUSE DISTRICT VA 011,Challenger,Lost-General,3773.00
"ST JOHN, JAMES J",INDEPENDENT,VA,HOUSE DISTRICT 089,Open,Lost-General,110.49
"CHISHOLM, J KEVIN",INDEPENDENT,VA,US HOUSE DISTRICT VA 010,Challenger,Lost-General,0.00
"PARKER, GLENDA GAIL",INDEPENDENT GREEN,VA,US HOUSE DISTRICT VA 001,Challenger,Lost-General,0.00
"DECARLO, CHRISTOPHER F",INDEPENDENT,VA,US HOUSE DISTRICT VA 011,Challenger,Lost-General,0.00
"HILDEBRANDT, KENNETH J",INDEPENDENT GREEN,VA,US HOUSE DISTRICT VA 005,Challenger,Lost-General,0.00
"MURPHY, JANET",INDEPENDENT GREEN,VA,US HOUSE DISTRICT VA 008,Challenger,Lost-General,0.00
"MARCHETTI, PETER M",INDEPENDENT GREEN,VA,US HOUSE DISTRICT VA 011,Challenger,Lost-General,0.00
