Candidate,Party,State,Office,Incumbency,Result,Total Money
"FULCHER, RUSSELL M (RUSS)",REPUBLICAN,ID,SENATE DISTRICT 022,Incumbent,Won-General,30711.68
"BOUMA, GRESHAM DALE",REPUBLICAN,ID,SENATE DISTRICT 005,Challenger,Lost-General,30322.29
"ELLSWORTH, JULIE A",REPUBLICAN,ID,HOUSE DISTRICT 018-POSITION A,Incumbent,Lost-General,30265.00
"PATTERSON, MARK M",REPUBLICAN,ID,HOUSE DISTRICT 015-POSITION B,Open,Won-General,29955.00
"WOODINGS, HOLLI HIGH",DEMOCRATIC,ID,HOUSE DISTRICT 019-POSITION B,Open,Won-General,29515.17
"PATERSON, GRAHAM",REPUBLICAN,ID,HOUSE DISTRICT 016-POSITION B,Open,Lost-General,29169.37
"NONINI, ROBERT A (BOB)",REPUBLICAN,ID,SENATE DISTRICT 003,Open,Won-General,28608.84
"PACKER, KELLEY",REPUBLICAN,ID,HOUSE DISTRICT 028-POSITION B,Open,Won-General,27950.12
"BURGOYNE, GRANT T",DEMOCRATIC,ID,HOUSE DISTRICT 016-POSITION A,Incumbent,Won-General,27810.29
"BAYER, CLIFFORD R (CLIFF)",REPUBLICAN,ID,SENATE DISTRICT 021,Open,Won-General,27580.00
"PEARCE, MONTY J",REPUBLICAN,ID,SENATE DISTRICT 009,Incumbent,Won-General,26730.76
"HARTGEN, STEPHEN",REPUBLICAN,ID,HOUSE DISTRICT 024-POSITION B,Incumbent,Won-General,26517.00
"STENNETT, MICHELLE RICHER",DEMOCRATIC,ID,SENATE DISTRICT 026,Incumbent,Won-General,26058.74
"RAYBOULD, DELL",REPUBLICAN,ID,HOUSE DISTRICT 034-POSITION B,Incumbent,Won-General,25636.03
"BOCK, LESLIE",DEMOCRATIC,ID,SENATE DISTRICT 016,Incumbent,Won-General,25565.00
"RINGO, SHIRLEY GENE",DEMOCRATIC,ID,HOUSE DISTRICT 005-POSITION B,Incumbent,Won-General,25501.38
"BAIR, R STEVEN",REPUBLICAN,ID,SENATE DISTRICT 031,Incumbent,Won-General,25040.00
"HEIDER, LEE",REPUBLICAN,ID,SENATE DISTRICT 024,Incumbent,Won-General,24708.00
"HIXON, BRANDON",REPUBLICAN,ID,HOUSE DISTRICT 010-POSITION A,Open,Won-General,24206.48
"LUKER, LYNN M",REPUBLICAN,ID,HOUSE DISTRICT 015-POSITION A,Incumbent,Won-General,23510.37
"VAN ORDEN, JULIE",REPUBLICAN,ID,HOUSE DISTRICT 031-POSITION B,Open,Won-General,23307.37
"LACEY, ROY",DEMOCRATIC,ID,SENATE DISTRICT 029,Open,Won-General,23233.32
"BOYLE, JUDY",REPUBLICAN,ID,HOUSE DISTRICT 009-POSITION B,Incumbent,Won-General,23127.83
"TRUJILLO, JANET",REPUBLICAN,ID,HOUSE DISTRICT 033-POSITION A,Open,Won-General,22930.34
"TIPPETS, JOHN H",REPUBLICAN,ID,SENATE DISTRICT 032,Open,Won-General,22415.00
"REMINGTON, JOHN C",DEMOCRATIC,ID,HOUSE DISTRICT 026-POSITION A,Open,Lost-General,22289.49
"ROMRIELL, GREGORY (GREG)",REPUBLICAN,ID,SENATE DISTRICT 029,Open,Lost-General,22230.00
"MONKS, JASON A",REPUBLICAN,ID,HOUSE DISTRICT 022-POSITION B,Open,Won-General,21801.75
"BARBIERI, VITO",REPUBLICAN,ID,HOUSE DISTRICT 002-POSITION A,Incumbent,Won-General,20882.16
"KAUFFMAN, CLARK",REPUBLICAN,ID,HOUSE DISTRICT 025-POSITION B,Open,Won-General,20121.80
"THAYN, STEVEN",REPUBLICAN,ID,SENATE DISTRICT 008,Open,Won-General,20060.00
"FORNSHELL, ROSEMARY",DEMOCRATIC,ID,HOUSE DISTRICT 024-POSITION B,Challenger,Lost-General,19704.88
"GERTONSON, PETE B",DEMOCRATIC,ID,HOUSE DISTRICT 006-POSITION A,Open,Lost-General,19493.60
"GIBBS, MARCUS J",REPUBLICAN,ID,HOUSE DISTRICT 032-POSITION A,Incumbent,Won-General,19210.00
"DEMORDAUNT, REED",REPUBLICAN,ID,HOUSE DISTRICT 014-POSITION B,Incumbent,Won-General,19196.84
"AGIDIUS, LUCINDA L (CINDY)",REPUBLICAN,ID,HOUSE DISTRICT 005-POSITION A,Open,Won-General,18707.00
"GANNON, JOHN L",DEMOCRATIC,ID,HOUSE DISTRICT 017-POSITION A,Open,Won-General,18670.96
"NUXOLL, SHERYL L",REPUBLICAN,ID,SENATE DISTRICT 007,Incumbent,Won-General,18600.00
"MANNING, TRAVIS",DEMOCRATIC,ID,HOUSE DISTRICT 010-POSITION A,Open,Lost-General,18073.32
"HANCEY JR, DOUGLAS A",REPUBLICAN,ID,HOUSE DISTRICT 034-POSITION A,Open,Won-General,17929.00
"NESSE, ANNE L",DEMOCRATIC,ID,HOUSE DISTRICT 004-POSITION B,Challenger,Lost-General,17896.99
"DEVRIES, KENNETH B",REPUBLICAN,ID,HOUSE DISTRICT 005-POSITION B,Challenger,Lost-General,17733.14
"SIMS, M KATHLEEN (KATHY)",REPUBLICAN,ID,HOUSE DISTRICT 004-POSITION B,Incumbent,Won-General,17638.17
"LARSON, LARY S",DEMOCRATIC,ID,HOUSE DISTRICT 034-POSITION A,Open,Lost-General,17497.65
"BOLZ, DARRELL G",REPUBLICAN,ID,HOUSE DISTRICT 010-POSITION B,Incumbent,Won-General,17434.70
"PEAVEY-DERR, JUDY",REPUBLICAN,ID,SENATE DISTRICT 017,Challenger,Lost-General,17110.00
"ANDRUS, KEN",REPUBLICAN,ID,HOUSE DISTRICT 028-POSITION A,Incumbent,Won-General,16825.00
"PATRICK, JIM",REPUBLICAN,ID,SENATE DISTRICT 025,Open,Won-General,16726.00
"WILLS, RICHARD",REPUBLICAN,ID,HOUSE DISTRICT 023-POSITION A,Incumbent,Won-General,16650.00
"ANDERSON, NEIL A",REPUBLICAN,ID,HOUSE DISTRICT 031-POSITION A,Open,Won-General,16492.25
"PENCE, DONNA LEE",DEMOCRATIC,ID,HOUSE DISTRICT 026-POSITION B,Incumbent,Won-General,15959.38
"FINKELNBURG, DAVE",DEMOCRATIC,ID,SENATE DISTRICT 028,Open,Lost-General,15716.00
"BOWEN, DAVE",REPUBLICAN,ID,HOUSE DISTRICT 029-POSITION A,Open,Lost-General,15379.48
"BATEMAN, LINDEN B",REPUBLICAN,ID,HOUSE DISTRICT 033-POSITION B,Incumbent,Won-General,14995.00
"CANTAMESSA, JON F",INDEPENDENT,ID,SENATE DISTRICT 007,Challenger,Lost-General,14903.12
"SMITH, ELAINE",DEMOCRATIC,ID,HOUSE DISTRICT 029-POSITION B,Incumbent,Won-General,14675.00
"MORTIMER, DEAN M",REPUBLICAN,ID,SENATE DISTRICT 030,Incumbent,Won-General,14675.00
"MENDIVE, RON",REPUBLICAN,ID,HOUSE DISTRICT 003-POSITION A,Open,Won-General,14616.58
"SHEPHERD, PAUL E",REPUBLICAN,ID,HOUSE DISTRICT 007-POSITION B,Incumbent,Won-General,14516.25
"MILLER, C STEVEN (STEVE)",REPUBLICAN,ID,HOUSE DISTRICT 026-POSITION A,Open,Won-General,14341.49
"HARRIS, STEVEN C",REPUBLICAN,ID,HOUSE DISTRICT 021-POSITION A,Open,Won-General,14095.00
"HORMAN, WENDY",REPUBLICAN,ID,HOUSE DISTRICT 030-POSITION B,Open,Won-General,13899.53
"GESTRIN, TERRY F",REPUBLICAN,ID,HOUSE DISTRICT 008-POSITION A,Open,Won-General,13503.57
"COLLINS, GARY",REPUBLICAN,ID,HOUSE DISTRICT 013-POSITION B,Incumbent,Won-General,13474.48
"BARRETT, LENORE HARDY",REPUBLICAN,ID,HOUSE DISTRICT 008-POSITION B,Incumbent,Won-General,12920.00
