,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2017,U.S. Representative,6 Run-Off Election,Handel,REP,49.0,Ossoff,DEM,48.8,,nan,
1,2017,U.S. Representative,6 Run-Off Election,Handel,REP,49.0,Ossoff,DEM,49.0,,nan,
2,2017,U.S. Representative,6 Run-Off Election,Handel,REP,51.0,Ossoff,DEM,49.0,,nan,
3,2017,U.S. Representative,6 Run-Off Election,Handel,REP,49.0,Ossoff,DEM,50.0,,nan,
4,2017,U.S. Representative,6 Run-Off Election,Handel,REP,47.0,Ossoff,DEM,47.0,,nan,
5,2016,Senat,0,Isakson,REP,50.4,Barksdale,DEM,39.4,,nan,
6,2016,Senat,0,Isakson,REP,52.0,Barksdale,DEM,41.0,,nan,
7,2016,Senat,0,Isakson,REP,50.0,Barksdale,DEM,39.0,,nan,
8,2016,Senat,0,Isakson,REP,48.0,Barksdale,DEM,37.0,,nan,
9,2016,Senat,0,Isakson,REP,48.0,Barksdale,DEM,40.0,,nan,
10,2016,Senat,0,Isakson,REP,54.0,Barksdale,DEM,40.0,,nan,
11,2014,Governor,0,Carter,DEM,43.8,Deal,REP,48.4,,nan,
12,2014,Governor,0,Carter,DEM,45.0,Deal,REP,49.0,,nan,
13,2014,Governor,0,Carter,DEM,45.0,Deal,REP,51.0,,nan,
14,2014,Governor,0,Carter,DEM,42.0,Deal,REP,47.0,,nan,
15,2014,Governor,0,Carter,DEM,44.0,Deal,REP,47.0,,nan,
16,2014,Governor,0,Carter,DEM,43.0,Deal,REP,48.0,,nan,
17,2014,U.S. Representative,12,Allen,REP,47.0,Barrow,DEM,46.0,,nan,
18,2014,U.S. Representative,12,Allen,REP,48.0,Barrow,DEM,44.0,,nan,
19,2010,Governor,0,Barnes,DEM,40.5,Deal,REP,48.0,,nan,
20,2010,Governor,0,Barnes,DEM,40.0,Deal,REP,47.0,,nan,
21,2010,Governor,0,Barnes,DEM,42.0,Deal,REP,49.0,,nan,
22,2010,Governor,0,Barnes,DEM,39.0,Deal,REP,49.0,,nan,
23,2010,Governor,0,Barnes,DEM,41.0,Deal,REP,47.0,,nan,
24,2010,Senator,0,Isakson,REP,57.3,Thurmond,DEM,32.8,,nan,
25,2010,Senator,0,Isakson,REP,56.0,Thurmond,DEM,33.0,,nan,
26,2010,Senator,0,Isakson,REP,59.0,Thurmond,DEM,29.0,,nan,
27,2010,Senator,0,Isakson,REP,58.0,Thurmond,DEM,34.0,,nan,
28,2010,Senator,0,Isakson,REP,56.0,Thurmond,DEM,35.0,,nan,
29,2010,U.S. Representative,2,Bishop,DEM,46.0,Keown,REP,50.0,,nan,
30,2010,U.S. Representative,2,Bishop,DEM,45.0,Keown,REP,47.0,,nan,
31,2010,U.S. Representative,8,Marshall,DEM,39.0,Scott,REP,53.0,,nan,
32,2010,U.S. Representative,8,Marshall,DEM,37.0,Scott,REP,50.0,,nan,
33,2010,U.S. Representative,8,Marshall,DEM,35.0,Scott,REP,51.0,,nan,
