,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,U.S. Representative,2,Craig,DEM,46.0,Lewis,REP,41.0,,nan,
1,2016,U.S. Representative,3,Paulsen,REP,49.0,Bonoff,DEM,38.0,,nan,
2,2016,U.S. Representative,8,Mills,REP,45.0,Nolan,DEM,41.0,,nan,
3,2014,Governor,0,Dayton,DEM,47.3,Johnson,REP,40.3,,nan,
4,2014,Governor,0,Dayton,DEM,47.0,Johnson,REP,42.0,,nan,
5,2014,Governor,0,Dayton,DEM,50.0,Johnson,REP,41.0,,nan,
6,2014,Governor,0,Dayton,DEM,45.0,Johnson,REP,38.0,,nan,
7,2014,Senator,0,Franken,DEM,50.0,McFadden,REP,40.0,,nan,
8,2014,Senator,0,Franken,DEM,51.0,McFadden,REP,40.0,,nan,
9,2014,Senator,0,Franken,DEM,51.0,McFadden,REP,41.0,,nan,
10,2014,Senator,0,Franken,DEM,48.0,McFadden,REP,39.0,,nan,
11,2014,U.S. Representative,2,Kline,REP,54.0,Obermueller,DEM,32.0,,nan,
12,2014,U.S. Representative,7,Peterson,DEM,50.0,Westrom,REP,41.0,,nan,
13,2014,U.S. Representative,8,Mills,REP,47.0,Nolan,DEM,39.0,,nan,
14,2012,Senator,0,Bills,REP,29.3,Klobuchar,DEM,60.8,,nan,
15,2012,Senator,0,Bills,REP,32.0,Klobuchar,DEM,62.0,,nan,
16,2012,Senator,0,Bills,REP,30.0,Klobuchar,DEM,60.0,,nan,
17,2012,Senator,0,Bills,REP,22.0,Klobuchar,DEM,65.0,,nan,
18,2012,Senator,0,Bills,REP,33.0,Klobuchar,DEM,56.0,,nan,
19,2012,U.S. Representative,6,Bachmann,REP,51.0,Graves,DEM,45.0,,nan,
20,2012,U.S. Representative,6,Bachmann,REP,50.0,Graves,DEM,41.0,,nan,
21,2012,U.S. Representative,8,Cravaack,REP,45.0,Nolan,DEM,47.0,,nan,
22,2012,U.S. Representative,8,Cravaack,REP,43.0,Nolan,DEM,50.0,,nan,
23,2010,Governor,0,Dayton,DEM,41.6,Emmer,REP,36.4,Horner,IND,12.4
24,2010,Governor,0,Dayton,DEM,43.0,Emmer,REP,40.0,Horner,IND,15
25,2010,Governor,0,Dayton,DEM,39.0,Emmer,REP,38.0,Horner,IND,13
26,2010,Governor,0,Dayton,DEM,41.0,Emmer,REP,29.0,Horner,IND,11
27,2010,Governor,0,Dayton,DEM,41.0,Emmer,REP,34.0,Horner,IND,13
28,2010,Governor,0,Dayton,DEM,44.0,Emmer,REP,41.0,Horner,IND,10
29,2010,U.S. Representative,1,Demmer,REP,41.0,Walz,DEM,50.0,,nan,
30,2010,U.S. Representative,1,Demmer,REP,42.0,Walz,DEM,47.0,,nan,
31,2010,U.S. Representative,6,Bachmann,REP,49.0,Clark,DEM,40.0,,nan,
32,2010,U.S. Representative,6,Bachmann,REP,48.0,Clark,DEM,39.0,,nan,
33,2010,U.S. Representative,8,Cravaack,REP,46.0,Oberstar,DEM,47.0,,nan,
