,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Young,REP,42.7,Bayh,DEM,42.0,,nan,
1,2016,Senator,0,Young,REP,46.0,Bayh,DEM,41.0,,nan,
2,2016,Senator,0,Young,REP,37.0,Bayh,DEM,40.0,,nan,
3,2016,Senator,0,Young,REP,45.0,Bayh,DEM,45.0,,nan,
4,2016,Governor,0,Gregg,DEM,44.0,Holcomb,REP,40.7,,nan,
5,2016,Governor,0,Gregg,DEM,42.0,Holcomb,REP,42.0,,nan,
6,2016,Governor,0,Gregg,DEM,42.0,Holcomb,REP,38.0,,nan,
7,2016,Governor,0,Gregg,DEM,48.0,Holcomb,REP,42.0,,nan,
8,2012,Governor,0,Gregg,DEM,40.0,Pence,REP,47.0,,nan,
9,2012,Governor,0,Gregg,DEM,34.0,Pence,REP,47.0,,nan,
10,2012,Governor,0,Gregg,DEM,31.0,Pence,REP,44.0,,nan,
11,2010,Senator,0,Coats,REP,53.0,Ellsworth,DEM,33.7,,nan,
12,2010,Senator,0,Coats,REP,54.0,Ellsworth,DEM,32.0,,nan,
13,2010,Senator,0,Coats,REP,52.0,Ellsworth,DEM,34.0,,nan,
14,2010,Senator,0,Coats,REP,53.0,Ellsworth,DEM,35.0,,nan,
15,2010,U.S. Representative,2,Donnelly,DEM,48.0,Walorski,REP,43.0,,nan,
16,2010,U.S. Representative,2,Donnelly,DEM,48.0,Walorski,REP,39.0,,nan,
17,2010,U.S. Representative,2,Donnelly,DEM,46.0,Walorski,REP,44.0,,nan,
