,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2017,Governor,0,Northam,DEM,47.7,Gillespie,REP,44.4,,nan,
1,2017,Governor,0,Northam,DEM,47.0,Gillespie,REP,45.0,,nan,
2,2017,Governor,0,Northam,DEM,48.0,Gillespie,REP,43.0,,nan,
3,2017,Governor,0,Northam,DEM,47.0,Gillespie,REP,46.0,,nan,
4,2017,Governor,0,Northam,DEM,49.0,Gillespie,REP,46.0,,nan,
5,2017,Governor,0,Northam,DEM,51.0,Gillespie,REP,42.0,,nan,
6,2017,Governor,0,Northam,DEM,45.0,Gillespie,REP,45.0,,nan,
7,2017,Governor,0,Northam,DEM,51.0,Gillespie,REP,45.0,,nan,
8,2017,Governor,0,Northam,DEM,49.0,Gillespie,REP,48.0,,nan,
9,2017,Governor,0,Northam,DEM,43.0,Gillespie,REP,40.0,,nan,
10,2017,Governor,0,Northam,DEM,48.0,Gillespie,REP,43.0,,nan,
11,2017,Governor,0,Northam,DEM,47.0,Gillespie,REP,47.0,,nan,
12,2017,Governor,0,Northam,DEM,47.0,Gillespie,REP,43.0,,nan,
13,2014,Senator,0,Gillespie,REP,38.8,Warner,DEM,48.5,,nan,
14,2014,Senator,0,Gillespie,REP,44.0,Warner,DEM,51.0,,nan,
15,2014,Senator,0,Gillespie,REP,35.0,Warner,DEM,47.0,,nan,
16,2014,Senator,0,Gillespie,REP,39.0,Warner,DEM,49.0,,nan,
17,2014,Senator,0,Gillespie,REP,37.0,Warner,DEM,47.0,,nan,
18,2013,Go,0,Cuccinelli,REP,38.9,McAuliffe,DEM,45.6,Sarvis,LIB,9.6
19,2013,Go,0,Cuccinelli,REP,43.0,McAuliffe,DEM,50.0,Sarvis,LIB,4
20,2013,Go,0,Cuccinelli,REP,40.0,McAuliffe,DEM,46.0,Sarvis,LIB,8
21,2013,Go,0,Cuccinelli,REP,38.0,McAuliffe,DEM,45.0,Sarvis,LIB,10
22,2013,Go,0,Cuccinelli,REP,40.0,McAuliffe,DEM,42.0,Sarvis,LIB,13
23,2013,Go,0,Cuccinelli,REP,36.0,McAuliffe,DEM,43.0,Sarvis,LIB,12
24,2013,Go,0,Cuccinelli,REP,36.0,McAuliffe,DEM,42.0,Sarvis,LIB,12
25,2013,Go,0,Cuccinelli,REP,39.0,McAuliffe,DEM,51.0,Sarvis,LIB,8
26,2012,Senator,0,Allen,REP,46.8,Kaine,DEM,48.6,,nan,
27,2012,Senator,0,Allen,REP,47.0,Kaine,DEM,49.0,,nan,
28,2012,Senator,0,Allen,REP,46.0,Kaine,DEM,52.0,,nan,
29,2012,Senator,0,Allen,REP,46.0,Kaine,DEM,49.0,,nan,
30,2012,Senator,0,Allen,REP,50.0,Kaine,DEM,50.0,,nan,
31,2012,Senator,0,Allen,REP,46.0,Kaine,DEM,50.0,,nan,
32,2012,Senator,0,Allen,REP,48.0,Kaine,DEM,46.0,,nan,
33,2012,Senator,0,Allen,REP,47.0,Kaine,DEM,42.0,,nan,
34,2012,Senator,0,Allen,REP,44.0,Kaine,DEM,51.0,,nan,
35,2012,U.S. Representative,2,Hirschbiel,DEM,32.0,Rigell,REP,44.0,,nan,
36,2010,U.S. Representative,2,Nye,DEM,41.0,Rigell,REP,42.0,,nan,
37,2010,U.S. Representative,2,Nye,DEM,36.0,Rigell,REP,42.0,,nan,
38,2010,U.S. Representative,5,Hurt,REP,51.0,Perriello,DEM,43.0,,nan,
39,2010,U.S. Representative,5,Hurt,REP,46.0,Perriello,DEM,40.0,,nan,
40,2010,U.S. Representative,5,Hurt,REP,52.0,Perriello,DEM,41.0,,nan,
41,2010,U.S. Representative,5,Hurt,REP,45.0,Perriello,DEM,44.0,,nan,
42,2010,U.S. Representative,5,Hurt,REP,58.0,Perriello,DEM,35.0,,nan,
43,2010,U.S. Representative,5,Hurt,REP,61.0,Perriello,DEM,35.0,,nan,
44,2010,U.S. Representative,5,Hurt,REP,49.0,Perriello,DEM,43.0,,nan,
45,2010,U.S. Representative,5,Hurt,REP,58.0,Perriello,DEM,35.0,,nan,
46,2010,U.S. Representative,5,Hurt,REP,44.0,Perriello,DEM,44.0,,nan,
47,2010,U.S. Representative,9,Boucher,DEM,46.0,Griffith,REP,47.0,,nan,
48,2010,U.S. Representative,9,Boucher,DEM,51.0,Griffith,REP,41.0,,nan,
49,2010,U.S. Representative,9,Boucher,DEM,53.0,Griffith,REP,38.0,,nan,
50,2010,U.S. Representative,9,Boucher,DEM,50.0,Griffith,REP,40.0,,nan,
51,2010,U.S. Representative,9,Boucher,DEM,52.0,Griffith,REP,39.0,,nan,
52,2009,Governor,0,McDonnell,REP,54.6,Deeds,DEM,41.2,,nan,
53,2009,Governor,0,McDonnell,REP,58.0,Deeds,DEM,40.0,,nan,
54,2009,Governor,0,McDonnell,REP,53.0,Deeds,DEM,41.0,,nan,
55,2009,Governor,0,McDonnell,REP,54.0,Deeds,DEM,41.0,,nan,
56,2009,Governor,0,McDonnell,REP,54.0,Deeds,DEM,44.0,,nan,
57,2009,Governor,0,McDonnell,REP,54.0,Deeds,DEM,40.0,,nan,
