,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Bennet,DEM,48.2,Glenn,REP,40.8,,nan,
1,2016,Senator,0,Bennet,DEM,50.0,Glenn,REP,40,,nan,
2,2016,Senator,0,Bennet,DEM,49.0,Glenn,REP,38,,nan,
3,2016,Senator,0,Bennet,DEM,47.0,Glenn,REP,44,,nan,
4,2016,Senator,0,Bennet,DEM,48.0,Glenn,REP,40,,nan,
5,2016,Senator,0,Bennet,DEM,47.0,Glenn,REP,42,,nan,
6,2014,Governor,0,Beauprez,REP,44.8,Hickenlooper,DEM,45.3,,nan,
7,2014,Governor,0,Beauprez,REP,46.0,Hickenlooper,DEM,46,,nan,
8,2014,Governor,0,Beauprez,REP,45.0,Hickenlooper,DEM,43,,nan,
9,2014,Governor,0,Beauprez,REP,42.0,Hickenlooper,DEM,44,,nan,
10,2014,Governor,0,Beauprez,REP,46.0,Hickenlooper,DEM,46,,nan,
11,2014,Governor,0,Beauprez,REP,49.0,Hickenlooper,DEM,47,,nan,
12,2014,Governor,0,Beauprez,REP,41.0,Hickenlooper,DEM,46,,nan,
13,2010,Governor,0,Hickenlooper,DEM,47.3,Maes,REP,7.0,Tancredo,nan,43.3
14,2010,Governor,0,Hickenlooper,DEM,48.0,Maes,REP,8,Tancredo,nan,43
15,2010,Governor,0,Hickenlooper,DEM,47.0,Maes,REP,6,Tancredo,nan,44
16,2010,Governor,0,Hickenlooper,DEM,47.0,Maes,REP,--,Tancredo,nan,43
17,2010,Senator,0,Bennet,DEM,46.3,Buck,REP,49.3,,nan,
18,2010,Senator,0,Bennet,DEM,48.0,Buck,REP,49,,nan,
19,2010,Senator,0,Bennet,DEM,46.0,Buck,REP,50,,nan,
20,2010,Senator,0,Bennet,DEM,45.0,Buck,REP,49,,nan,
21,2010,U.S. Representative,3,Salazar,DEM,43.0,Tipton,REP,47,,nan,
22,2010,U.S. Representative,3,Salazar,DEM,43.0,Tipton,REP,51,,nan,
23,2010,U.S. Representative,4,Gardner,REP,44.0,Markey,DEM,41,,nan,
24,2010,U.S. Representative,4,Gardner,REP,50.0,Markey,DEM,39,,nan,
25,2010,U.S. Representative,7,Frazier,REP,40.0,Perlmutter,DEM,39,,nan,
