,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2014,Governor,0,Abbott,REP,52.7,Davis,DEM,35.7,,nan,
1,2014,Governor,0,Abbott,REP,57.0,Davis,DEM,37.0,,nan,
2,2014,Governor,0,Abbott,REP,54.0,Davis,DEM,38.0,,nan,
3,2014,Governor,0,Abbott,REP,47.0,Davis,DEM,32.0,,nan,
4,2014,Senator,0,Alameel,DEM,31.3,Cornyn,REP,53.0,,nan,
5,2014,Senator,0,Alameel,DEM,35.0,Cornyn,REP,57.0,,nan,
6,2014,Senator,0,Alameel,DEM,31.0,Cornyn,REP,57.0,,nan,
7,2014,Senator,0,Alameel,DEM,29.0,Cornyn,REP,50.0,,nan,
8,2014,Senator,0,Alameel,DEM,30.0,Cornyn,REP,48.0,,nan,
9,2012,Senator,0,Cruz,REP,51.0,Sadler,DEM,33.0,,nan,
10,2012,Senator,0,Cruz,REP,50.0,Sadler,DEM,24.0,,nan,
11,2012,Senator,0,Cruz,REP,44.0,Sadler,DEM,34.0,,nan,
12,2012,Senator,0,Cruz,REP,41.0,Sadler,DEM,31.0,,nan,
13,2010,Governor,0,Perry,REP,51.0,White,DEM,41.3,,nan,
14,2010,Governor,0,Perry,REP,53.0,White,DEM,44.0,,nan,
15,2010,Governor,0,Perry,REP,49.0,White,DEM,37.0,,nan,
16,2010,Governor,0,Perry,REP,51.0,White,DEM,43.0,,nan,
17,2010,U.S. Representative,17,Edwards,DEM,40.0,Flores,REP,52.0,,nan,
