,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Boozman,REP,52.0,Eldridge,DEM,34.0,,nan,
1,2016,Senator,0,Boozman,REP,44.0,Eldridge,DEM,30.0,,nan,
2,2014,Governor,0,Hutchinson,REP,49.0,Ross,DEM,41.0,,nan,
3,2014,Governor,0,Hutchinson,REP,51.0,Ross,DEM,41.0,,nan,
4,2014,Governor,0,Hutchinson,REP,50.0,Ross,DEM,43.0,,nan,
5,2014,Governor,0,Hutchinson,REP,50.0,Ross,DEM,39.0,,nan,
6,2014,Governor,0,Hutchinson,REP,47.0,Ross,DEM,44.0,,nan,
7,2014,Governor,0,Hutchinson,REP,47.0,Ross,DEM,38.0,,nan,
8,2014,Governor,0,Hutchinson,REP,49.0,Ross,DEM,41.0,,nan,
9,2014,U.S. Representative,2,Hays,DEM,46.0,Hill,REP,42.0,,nan,
10,2014,U.S. Representative,2,Hays,DEM,43.0,Hill,REP,44.0,,nan,
11,2014,U.S. Representative,4,Westerman,REP,44.0,Witt,DEM,42.0,,nan,
12,2014,U.S. Representative,4,Westerman,REP,48.0,Witt,DEM,34.0,,nan,
13,2010,Governor,0,Beebe,DEM,60.3,Keet,REP,35.3,,nan,
14,2010,Governor,0,Beebe,DEM,60.0,Keet,REP,38.0,,nan,
15,2010,Governor,0,Beebe,DEM,62.0,Keet,REP,35.0,,nan,
16,2010,Governor,0,Beebe,DEM,59.0,Keet,REP,33.0,,nan,
17,2010,Senator,0,Boozman,REP,54.7,Lincoln,DEM,35.0,,nan,
18,2010,Senator,0,Boozman,REP,55.0,Lincoln,DEM,36.0,,nan,
19,2010,Senator,0,Boozman,REP,54.0,Lincoln,DEM,35.0,,nan,
20,2010,Senator,0,Boozman,REP,55.0,Lincoln,DEM,34.0,,nan,
21,2010,U.S. Representative,1,Causey,DEM,34.0,Crawford,REP,42.0,,nan,
22,2010,U.S. Representative,1,Causey,DEM,34.0,Crawford,REP,46.0,,nan,
23,2010,U.S. Representative,1,Causey,DEM,32.0,Crawford,REP,48.0,,nan,
24,2010,U.S. Representative,2,Elliott,DEM,38.0,Griffin,REP,50.0,,nan,
25,2010,U.S. Representative,2,Elliott,DEM,35.0,Griffin,REP,52.0,,nan,
26,2010,U.S. Representative,4,Rankin,REP,34.0,Ross,DEM,52.0,,nan,
27,2010,U.S. Representative,4,Rankin,REP,31.0,Ross,DEM,49.0,,nan,
