,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Rubio,REP,48.5,Murphy,DEM,44.8,,nan,
1,2016,Senator,0,Rubio,REP,50.0,Murphy,DEM,43.0,,nan,
2,2016,Senator,0,Rubio,REP,47.0,Murphy,DEM,44.0,,nan,
3,2016,Senator,0,Rubio,REP,50.0,Murphy,DEM,46.0,,nan,
4,2016,Senator,0,Rubio,REP,47.0,Murphy,DEM,46.0,,nan,
5,2016,U.S. Representative,13,Crist,DEM,54.0,Jolly,REP,36.0,,nan,
6,2014,Governor,0,Crist,DEM,43.0,Scott,REP,42.4,,nan,
7,2014,Governor,0,Crist,DEM,47.0,Scott,REP,46.0,,nan,
8,2014,Governor,0,Crist,DEM,44.0,Scott,REP,42.0,,nan,
9,2014,Governor,0,Crist,DEM,41.0,Scott,REP,41.0,,nan,
10,2014,Governor,0,Crist,DEM,36.0,Scott,REP,36.0,,nan,
11,2014,Governor,0,Crist,DEM,47.0,Scott,REP,47.0,,nan,
12,2014,U.S. Representative,26,Curbelo,REP,46.0,Garcia,DEM,42.0,,nan,
13,2012,Senator,0,Mack,REP,43.8,Nelson,DEM,50.0,,nan,
14,2012,Senator,0,Mack,REP,46.0,Nelson,DEM,51.0,,nan,
15,2012,Senator,0,Mack,REP,43.0,Nelson,DEM,52.0,,nan,
16,2012,Senator,0,Mack,REP,43.0,Nelson,DEM,49.0,,nan,
17,2012,Senator,0,Mack,REP,46.0,Nelson,DEM,49.0,,nan,
18,2012,Senator,0,Mack,REP,41.0,Nelson,DEM,49.0,,nan,
19,2010,Governor,0,Scott,REP,45.7,Sink,DEM,44.5,,nan,--
20,2010,Governor,0,Scott,REP,49.0,Sink,DEM,45.0,,nan,
21,2010,Governor,0,Scott,REP,47.0,Sink,DEM,48.0,,nan,
22,2010,Governor,0,Scott,REP,43.0,Sink,DEM,44.0,,nan,
23,2010,Governor,0,Scott,REP,48.0,Sink,DEM,45.0,,nan,
24,2010,Governor,0,Scott,REP,43.0,Sink,DEM,46.0,,nan,
25,2010,Governor,0,Scott,REP,44.0,Sink,DEM,39.0,,nan,
26,2010,Senator,0,Crist,IND,30.0,Meek,DEM,19.2,Rubio,REP,47.0
27,2010,Senator,0,Crist,IND,30.0,Meek,DEM,21.0,Rubio,REP,47
28,2010,Senator,0,Crist,IND,31.0,Meek,DEM,20.0,Rubio,REP,48
29,2010,Senator,0,Crist,IND,31.0,Meek,DEM,18.0,Rubio,REP,45
30,2010,Senator,0,Crist,IND,30.0,Meek,DEM,16.0,Rubio,REP,50
31,2010,Senator,0,Crist,IND,28.0,Meek,DEM,21.0,Rubio,REP,45
32,2010,2010 Key  House s,0,Boyd,DEM,38.0,Southerland,REP,50.0,,nan,
33,2010,2010 Key  House s,0,Boyd,DEM,38.0,Southerland,REP,50.0,,nan,
