,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,McCain,REP,49.5,Kirkpatrick,DEM,39.5,,nan,
1,2016,Senator,0,McCain,REP,55.0,Kirkpatrick,DEM,39.0,,nan,
2,2016,Senator,0,McCain,REP,54.0,Kirkpatrick,DEM,41.0,,nan,
3,2016,Senator,0,McCain,REP,46.0,Kirkpatrick,DEM,40.0,,nan,
4,2016,Senator,0,McCain,REP,43.0,Kirkpatrick,DEM,38.0,,nan,
5,2014,Governor,0,Ducey,REP,48.5,DuVal,DEM,41.0,,nan,
6,2014,Governor,0,Ducey,REP,50.0,DuVal,DEM,40.0,,nan,
7,2014,Governor,0,Ducey,REP,47.0,DuVal,DEM,42.0,,nan,
8,2014,U.S. Representative,2,Barber,DEM,48.0,McSally,REP,46.0,,nan,
9,2012,Senator,0,Carmona,DEM,45.0,Flake,REP,50.5,,nan,
10,2012,Senator,0,Carmona,DEM,46.0,Flake,REP,51.0,,nan,
11,2012,Senator,0,Carmona,DEM,44.0,Flake,REP,50.0,,nan,
12,2010,Governor,0,Brewer,REP,50.3,Goddard,DEM,39.3,,nan,
13,2010,Governor,0,Brewer,REP,53.0,Goddard,DEM,39.0,,nan,
14,2010,Governor,0,Brewer,REP,52.0,Goddard,DEM,44.0,,nan,
15,2010,Governor,0,Brewer,REP,46.0,Goddard,DEM,35.0,,nan,
16,2010,Senator,0,Glassman,DEM,30.7,McCain,REP,54.7,,nan,
17,2010,Senator,0,Glassman,DEM,32.0,McCain,REP,52.0,,nan,
18,2010,Senator,0,Glassman,DEM,38.0,McCain,REP,56.0,,nan,
19,2010,Senator,0,Glassman,DEM,22.0,McCain,REP,56.0,,nan,
20,2010,U.S. Representative,1,Gosar,REP,46.0,Kirkpatrick,DEM,39.0,,nan,
21,2010,U.S. Representative,1,Gosar,REP,47.0,Kirkpatrick,DEM,41.0,,nan,
22,2010,U.S. Representative,3,Hulburd,DEM,46.0,Quayle,REP,44.0,,nan,
23,2010,U.S. Representative,5,Mitchell,DEM,42.0,Schweikert,REP,45.0,,nan,
24,2010,U.S. Representative,5,Mitchell,DEM,44.0,Schweikert,REP,50.0,,nan,
25,2010,U.S. Representative,7,Grijalva,DEM,40.0,McClung,REP,38.0,,nan,
26,2010,U.S. Representative,8,Giffords,DEM,46.0,Kelly,REP,46.0,,nan,
