,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2014,Governor,0,Hassebrook,DEM,35.0,Ricketts,REP,55.0,,nan,
1,2014,Governor,0,Hassebrook,DEM,35.0,Ricketts,REP,55.0,,nan,
2,2014,Governor,0,Hassebrook,DEM,34.0,Ricketts,REP,54.0,,nan,
3,2014,Governor,0,Hassebrook,DEM,41.0,Ricketts,REP,49.0,,nan,
4,2014,Governor,0,Hassebrook,DEM,40.0,Ricketts,REP,47.0,,nan,
5,2014,Senator,0,Domina,DEM,32.0,Sasse,REP,55.0,,nan,
6,2014,Senator,0,Domina,DEM,30.0,Sasse,REP,59.0,,nan,
7,2014,Senator,0,Domina,DEM,34.0,Sasse,REP,51.0,,nan,
8,2012,Senator,0,Fischer,REP,54.0,Kerrey,DEM,41.0,,nan,
9,2012,Senator,0,Fischer,REP,49.0,Kerrey,DEM,46.0,,nan,
10,2012,Senator,0,Fischer,REP,56.0,Kerrey,DEM,40.0,,nan,
11,2012,Senator,0,Fischer,REP,56.0,Kerrey,DEM,38.0,,nan,
12,2012,Senator,0,Fischer,REP,48.0,Kerrey,DEM,38.0,,nan,
13,2012,Senator,0,Fischer,REP,46.0,Kerrey,DEM,34.0,,nan,
14,2012,U.S. Representative,2,Ewing,DEM,43.0,Terry,REP,47.0,,nan,
15,2012,U.S. Representative,2,Ewing,DEM,38.0,Terry,REP,51.0,,nan,
16,2010,Governor,0,Heineman,REP,66.0,Meister,DEM,24.0,,nan,
17,2010,Governor,0,Heineman,REP,61.0,Meister,DEM,28.0,,nan,
18,2010,Governor,0,Heineman,REP,71.0,Meister,DEM,18.0,,nan,
