,Year,Race,District,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
0,2016,Senator,0,Grassley,REP,56.3,Judge,DEM,34.0,,nan,
1,2016,Senator,0,Grassley,REP,56.0,Judge,DEM,33.0,,nan,
2,2016,Senator,0,Grassley,REP,60.0,Judge,DEM,32.0,,nan,
3,2016,Senator,0,Grassley,REP,53.0,Judge,DEM,37.0,,nan,
4,2016,U.S. Representative,1,Blum,REP,45.0,Vernon,DEM,38.0,,nan,
5,2016,U.S. Representative,3,Young,REP,46.0,Mowrer,DEM,36.0,,nan,
6,2014,Governor,0,Branstad,REP,53.7,Hatch,DEM,36.7,,nan,
7,2014,Governor,0,Branstad,REP,51.0,Hatch,DEM,40.0,,nan,
8,2014,Governor,0,Branstad,REP,52.0,Hatch,DEM,41.0,,nan,
9,2014,Governor,0,Branstad,REP,59.0,Hatch,DEM,35.0,,nan,
10,2014,Governor,0,Branstad,REP,49.0,Hatch,DEM,34.0,,nan,
11,2014,Governor,0,Branstad,REP,55.0,Hatch,DEM,37.0,,nan,
12,2014,Governor,0,Branstad,REP,53.0,Hatch,DEM,36.0,,nan,
13,2014,Governor,0,Branstad,REP,57.0,Hatch,DEM,34.0,,nan,
14,2014,U.S. Representative,1,Blum,REP,44.0,Murphy,DEM,42.0,,nan,
15,2014,U.S. Representative,1,Blum,REP,33.0,Murphy,DEM,35.0,,nan,
16,2014,U.S. Representative,2,Loebsack,DEM,51.0,Miller-Meeks,REP,38.0,,nan,
17,2014,U.S. Representative,2,Loebsack,DEM,49.0,Miller-Meeks,REP,32.0,,nan,
18,2014,U.S. Representative,3,Appel,DEM,44.0,Young,REP,46.0,,nan,
19,2014,U.S. Representative,3,Appel,DEM,42.0,Young,REP,46.0,,nan,
20,2014,U.S. Representative,3,Appel,DEM,40.0,Young,REP,34.0,,nan,
21,2014,U.S. Representative,4,King,REP,51.0,Mowrer,DEM,39.0,,nan,
22,2014,U.S. Representative,4,King,REP,47.0,Mowrer,DEM,36.0,,nan,
23,2010,Governor,0,Branstad,REP,52.3,Culver,DEM,37.3,,nan,
24,2010,Governor,0,Branstad,REP,50.0,Culver,DEM,38.0,,nan,
25,2010,Governor,0,Branstad,REP,55.0,Culver,DEM,37.0,,nan,
26,2010,Governor,0,Branstad,REP,52.0,Culver,DEM,37.0,,nan,
27,2010,Senator,0,Conlin,DEM,30.0,Grassley,REP,61.0,,nan,
28,2010,Senator,0,Conlin,DEM,37.0,Grassley,REP,55.0,,nan,
29,2010,Senator,0,Conlin,DEM,30.0,Grassley,REP,61.0,,nan,
30,2010,Senator,0,Conlin,DEM,35.0,Grassley,REP,55.0,,nan,
31,2010,Senator,0,Conlin,DEM,37.0,Grassley,REP,54.0,,nan,
32,2010,Senator,0,Conlin,DEM,42.0,Grassley,REP,50.0,,nan,
33,2010,Senator,0,Conlin,DEM,31.0,Grassley,REP,57.0,,nan,
34,2010,Senator,0,Conlin,DEM,40.0,Grassley,REP,49.0,,nan,
35,2010,Senator,0,Conlin,DEM,40.0,Grassley,REP,53.0,,nan,
36,2010,Senator,0,Conlin,DEM,36.0,Grassley,REP,55.0,,nan,
37,2010,Senator,0,Conlin,DEM,36.0,Grassley,REP,53.0,,nan,
38,2010,Senator,0,Conlin,DEM,35.0,Grassley,REP,56.0,,nan,
39,2010,U.S. Representative,1,Braley,DEM,50.0,Lange,REP,39.0,,nan,
40,2010,U.S. Representative,2,Loebsack,DEM,47.0,Miller-Meeks,REP,39.0,,nan,
41,2010,U.S. Representative,3,Boswell,DEM,49.0,Zaun,REP,37.0,,nan,
42,2010,U.S. Representative,3,Boswell,DEM,48.0,Zaun,REP,39.0,,nan,
43,2010,U.S. Representative,3,Boswell,DEM,41.0,Zaun,REP,51.0,,nan,
