Candidate,Party,State,Office,Incumbency,Result,Total Money
"SYKES, VERNON",DEMOCRATIC,OH,HOUSE DISTRICT 044,Incumbent,Won-General,678197.19
"JOHNSON, BILL",REPUBLICAN,OH,US HOUSE DISTRICT OH 006,Challenger,Won-General,671347.98
"PETERSON, BOB",REPUBLICAN,OH,HOUSE DISTRICT 085,Challenger,Won-General,668695.64
"CARLE, MATT",REPUBLICAN,OH,HOUSE DISTRICT 020,Challenger,Lost-General,651377.46
"DUFFEY, MIKE",REPUBLICAN,OH,HOUSE DISTRICT 021,Open,Won-General,636072.57
"DOVILLA, MICHAEL D (MIKE)",REPUBLICAN,OH,HOUSE DISTRICT 018,Challenger,Won-General,626386.12
"WILSON, MIKE",REPUBLICAN,OH,HOUSE DISTRICT 028,Challenger,Lost-General,614417.67
"KAPTUR, MARCY",DEMOCRATIC,OH,US HOUSE DISTRICT OH 009,Incumbent,Won-General,600282.30
"DYER, STEPHEN",DEMOCRATIC,OH,HOUSE DISTRICT 043,Incumbent,Lost-General,599212.89
"BROWN, ERIC",NONPARTISAN,OH,SUPREME COURT-CHIEF JUSTICE,Open,Lost-General,592573.13
"LATTA, ROBERT E (BOB)",REPUBLICAN,OH,US HOUSE DISTRICT OH 005,Incumbent,Won-General,586948.93
"COMUNALE, FRANK C",DEMOCRATIC,OH,SENATE DISTRICT 027,Open,Lost-General,578309.09
"YOUNG, RONALD",REPUBLICAN,OH,HOUSE DISTRICT 063,Challenger,Won-General,578093.83
"PATTEN, MATT",DEMOCRATIC,OH,HOUSE DISTRICT 018,Incumbent,Lost-General,566686.84
"BUEHRER, STEPHEN",REPUBLICAN,OH,SENATE DISTRICT 001,Incumbent,Won-General,564353.47
"FUDGE, MARCIA L",DEMOCRATIC,OH,US HOUSE DISTRICT OH 011,Incumbent,Won-General,553653.00
"SEARS, BARBARA R",REPUBLICAN,OH,HOUSE DISTRICT 046,Incumbent,Won-General,535639.96
"MORANO, SUE",DEMOCRATIC,OH,SENATE DISTRICT 013,Incumbent,Lost-General,522113.64
"ANIELSKI, MARLENE",REPUBLICAN,OH,HOUSE DISTRICT 017,Open,Won-General,436484.83
"BARLOS, HARRY",DEMOCRATIC,OH,HOUSE DISTRICT 046,Challenger,Lost-General,423579.60
"HARRIS, MARIAN L",DEMOCRATIC,OH,HOUSE DISTRICT 019,Incumbent,Lost-General,398948.57
"PHILLIPS, DEBBIE M",DEMOCRATIC,OH,HOUSE DISTRICT 092,Incumbent,Won-General,386994.77
"BOSLEY, TODD D",DEMOCRATIC,OH,HOUSE DISTRICT 050,Challenger,Lost-General,385587.42
"WILLIAMS, BRIAN G",DEMOCRATIC,OH,HOUSE DISTRICT 041,Incumbent,Lost-General,366927.89
"SECREST, LINDA",DEMOCRATIC,OH,HOUSE DISTRICT 093,Open,Lost-General,361466.70
"HEARD, TRACY",DEMOCRATIC,OH,HOUSE DISTRICT 026,Incumbent,Won-General,358256.71
"STRAHORN, FRED",DEMOCRATIC,OH,SENATE DISTRICT 005,Incumbent,Lost-General,341089.00
"SNITCHLER, TODD A",REPUBLICAN,OH,HOUSE DISTRICT 050,Incumbent,Won-General,335404.67
"HUFFMAN, MATT",REPUBLICAN,OH,HOUSE DISTRICT 004,Incumbent,Won-General,325265.35
"DANIELS, DAVID T",REPUBLICAN,OH,SENATE DISTRICT 017,Open,Won-General,321685.67
"DRIEHAUS, DENISE M",DEMOCRATIC,OH,HOUSE DISTRICT 031,Incumbent,Won-General,312060.11
"CORRIGAN, PETER J",REPUBLICAN,OH,US HOUSE DISTRICT OH 010,Challenger,Lost-General,311796.65
"THOMPSON, ANDREW M (ANDY)",REPUBLICAN,OH,HOUSE DISTRICT 093,Open,Won-General,311716.78
"DEGEETER, TIMOTHY J",DEMOCRATIC,OH,HOUSE DISTRICT 015,Incumbent,Won-General,299978.61
"SCHAFFER, TIM",REPUBLICAN,OH,SENATE DISTRICT 031,Incumbent,Won-General,289852.95
"NEWBOLD, CRAIG",REPUBLICAN,OH,HOUSE DISTRICT 001,Challenger,Won-General,279433.54
"FOLEY, MIKE",DEMOCRATIC,OH,HOUSE DISTRICT 014,Incumbent,Won-General,276893.26
"WILLIAMS, SANDRA",DEMOCRATIC,OH,HOUSE DISTRICT 011,Incumbent,Won-General,276291.78
"CELESTE, TED",DEMOCRATIC,OH,HOUSE DISTRICT 024,Incumbent,Won-General,271527.06
"BOLON, LINDA S",DEMOCRATIC,OH,HOUSE DISTRICT 001,Incumbent,Lost-General,266491.39
"GENTILE, LOU",DEMOCRATIC,OH,HOUSE DISTRICT 095,Open,Won-General,260311.46
"KEARNEY, ERIC H",DEMOCRATIC,OH,SENATE DISTRICT 009,Incumbent,Won-General,255594.74
"AMSTUTZ, RON",REPUBLICAN,OH,HOUSE DISTRICT 003,Incumbent,Won-General,253560.46
"YALAMANCHILI, SURYA",DEMOCRATIC,OH,US HOUSE DISTRICT OH 002,Challenger,Lost-General,253348.39
"JOHNSON, TERRY A",REPUBLICAN,OH,HOUSE DISTRICT 089,Open,Won-General,252174.07
"GONZALES, ANNE H",REPUBLICAN,OH,HOUSE DISTRICT 019,Challenger,Won-General,248957.99
"COUSSOULE, JUSTIN A",DEMOCRATIC,OH,US HOUSE DISTRICT OH 008,Challenger,Lost-General,247715.62
"GROSSMAN, CHERYL L",REPUBLICAN,OH,HOUSE DISTRICT 023,Incumbent,Won-General,237144.81
"ADAMS, JOHN W",REPUBLICAN,OH,HOUSE DISTRICT 078,Incumbent,Won-General,232414.56
"LETSON, THOMAS B J",DEMOCRATIC,OH,HOUSE DISTRICT 064,Incumbent,Won-General,221070.04
"MCGREGOR, ROSS W",REPUBLICAN,OH,HOUSE DISTRICT 072,Incumbent,Won-General,220078.19
"JORDAN, KRIS",REPUBLICAN,OH,SENATE DISTRICT 019,Open,Won-General,218921.16
"SLABY, LYNN CHARLES",REPUBLICAN,OH,HOUSE DISTRICT 041,Challenger,Won-General,216778.13
"BLESSING JR, LOUIS W",REPUBLICAN,OH,HOUSE DISTRICT 029,Incumbent,Won-General,209808.43
"GARDNER, RANDALL (RANDY)",REPUBLICAN,OH,HOUSE DISTRICT 006,Incumbent,Won-General,208070.91
"MCKENNEY, TODD M",REPUBLICAN,OH,HOUSE DISTRICT 043,Challenger,Won-General,205878.28
"ROEGNER, KRISTINA D",REPUBLICAN,OH,HOUSE DISTRICT 042,Challenger,Won-General,202069.38
"WACHTMANN, LYNN R",REPUBLICAN,OH,HOUSE DISTRICT 075,Incumbent,Won-General,200432.68
