office,candidate,party,state,incumbency,result,total money,district
Governor,Matthew Mead,REP,WY,Open,Won-General,1992791.24,nan
U.S. Representative,Cynthia Marie Lummis,REP,WY,Incumbent,Won-General,538748.48,1
Governor,Leslie Petersen,DEM,WY,Open,Lost-General,309396.91,nan
Superintendent Of Public Instruction,Cynthia Jo Hill,REP,WY,Open,Won-General,246748.47,nan
Superintendent Of Public Instruction,Michael Massie,DEM,WY,Open,Lost-General,220073.74,nan
Auditor,Cynthia Cloud,REP,WY,Open,Won-General,132187.85,nan
U.S. Representative,David Wendt,DEM,WY,Challenger,Lost-General,65708.8,1
Secretary Of State,Max Maxfield,REP,WY,Incumbent,Won-General,61023.86,nan
State Senator,Lori Millin,DEM,WY,Open,Lost-General,32787.39,5
State Senator,Leland Christensen,REP,WY,Open,Won-General,31796.38,17
State Representative,Len Carlman,DEM,WY,Open,Lost-General,28783.23,16
State Representative,Ruth Ann Petroff,REP,WY,Open,Won-General,27068.8,16
State Senator,Tom Frisbie,DEM,WY,Open,Lost-General,25040.0,17
State Senator,Curt Meier,REP,WY,Incumbent,Won-General,24553.74,3
State Representative,Jim Roscoe,DEM,WY,Incumbent,Won-General,23031.0,22
State Representative,Timothy Stubson,REP,WY,Incumbent,Won-General,22260.0,56
State Representative,Kendell Kroeker,REP,WY,Open,Won-General,21059.0,35
Treasurer,Joe Meyer,REP,WY,Incumbent,Won-General,20325.0,nan
State Senator,Fred Emerich,REP,WY,Open,Won-General,18338.38,5
State Representative,Matt Greene,REP,WY,Challenger,Won-General,16006.02,45
State Senator,Saundra Meyer,DEM,WY,Open,Lost-General,15576.55,15
State Representative,Sam Krone,REP,WY,Open,Won-General,14630.0,24
State Representative,Mary Hales,DEM,WY,Incumbent,Lost-General,14323.61,36
State Representative,Gerald Gay,REP,WY,Challenger,Won-General,14150.0,36
State Representative,Ken McCauley,DEM,WY,Open,Lost-General,13650.0,8
State Representative,Hans Hunt,REP,WY,Open,Won-General,13414.96,2
State Representative,Rosie Berger,REP,WY,Incumbent,Won-General,12800.0,51
State Representative,Gregg Blikre,REP,WY,Open,Won-General,12636.07,53
State Representative,Thomas Lubnau II,REP,WY,Incumbent,Won-General,12632.32,31
State Representative,John Freeman,DEM,WY,Open,Won-General,12102.0,60
State Senator,Leslie Nutting,REP,WY,Challenger,Won-General,12075.0,7
State Representative,Peter Illoway,REP,WY,Incumbent,Won-General,11579.72,42
State Representative,Amy Edmonds,REP,WY,Incumbent,Won-General,11150.0,12
State Representative,Bob Nicholas,REP,WY,Open,Won-General,11050.0,8
State Representative,Norine Kasperik,REP,WY,Open,Won-General,11001.38,32
State Senator,Kathryn Sessions,DEM,WY,Incumbent,Lost-General,10610.0,7
State Senator,Jim Elliott,DEM,WY,Open,Lost-General,10600.0,11
State Representative,Carl Loucks,REP,WY,Challenger,Won-General,10375.0,59
State Representative,Bernadine Craft,DEM,WY,Incumbent,Won-General,9913.0,17
State Representative,Sue Wallis,REP,WY,Incumbent,Won-General,9885.0,52
State Representative,Tom Lockhart,REP,WY,Incumbent,Won-General,9735.38,57
State Representative,Bill Winney,REP,WY,Challenger,Lost-General,9305.68,22
State Representative,John Patton,REP,WY,Incumbent,Won-General,9011.38,29
State Senator,William Ogden Driskill,REP,WY,Open,Won-General,8989.94,1
State Representative,Robert Brechtel,REP,WY,Incumbent,Won-General,8475.0,38
State Representative,Mary Ann Throne,DEM,WY,Incumbent,Won-General,8325.0,11
State Representative,Donald Edgar Burkhart Jr.,REP,WY,Challenger,Won-General,8275.68,15
State Senator,Chris Rothfuss,DEM,WY,Open,Won-General,8181.42,9
State Representative,Seth Carson,DEM,WY,Incumbent,Lost-General,8000.0,45
State Representative,John Eklund Jr.,REP,WY,Open,Won-General,7795.35,10
State Representative,James Owen Petersen,REP,WY,Incumbent,Won-General,7725.0,19
State Representative,Mike Gilmore,DEM,WY,Incumbent,Lost-General,7515.0,59
State Representative,Bryan Pedersen,REP,WY,Incumbent,Won-General,7475.0,7
State Senator,Paul Barnard,REP,WY,Open,Won-General,7115.46,15
State Representative,Jon Botten,REP,WY,Open,Won-General,7073.0,30
State Representative,Ken Esquibel,DEM,WY,Incumbent,Won-General,7040.29,41
State Representative,Kathy Davison,REP,WY,Incumbent,Won-General,6851.38,20
State Representative,George Bagby,DEM,WY,Incumbent,Lost-General,6800.0,15
State Representative,Terry Kimble,DEM,WY,Open,Lost-General,6725.0,49
State Senator,Larry Hicks,REP,WY,Open,Won-General,6577.11,11
State Representative,Wayne Beatty,DEM,WY,Challenger,Lost-General,6455.0,38
