office,candidate,party,state,incumbency,result,total money,district
Governor,Lincoln Chafee,IND,RI,Open,Won-General,2561452.14,nan
U.S. Representative,David Cicilline,DEM,RI,Open,Won-General,2037832.65,1
Governor,Frank Caprio,DEM,RI,Open,Lost-General,1747144.86,nan
U.S. Representative,James Langevin,DEM,RI,Incumbent,Won-General,1084061.51,2
Treasurer,Gina Raimondo,DEM,RI,Open,Won-General,916274.55,nan
Lieutenant Governor,Elizabeth Roberts,DEM,RI,Incumbent,Won-General,859620.41,nan
Attorney General,Peter Kilmartin,DEM,RI,Open,Won-General,716150.67,nan
U.S. Representative,John Loughlin II,REP,RI,Open,Lost-General,638465.9,1
Governor,John Robitaille,REP,RI,Open,Lost-General,629903.15,nan
Governor,Kenneth Block,MODERATE,RI,Open,Lost-General,554870.54,nan
Secretary Of State,Ralph Mollis,DEM,RI,Incumbent,Won-General,483010.0,nan
Attorney General,Christopher Little,MODERATE,RI,Open,Lost-General,357238.0,nan
Secretary Of State,Catherine Terry Taylor,REP,RI,Challenger,Lost-General,314940.0,nan
U.S. Representative,David Segal,DEM,RI,Open,Lost-General,265692.78,1
State Representative,Gordon Fox,DEM,RI,Incumbent,Won-General,236077.21,4
Treasurer,Kernan King,REP,RI,Open,Lost-General,235406.97,nan
U.S. Representative,Elizabeth Dennigan,DEM,RI,Challenger,Lost-General,232224.63,2
State Senator,Teresa Paiva-Weed,DEM,RI,Incumbent,Won-General,215255.25,13
U.S. Representative,Mark Zaccaria,REP,RI,Challenger,Lost-General,178322.29,2
State Senator,John Tassoni Jr.,DEM,RI,Incumbent,Won-General,149340.34,22
Attorney General,Erik Wallin,REP,RI,Open,Lost-General,119905.88,nan
State Senator,Dominick Ruggerio,DEM,RI,Incumbent,Won-General,94375.0,4
State Senator,Frank Ciccone III,DEM,RI,Incumbent,Won-General,91968.02,7
State Senator,Kevin Oneill,IND,RI,Challenger,Lost-General,86575.33,37
State Representative,Gregory Schadone,DEM,RI,Incumbent,Won-General,84130.0,54
State Representative,Nicholas Anthony Mattiello,DEM,RI,Incumbent,Won-General,69375.8,15
State Representative,Peter Petrarca,DEM,RI,Incumbent,Won-General,62920.0,44
State Representative,Kenneth Carter,DEM,RI,Incumbent,Lost-General,57970.0,31
State Senator,Maryellen Goodwin,DEM,RI,Incumbent,Won-General,57435.0,1
State Senator,Daniel Da Ponte,DEM,RI,Incumbent,Won-General,55586.77,14
State Senator,Edward Oneill,IND,RI,Incumbent,Won-General,52955.8,17
State Senator,Linda Butera Noble,DEM,RI,Challenger,Lost-General,52590.0,17
State Senator,Joshua Miller,DEM,RI,Incumbent,Won-General,50964.25,28
State Senator,Rhoda Perry,DEM,RI,Incumbent,Won-General,50931.0,3
State Senator,Michael McCaffrey,DEM,RI,Incumbent,Won-General,46540.0,29
Attorney General,Keven McKenna,IND,RI,Open,Lost-General,45434.0,nan
State Representative,Rene Menard,DEM,RI,Incumbent,Won-General,43735.0,45
State Senator,John Assalone,IND,RI,Open,Lost-General,42617.05,21
State Representative,Arthur Corvese,DEM,RI,Incumbent,Won-General,41841.25,55
State Senator,Beatrice Lanzi,DEM,RI,Incumbent,Won-General,41065.0,26
State Senator,Dawson Tucker Hodgson,REP,RI,Open,Won-General,40887.25,35
State Representative,William San Bento Jr.,DEM,RI,Incumbent,Won-General,40820.0,58
State Representative,Daniel Harrop III,REP,RI,Challenger,Lost-General,40375.0,3
State Representative,John McCauley Jr.,DEM,RI,Incumbent,Won-General,39815.0,1
State Senator,Charles Levesque,DEM,RI,Incumbent,Lost-General,39623.0,11
State Representative,Christopher Blazejewski,DEM,RI,Open,Won-General,39274.0,2
State Representative,Teresa Ann Tanzi,DEM,RI,Open,Won-General,38358.0,34
State Representative,Brian Patrick Kennedy,DEM,RI,Incumbent,Won-General,37725.0,38
State Senator,Erin Lynch Prata,DEM,RI,Incumbent,Won-General,35755.0,31
State Senator,Paul Fogarty,DEM,RI,Incumbent,Won-General,35505.0,23
State Representative,Charlene Lima,DEM,RI,Incumbent,Won-General,34030.0,14
State Representative,Patricia Serpa,DEM,RI,Incumbent,Won-General,33790.32,27
State Senator,Michael Pinga,DEM,RI,Incumbent,Won-General,33738.2,9
State Senator,William Walaska,DEM,RI,Incumbent,Won-General,32890.0,30
State Senator,Anthony Colaluca,DEM,RI,Open,Lost-General,32330.48,21
State Senator,Juan Pichardo,DEM,RI,Incumbent,Won-General,32057.16,2
State Senator,Mark Schwager,DEM,RI,Open,Lost-General,31104.65,35
State Senator,Susan Sosnowski,DEM,RI,Incumbent,Won-General,30476.32,37
State Representative,Raymond Hull,DEM,RI,Open,Won-General,29845.42,6
State Representative,Cale Keable,DEM,RI,Open,Won-General,29316.37,47
