office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Johnny Isakson,REP,GA,Incumbent,Won-General,9112090.12,nan
Governor,Roy Eugene Barnes,DEM,GA,Open,Lost-General,9042084.74,nan
Governor,Nathan Deal,REP,GA,Open,Won-General,8554212.84,nan
Lieutenant Governor,S Cagle,REP,GA,Incumbent,Won-General,3198283.2,nan
Governor,Karen Christine Handel,REP,GA,Open,Lost-Primary Runoff,2884515.94,nan
U.S. Representative,Thomas Edmunds Price,REP,GA,Incumbent,Won-General,2091908.07,6
U.S. Representative,John Barrow,DEM,GA,Incumbent,Won-General,1947065.36,12
Attorney General,Samuel Olens,REP,GA,Open,Won-General,1776201.07,nan
Attorney General,Ken Hodges,DEM,GA,Open,Lost-General,1547351.76,nan
U.S. Representative,Sanford Bishop Jr.,DEM,GA,Incumbent,Won-General,1472349.08,2
U.S. Representative,Jim Marshall,DEM,GA,Incumbent,Lost-General,1465190.4,8
U.S. Representative,John Thomas Graves Jr.,REP,GA,Incumbent,Won-General,1399422.37,9
U.S. Representative,John Phillip Gingrey,REP,GA,Incumbent,Won-General,1329476.96,11
U.S. Representative,Mike Keown,REP,GA,Challenger,Lost-General,1202649.77,2
Insurance Commissioner,Ralph Hudgens,REP,GA,Open,Won-General,1117748.14,nan
U.S. Representative,James Austin Scott,REP,GA,Challenger,Won-General,1035186.84,8
U.S. Representative,John Lewis,DEM,GA,Incumbent,Won-General,1007182.19,5
U.S. Representative,H Kingston,REP,GA,Incumbent,Won-General,995341.66,1
U.S. Representative,Lee Hawkins Jr.,REP,GA,Challenger,Lost-Primary Runoff,974909.61,9
Agriculture Commissioner,Sean McGary,REP,GA,Open,Won-General,924294.17,nan
Secretary Of State,Brian Kemp,REP,GA,Incumbent,Won-General,896518.22,nan
U.S. Representative,David Scott,DEM,GA,Incumbent,Won-General,860815.22,13
U.S. Representative,Lynn Westmoreland,REP,GA,Incumbent,Won-General,838044.43,3
U.S. Representative,Paul Collins Broun,REP,GA,Incumbent,Won-General,819208.18,10
Secretary Of State,Georganna Sinkfield,DEM,GA,Challenger,Lost-General,796305.17,nan
Lieutenant Governor,Carol Porter,DEM,GA,Challenger,Lost-General,726141.15,nan
U.S. Representative,Henry Johnson Jr.,DEM,GA,Incumbent,Won-General,576452.29,4
State Representative,David Ralston,REP,GA,Incumbent,Won-General,509505.18,7
U.S. Representative,William Robert Woodall,REP,GA,Open,Won-General,397182.66,7
Appellate Court-Open Seat,Chris McFadden,IND,GA,Open,Won-General Runoff,369690.93,nan
Superintendent Of Public Instruction,Joe Martin,DEM,GA,Open,Lost-General,365858.8,nan
Attorney General,Preston Smith,REP,GA,Open,Lost-Primary Runoff,364245.42,nan
State Senator,Chip Rogers,REP,GA,Incumbent,Won-General,352918.28,21
State Senator,Donald Balfour II,REP,GA,Incumbent,Won-General,343411.09,9
Supreme Court-Nahmias Seat,David Nahmias,IND,GA,Incumbent,Won-General Runoff,319058.37,nan
Insurance Commissioner,Maria Sheffield,REP,GA,Open,Lost-Primary Runoff,313377.39,nan
U.S. Senator,Michael Lamar Thurmond,DEM,GA,Challenger,Lost-General,310685.72,nan
Insurance Commissioner,Mary Squires,DEM,GA,Open,Lost-General,283059.25,nan
State Senator,Cecil Terrell Miller,REP,GA,Open,Won-General,279919.93,49
State Senator,Jeff Mullis,REP,GA,Incumbent,Won-General,277641.74,53
U.S. Representative,Jody Brownlow Hice,REP,GA,Open,Lost-Primary Runoff,277589.59,7
State Senator,Tommie Williams,REP,GA,Incumbent,Won-General,276869.94,19
State Senator,Earl Leroy Carter,REP,GA,Incumbent,Won-General,260328.35,1
State Representative,Benjie Harbin,REP,GA,Incumbent,Won-General,256321.25,118
U.S. Representative,Raymond Louis McKinney Sr.,REP,GA,Challenger,Lost-General,250533.53,12
State Senator,Jason Carter,DEM,GA,Open,Won-General,233806.21,42
State Senator,Joshua Robert McKoon,REP,GA,Open,Won-General,227202.0,29
State Representative,Jan Jones,REP,GA,Incumbent,Won-General,226209.09,46
U.S. Representative,Russell Edwards,DEM,GA,Challenger,Lost-General,220662.17,10
State Representative,L Watson,REP,GA,Open,Won-General,209324.01,163
State Representative,Elena Parent,DEM,GA,Challenger,Won-General,208221.48,81
Supreme Court-Nahmias Seat,Matt Wilson,IND,GA,Challenger,Lost-General,208197.35,nan
State Senator,Brandon Beach,REP,GA,Open,Lost-Primary Runoff,191583.59,56
State Senator,William Ligon Jr.,REP,GA,Open,Won-General,189034.74,3
State Representative,Sharon Cooper,REP,GA,Incumbent,Won-General,182855.19,41
State Senator,Judson Hill,REP,GA,Incumbent,Won-General,179430.36,32
State Representative,Calvin Smyre,DEM,GA,Incumbent,Won-General,178950.33,132
State Representative,Robert Mickey Channell,REP,GA,Incumbent,Won-General,176203.14,116
U.S. Representative,Deborah Ann Travis Honeycutt,REP,GA,Open,Lost-Primary Runoff,173440.51,13
State Senator,John Albers,REP,GA,Open,Won-General,172995.31,56
State Senator,Jack Hill,REP,GA,Incumbent,Won-General,171585.19,4
Appellate Court-Open Seat,David Schaeffer,IND,GA,Open,Lost-General,171481.92,nan
Appellate Court-Open Seat,Antoinette Davis,IND,GA,Open,Lost-General Runoff,171315.68,nan
State Senator,Greg Goggans,REP,GA,Incumbent,Won-General,171110.59,7
State Representative,Lawrence Oneal Jr.,REP,GA,Incumbent,Won-General,170350.59,146
Labor Commissioner,Darryl Hicks,DEM,GA,Open,Lost-General,168821.92,nan
State Senator,Vincent Fort,DEM,GA,Incumbent,Won-General,166392.8,39
State Senator,David Shafer,REP,GA,Incumbent,Won-General,162189.65,48
State Senator,Lindsey Tippins,REP,GA,Open,Won-General,154690.0,37
State Representative,William Hembree,REP,GA,Incumbent,Won-General,151662.0,67
Public Service Commissioner District 002,Tim Echols,REP,GA,Open,Won-General,148636.74,nan
U.S. Representative,Michael Robert Crane,REP,GA,Challenger,Lost-General,147199.27,13
Public Service Commissioner District 002,John Douglas,REP,GA,Open,Lost-Primary Runoff,142126.0,nan
State Senator,Francis Millar,REP,GA,Open,Won-General,141750.56,40
State Senator,Franklin Joseph Ginn,REP,GA,Open,Won-General,139049.82,47
State Representative,Stacey Godfrey Evans,DEM,GA,Open,Won-General,138890.5,40
State Senator,William Hambrick III,REP,GA,Incumbent,Won-General,137082.34,30
State Senator,Ronnie Chance,REP,GA,Incumbent,Won-General,135743.73,16
State Representative,Edward Lindsey,REP,GA,Incumbent,Won-General,135432.43,54
State Representative,Byung Jin Pak,REP,GA,Open,Won-General,133047.49,102
State Representative,Earl Ehrhart,REP,GA,Incumbent,Won-General,131220.61,36
Labor Commissioner,John Mark Butler,REP,GA,Open,Won-General,129694.29,nan
State Representative,Richard Golick,REP,GA,Incumbent,Won-General,122093.42,34
State Senator,Mitch Seabaugh,REP,GA,Incumbent,Won-General,121352.05,28
State Representative,Pablo Santamaria,DEM,GA,Open,Lost-General,121120.99,143
State Representative,Michael Jacobs,REP,GA,Incumbent,Won-General,120231.76,80
Secretary Of State,Gail Buckner,DEM,GA,Open,Lost-Primary Runoff,118250.0,nan
Superintendent Of Public Instruction,John David Barge,REP,GA,Open,Won-General,117543.39,nan
U.S. Representative,Lisbeth Carter,REP,GA,Challenger,Lost-General,116530.57,4
State Senator,Johnny Grant,REP,GA,Incumbent,Won-General,115505.1,25
State Senator,Jim Butterworth,REP,GA,Incumbent,Won-General,114626.59,50
State Representative,Jill Chambers,REP,GA,Incumbent,Lost-General,112665.0,81
U.S. Representative,Bill Stephens,REP,GA,Open,Lost-General,109907.99,9
State Representative,James Hugh Roberts,REP,GA,Incumbent,Won-General,108563.0,154
State Representative,David Knight,REP,GA,Incumbent,Won-General,108225.0,126
State Representative,James Alexander Atwood,REP,GA,Open,Won-General,108118.74,179
State Representative,R Stephens,REP,GA,Incumbent,Won-General,108048.19,164
U.S. Representative,Fenn Little,REP,GA,Challenger,Lost-General,107319.44,5
State Representative,David Casas,REP,GA,Incumbent,Won-General,104618.0,103
State Representative,Steve Davis,REP,GA,Incumbent,Won-General,104524.0,109
State Representative,Carlton Rogers,REP,GA,Incumbent,Won-General,104211.29,26
State Senator,Richard Jeffares,REP,GA,Open,Won-General,103795.66,17
State Representative,John Meadows,REP,GA,Incumbent,Won-General,99940.0,5
State Representative,Patricia Dooley,DEM,GA,Incumbent,Lost-General,99511.43,38
State Senator,William Donald Heath Jr.,REP,GA,Incumbent,Won-General,97046.41,31
State Representative,Thomas McCall,REP,GA,Incumbent,Won-General,95923.09,30
State Representative,Andrew Welch III,REP,GA,Open,Won-General,95182.31,110
State Senator,Horacena Tate,DEM,GA,Incumbent,Won-General,94630.61,38
State Representative,Stephen Allison,REP,GA,Incumbent,Won-General,94365.0,8
State Representative,Josh Clark,REP,GA,Open,Won-General,93692.69,98
State Representative,Allen Peake,REP,GA,Incumbent,Won-General,93547.72,137
State Senator,Robert Brown,DEM,GA,Incumbent,Won-General,93447.55,26
State Representative,Susan Holmes,REP,GA,Open,Won-General,92100.0,125
State Representative,Thomas Rice,REP,GA,Incumbent,Won-General,90825.0,51
Appellate Court-Open Seat,Adrienne Hunter-Strothers,IND,GA,Open,Lost-General,90684.45,nan
State Senator,Stephen Bradley Henson,DEM,GA,Incumbent,Won-General,90110.15,41
State Senator,Doug Stoner,DEM,GA,Incumbent,Won-General,89058.49,6
State Senator,Stephen Gooch,REP,GA,Open,Won-General,88844.56,51
State Representative,James Matthew Hatchett,REP,GA,Open,Won-General,85697.95,143
State Representative,Charlice Byrd,REP,GA,Incumbent,Won-General,85575.44,20
