office,candidate,party,state,incumbency,result,total money,district
State Senator,Ron Menor,DEM,HI,Open,Won-General,141300.0,18
State Representative,Edward Case,DEM,HI,Incumbent,Won-General,122490.06,23
State Representative,Barbara Marumoto,REP,HI,Incumbent,Won-General,90510.53,17
State Senator,Carol Fukunaga,DEM,HI,Incumbent,Won-General,87797.01,12
State Representative,Robert Nakasone,DEM,HI,Incumbent,Won-General,86354.07,9
State Senator,Norman Sakamoto,DEM,HI,Incumbent,Won-General,83769.56,16
State Representative,Kyle Mark Takai,DEM,HI,Incumbent,Won-General,77413.19,34
State Representative,Bertha Kawakami,DEM,HI,Incumbent,Won-General,75310.89,14
State Representative,Kenneth Hiraki,DEM,HI,Incumbent,Won-General,65823.14,25
State Senator,David Matsuura,DEM,HI,Incumbent,Won-General,61107.25,2
State Representative,Brian Schatz,DEM,HI,Incumbent,Won-General,60467.43,24
State Representative,Calvin Y Say,DEM,HI,Incumbent,Won-General,59712.94,18
State Representative,Terry Nui Yoshinaga,DEM,HI,Incumbent,Won-General,56911.12,22
State Representative,Ken Ito,DEM,HI,Incumbent,Won-General,56538.96,48
State Representative,Jerry Chang,DEM,HI,Incumbent,Won-General,54897.29,2
State Representative,Dennis Arakaki,DEM,HI,Incumbent,Won-General,54071.22,28
State Representative,Lei Ala) Ahu Isa,DEM,HI,Incumbent,Won-General,52733.0,27
State Representative,Dwight Takamine,DEM,HI,Incumbent,Won-General,50844.39,1
State Representative,Charles Kong Djou,REP,HI,Challenger,Won-General,49631.16,47
State Representative,Roy Takumi,DEM,HI,Incumbent,Won-General,49359.26,36
State Senator,Suzanne J Chun Oakland,DEM,HI,Incumbent,Won-General,44256.73,14
State Representative,Joe Gomes,REP,HI,Incumbent,Won-General,40986.12,51
State Senator,Matt Matsunaga,DEM,HI,Incumbent,Won-General,40908.61,9
State Representative,Joseph Souki,DEM,HI,Incumbent,Won-General,39843.97,8
State Representative,Felipe Abinsay Jr.,DEM,HI,Incumbent,Won-General,36788.87,29
State Representative,David Pendleton,REP,HI,Incumbent,Won-General,36174.12,50
State Representative,Mark Moses,REP,HI,Incumbent,Won-General,35909.1,42
State Representative,Chris Halford,REP,HI,Incumbent,Won-General,33546.25,11
State Representative,Marilyn Lee,DEM,HI,Incumbent,Won-General,33526.3,38
State Representative,Paul Whalen,REP,HI,Incumbent,Won-General,33093.95,5
State Representative,Galen Fox,REP,HI,Incumbent,Won-General,32801.05,21
State Representative,Guy Ontai,REP,HI,Incumbent,Won-General,32766.3,39
State Representative,Mindy Jaffe,REP,HI,Open,Won-General,32558.7,19
State Representative,Michael Puamamo Kahikina,DEM,HI,Incumbent,Won-General,32114.0,43
State Representative,Colleen Meyer,REP,HI,Incumbent,Won-General,31316.29,46
State Representative,Emily Daniel Auwae,REP,HI,Incumbent,Won-General,30316.86,44
State Representative,Sylvia Luke,DEM,HI,Incumbent,Won-General,30104.65,26
State Senator,Kalani English,DEM,HI,Open,Won-General,29755.0,5
State Representative,Eric Hamakawa,DEM,HI,Incumbent,Won-General,27338.24,3
State Representative,Scott Saiki,DEM,HI,Incumbent,Won-General,27035.0,20
State Representative,Blake Oshiro,DEM,HI,Open,Won-General,26945.0,33
State Senator,Brian Kanno,DEM,HI,Incumbent,Won-General,25263.27,20
State Representative,Nestor Garcia,DEM,HI,Incumbent,Won-General,25028.26,37
State Representative,William Stonebraker,REP,HI,Open,Won-General,24979.51,15
State Representative,Bertha K Leong,REP,HI,Incumbent,Won-General,22960.0,16
State Representative,Hermina Morita,DEM,HI,Open,Won-General,22546.31,12
State Representative,Ron Davis,REP,HI,Challenger,Won-General,20177.6,7
State Representative,Noboru Yonamine,DEM,HI,Incumbent,Won-General,19581.07,35
State Representative,James Rath,REP,HI,Incumbent,Won-General,17511.0,6
State Representative,Nathan Suzuki,DEM,HI,Incumbent,Won-General,16892.71,31
State Senator,Brian Taniguchi,DEM,HI,Incumbent,Won-General,15567.56,11
State Representative,William Espero,DEM,HI,Open,Won-General,15084.59,41
State Representative,Marcus Oshiro,DEM,HI,Incumbent,Won-General,13278.53,40
State Representative,Ben Cabreros,DEM,HI,Open,Won-General,12835.63,30
State Representative,Helene Hale,DEM,HI,Open,Won-General,12361.56,4
State Representative,Kika Bukoski,REP,HI,Open,Won-General,11479.2,10
State Representative,Cynthia Henry Thielen,REP,HI,Incumbent,Won-General,10531.51,49
State Representative,Michael Yadao Magaoay,DEM,HI,Open,Won-General,10442.56,45
State Senator,Sam Slom,REP,HI,Incumbent,Won-General,6600.0,8
State Representative,Ezra Kanoho,DEM,HI,Incumbent,Won-General,5410.0,13
State Representative,Mark Hunsaker,REP,HI,Challenger,Lost-General,4717.24,25
State Representative,Robert McDermott,REP,HI,Incumbent,Won-General,3130.0,32
State Senator,Donna Mercado Kim,DEM,HI,Open,Won-General,2100.0,15
State Representative,Iris Ikeda Catalani,DEM,HI,Incumbent,Lost-General,1384.19,47
State Representative,Sam Moku,REP,HI,Challenger,Lost-General,650.0,48
State Senator,Paul Oleary,REP,HI,Challenger,Lost-General,0.0,2
State Senator,Earl Fujikawa,REP,HI,Challenger,Lost-General,0.0,3
State Senator,Allen Shishido,REP,HI,Open,Lost-General,0.0,5
State Senator,Marsha Joyner,DEM,HI,Challenger,Lost-General,0.0,8
State Senator,Theresa Chun,REP,HI,Challenger,Lost-General,0.0,9
State Senator,Billy Fulton,REP,HI,Challenger,Lost-General,0.0,11
State Senator,Aaron Peterson,REP,HI,Challenger,Lost-General,0.0,12
State Senator,Ed Mina,REP,HI,Open,Lost-General,0.0,15
State Senator,Wade Thode,LIB,HI,Challenger,Lost-General,0.0,20
State Senator,Henry Makini,REP,HI,Challenger,Lost-General,0.0,20
State Senator,Solomon K Nalua,DEM,HI,Open,Lost-General,0.0,24
State Senator,Leona Mapuana Kalima,DEM,HI,Open,Lost-General,0.0,25
State Representative,Aaron Anderson,LIB,HI,Open,Lost-General,0.0,4
State Representative,Robert Reed,REP,HI,Open,Lost-General,0.0,4
State Representative,Virginia Aste,GRN,HI,Open,Lost-General,0.0,4
State Representative,Virginia Isbell,DEM,HI,Challenger,Lost-General,0.0,5
State Representative,Sol Kaho Ohalahala,DEM,HI,Incumbent,Lost-General,0.0,7
State Representative,Patty Peterson,REP,HI,Challenger,Lost-General,0.0,8
State Representative,John Henry,REP,HI,Challenger,Lost-General,0.0,9
State Representative,Malia Gibson,ALOHA AINA,HI,Open,Lost-General,0.0,10
State Representative,J Vroom,DEM,HI,Open,Lost-General,0.0,10
State Representative,Shaun Stenshol,GRN,HI,Challenger,Lost-General,0.0,11
State Representative,Jonathan Starr,DEM,HI,Challenger,Lost-General,0.0,11
State Representative,Ann West Tickle,LIB,HI,Open,Lost-General,0.0,12
State Representative,Juan Lugo,REP,HI,Challenger,Lost-General,0.0,13
State Representative,John Hoff,REP,HI,Challenger,Lost-General,0.0,14
State Representative,Greg Knudsen,DEM,HI,Open,Lost-General,0.0,15
State Representative,Wayne Gau,REP,HI,Challenger,Lost-General,0.0,18
State Representative,Brian Yamane,DEM,HI,Open,Lost-General,0.0,19
State Representative,Scott Matsumoto,REP,HI,Challenger,Lost-General,0.0,20
State Representative,Tom Brower,DEM,HI,Challenger,Lost-General,0.0,21
State Representative,Joseph Kinoshita,REP,HI,Challenger,Lost-General,0.0,22
State Representative,Samson Aiona,REP,HI,Challenger,Lost-General,0.0,24
State Representative,David Pang,REP,HI,Challenger,Lost-General,0.0,26
State Representative,Ken Akamine,REP,HI,Challenger,Lost-General,0.0,27
State Representative,Ken Harding,REP,HI,Challenger,Lost-General,0.0,29
State Representative,Martin Romualdez,REP,HI,Open,Lost-General,0.0,30
State Representative,Eddie Aguinaldo,DEM,HI,Challenger,Lost-General,0.0,32
State Representative,Chris Hart Kessell,REP,HI,Challenger,Lost-General,0.0,35
State Representative,John Nuusa,REP,HI,Challenger,Lost-General,0.0,36
State Representative,Chita Caindec Stewart,REP,HI,Challenger,Lost-General,0.0,38
State Representative,Charlotte Nekota,DEM,HI,Challenger,Lost-General,0.0,39
State Representative,Allan Tomas,REP,HI,Challenger,Lost-General,0.0,40
State Representative,Pam Lee Smith,REP,HI,Open,Lost-General,0.0,41
State Representative,Maeda Timson,DEM,HI,Challenger,Lost-General,0.0,42
State Representative,Denton Kissell,REP,HI,Challenger,Lost-General,0.0,43
State Representative,Momi Kamahele,ALOHA AINA,HI,Challenger,Lost-General,0.0,44
State Representative,Merwyn Seichi Jones,DEM,HI,Challenger,Lost-General,0.0,44
State Representative,Helmut Aki,REP,HI,Open,Lost-General,0.0,45
State Representative,George Okuda,DEM,HI,Challenger,Lost-General,0.0,46
State Representative,Ikaika Hussey,DEM,HI,Challenger,Lost-General,0.0,50
State Representative,Kenneth Goodenow,DEM,HI,Challenger,Lost-General,0.0,51
State Senator,Andrew Levin,DEM,HI,Incumbent,Won-General,0.0,3
State Senator,Bob Hogue,REP,HI,Open,Won-General,0.0,24
State Senator,Fred Hemmings,REP,HI,Open,Won-General,0.0,25
