Candidate,Party,State,Office,Incumbency,Result,Total Money
"ABRAMS, STACEY YVONNE",DEMOCRATIC,GA,GOVERNOR,Open,Lost,22755376.22
"KEMP, BRIAN P",REPUBLICAN,GA,GOVERNOR,Open,Won,21147948.71
"CAGLE, L S (CASEY)",REPUBLICAN,GA,GOVERNOR,Open,Lost,12034614.06
"EVANS, STACEY GODFREY",DEMOCRATIC,GA,GOVERNOR,Open,Lost,3511508.59
"LEWIS, JOHN",DEMOCRATIC,GA,US HOUSE DISTRICT GA 005,Incumbent,Won,3244370.64
"HILL, HUNTER BRADLEY",REPUBLICAN,GA,GOVERNOR,Open,Lost,3234750.54
"TIPPINS, CLAY",REPUBLICAN,GA,GOVERNOR,Open,Lost,3169720.81
"DUNCAN, GEOFFREY L",REPUBLICAN,GA,LIEUTENANT GOVERNOR,Open,Won,3058342.74
"SHAFER, J DAVID",REPUBLICAN,GA,LIEUTENANT GOVERNOR,Open,Lost,2928222.64
"CARR, CHRISTOPHER M",REPUBLICAN,GA,ATTORNEY GENERAL,Incumbent,Won,2272810.56
"CARTER, EARL LEROY (BUDDY)",REPUBLICAN,GA,US HOUSE DISTRICT GA 001,Incumbent,Won,2187683.29
"RAFFENSPERGER, BRADFORD JAY",REPUBLICAN,GA,SECRETARY OF STATE,Open,Won,2078528.80
"BECK SR, CLAUDE JIMMY C (JIM)",REPUBLICAN,GA,INSURANCE COMMISSIONER,Open,Won,2053920.07
"GRAVES JR, JOHN THOMAS (TOM)",REPUBLICAN,GA,US HOUSE DISTRICT GA 014,Incumbent,Won,1951071.94
"WILLIAMS, MICHAEL E",REPUBLICAN,GA,GOVERNOR,Open,Lost,1826055.35
"BARROW, JOHN JENKINS",DEMOCRATIC,GA,SECRETARY OF STATE,Open,Lost,1798747.18
"AMICO, SARAH LYNN RIGGS",DEMOCRATIC,GA,LIEUTENANT GOVERNOR,Open,Lost,1500602.68
"KIM, DAVID",DEMOCRATIC,GA,US HOUSE DISTRICT GA 007,Open,Lost,1494090.37
"BOURDEAUX, CAROLYN",DEMOCRATIC,GA,US HOUSE DISTRICT GA 007,Challenger,Lost,1416121.64
"COLLINS, DOUGLAS A (DOUG)",REPUBLICAN,GA,US HOUSE DISTRICT GA 009,Incumbent,Won,1309691.85
"MILLER, LINDY",DEMOCRATIC,GA,PUBLIC SERVICE COMMISSIONER DISTRICT 003,Challenger,Lost,1231019.12
"FERGUSON IV, ANDERSON (DREW)",REPUBLICAN,GA,US HOUSE DISTRICT GA 003,Incumbent,Won,1179105.60
"WOODALL, WILLIAM ROBERT (ROB)",REPUBLICAN,GA,US HOUSE DISTRICT GA 007,Incumbent,Won,1092321.68
"BISHOP JR, SANFORD D",DEMOCRATIC,GA,US HOUSE DISTRICT GA 002,Incumbent,Won,1080924.11
"SCOTT, DAVID A",DEMOCRATIC,GA,US HOUSE DISTRICT GA 013,Incumbent,Won,1035058.44
"ALLEN, RICHARD W (RICK)",REPUBLICAN,GA,US HOUSE DISTRICT GA 012,Incumbent,Won,1027841.75
"JEFFARES JR, RICHARD M",REPUBLICAN,GA,LIEUTENANT GOVERNOR,Open,Lost,993289.78
"ELLINGTON, JOHN J",NONPARTISAN,GA,SUPREME COURT-OPEN SEAT,Open,Won,969096.35
"RALSTON, DAVID",REPUBLICAN,GA,HOUSE DISTRICT 007,Incumbent,Won,959231.44
"BAILEY, CHARLES CURTIS (CHARLIE)",DEMOCRATIC,GA,ATTORNEY GENERAL,Challenger,Lost,865271.93
"FLORENCE, WILLIAM JASON (JAY)",REPUBLICAN,GA,INSURANCE COMMISSIONER,Open,Lost,857300.30
"ABEL, KEVIN",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost,852113.20
"SCOTT, JAMES AUSTIN (AUSTIN)",REPUBLICAN,GA,US HOUSE DISTRICT GA 008,Incumbent,Won,792278.50
"LOUDERMILK, BARRY D",REPUBLICAN,GA,US HOUSE DISTRICT GA 011,Incumbent,Won,768250.45
"HODGES, KEN",NONPARTISAN,GA,APPELLATE COURT-OPEN SEAT,Open,Won,749497.74
"ISLE, DAVID BELLE",REPUBLICAN,GA,SECRETARY OF STATE,Open,Lost,747748.19
"MCBATH, LUCY",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Challenger,Won,736981.81
"HICE, JODY BROWNLOW",REPUBLICAN,GA,US HOUSE DISTRICT GA 010,Incumbent,Won,640138.30
