Candidate,Party,State,Office,Incumbency,Result,Total Money
"HEINRICH, MARTIN TREVOR",DEMOCRATIC,NM,US SENATE DISTRICT NM SW-CLASS I,Incumbent,Won,8434529.10
"LUJAN GRISHAM, MICHELLE & MORALES, HOWIE C",DEMOCRATIC,NM,GOVERNOR / LIEUTENANT GOVERNOR,Open,Won,6994967.30
"PEARCE, STEVAN E (STEVE) & GARCIA, HOLMES MICHELLE",REPUBLICAN,NM,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost,4493254.75
"TORRES SMALL, XOCHITL",DEMOCRATIC,NM,US HOUSE DISTRICT NM 002,Open,Won,3792756.85
"HAALAND, DEBRA",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Open,Won,1926867.36
"LUJAN, BEN RAY",DEMOCRATIC,NM,US HOUSE DISTRICT NM 003,Incumbent,Won,1858216.53
"APODACA, JEFF",DEMOCRATIC,NM,GOVERNOR,Open,Lost,1371433.15
"CERVANTES, JOSEPH",DEMOCRATIC,NM,GOVERNOR,Open,Lost,1353735.76
"SEDILLO LOPEZ, ANTOINETTE",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Open,Lost,1060880.42
"BALDERAS, HECTOR H",DEMOCRATIC,NM,ATTORNEY GENERAL,Incumbent,Won,1002170.58
"NEWMAN, MONTY",REPUBLICAN,NM,US HOUSE DISTRICT NM 002,Open,Lost,757733.38
"HERRELL, STELLA YVETTE",REPUBLICAN,NM,US HOUSE DISTRICT NM 002,Open,Lost,755468.48
"MARTINEZ, DAMON P",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Open,Lost,705910.27
"RICH, MICK",REPUBLICAN,NM,US SENATE DISTRICT NM SW-CLASS I,Challenger,Lost,646328.46
"LARA, DAMIAN",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Open,Lost,469848.03
"LYONS, PATRICK HILLER",REPUBLICAN,NM,COMMISSIONER OF PUBLIC LANDS,Open,Lost,437210.86
"TOULOUSE OLIVER, MAGGIE",DEMOCRATIC,NM,SECRETARY OF STATE,Incumbent,Won,433128.96
"MUNOZ, GEORGE",DEMOCRATIC,NM,COMMISSIONER OF PUBLIC LANDS,Open,Lost,413586.84
"VENEKLASEN, GARRETT",DEMOCRATIC,NM,COMMISSIONER OF PUBLIC LANDS,Open,Lost,384587.66
"DAVIS, PATRICK",DEMOCRATIC,NM,US HOUSE DISTRICT NM 001,Open,Lost,373414.79
"COLON, BRIAN S",DEMOCRATIC,NM,AUDITOR,Open,Won,328607.54
"ARNOLD-JONES, JANICE E",REPUBLICAN,NM,US HOUSE DISTRICT NM 001,Open,Lost,282855.82
"EGOLF JR, BRIAN FRANKLIN",DEMOCRATIC,NM,HOUSE DISTRICT 047,Incumbent,Won,276348.85
"ZAMORA, BRIANA H",DEMOCRATIC,NM,APPELLATE COURT-KIEHNE SEAT,Open,Won,269032.62
"MEDINA, JACQUELINE R",DEMOCRATIC,NM,APPELLATE COURT-BOHNHOFF SEAT,Open,Won,227613.26
"DUFFY, MEGAN P",DEMOCRATIC,NM,APPELLATE COURT-GALLEGOS SEAT,Challenger,Won,227589.94
"BOGARDUS, KRISTINA",DEMOCRATIC,NM,APPELLATE COURT-FRENCH SEAT,Challenger,Won,227372.87
"RICHARD, STEPHANIE GARCIA",DEMOCRATIC,NM,COMMISSIONER OF PUBLIC LANDS,Open,Won,226425.29
