Candidate,Party,State,Office,Incumbency,Result,Total Money
"WICKER, ROGER F",REPUBLICAN,MS,US SENATE DISTRICT MS SW-CLASS I,Incumbent,Won,5938290.54
"HYDE-SMITH, CINDY",NONPARTISAN,MS,US SENATE DISTRICT MS SW-CLASS II,Open,Won,3323846.42
"ESPY, MIKE",NONPARTISAN,MS,US SENATE DISTRICT MS SW-CLASS II,Open,Lost,1360260.27
"SHERMAN, HOWARD",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Open,Lost,1093661.63
"THOMPSON, BENNIE G",DEMOCRATIC,MS,US HOUSE DISTRICT MS 002,Incumbent,Won,880023.13
"KELLY, JOHN TRENT",REPUBLICAN,MS,US HOUSE DISTRICT MS 001,Incumbent,Won,870901.90
"PALAZZO, STEVEN MCCARTY",REPUBLICAN,MS,US HOUSE DISTRICT MS 004,Incumbent,Won,691078.00
"HUGHES, WHIT",REPUBLICAN,MS,US HOUSE DISTRICT MS 003,Open,Lost,568675.00
"GUEST, MICHAEL",REPUBLICAN,MS,US HOUSE DISTRICT MS 003,Open,Won,397426.00
"PARKER, PERRY",REPUBLICAN,MS,US HOUSE DISTRICT MS 003,Open,Lost,390412.00
"BARIA, DAVID",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Challenger,Lost,369189.67
"MCDANIEL, CHRIS",NONPARTISAN,MS,US SENATE DISTRICT MS SW-CLASS II,Open,Lost,327058.32
"WADKINS, RANDY MACK",DEMOCRATIC,MS,US HOUSE DISTRICT MS 001,Challenger,Lost,170251.82
"DOTY, SALLY",REPUBLICAN,MS,US HOUSE DISTRICT MS 003,Open,Lost,121692.20
"DUNN, MORGAN",REPUBLICAN,MS,US HOUSE DISTRICT MS 003,Open,Lost,109638.80
"ANDERSON, JERAMEY DEWAYNE",DEMOCRATIC,MS,US HOUSE DISTRICT MS 004,Challenger,Lost,90119.47
"MCDONALD, DEBORAH",NONPARTISAN,MS,APPELLATE COURT DISTRICT 002-POSITION 001,Open,Won,13384.97
"ROSE, E BRIAN",REPUBLICAN,MS,US HOUSE DISTRICT MS 004,Challenger,Lost,11291.33
"AYCOX, MICHAEL",DEMOCRATIC,MS,US HOUSE DISTRICT MS 003,Open,Lost,9830.75
"EVANS, MICHAEL",DEMOCRATIC,MS,US HOUSE DISTRICT MS 003,Open,Lost,9273.11
"TINDELL, SEAN J",NONPARTISAN,MS,APPELLATE COURT DISTRICT 005-POSITION 002,Incumbent,Won,6300.00
"MCCARTY, DAVID",NONPARTISAN,MS,APPELLATE COURT DISTRICT 004-POSITION 002,Open,Won,5250.00
"BOHREN, JENSEN",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Open,Lost,1705.85
"BARTEE, TOBEY",NONPARTISAN,MS,US SENATE DISTRICT MS SW-CLASS II,Open,Lost,912.06
"GILES, JIM",NONPARTISAN,MS,HOUSE DISTRICT 060,Open,Lost,200.00
"GARLAND, JERONE",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Open,Lost,0.00
"MAURICE JR, VICTOR G",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Open,Lost,0.00
"SCOTT, OMERIA",DEMOCRATIC,MS,US SENATE DISTRICT MS SW-CLASS I,Open,Lost,0.00
"RAY, TROY",INDEPENDENT,MS,US HOUSE DISTRICT MS 002,Challenger,Lost,0.00
"BEDWELL, DANNY",LIBERTARIAN,MS,US SENATE DISTRICT MS SW-CLASS I,Challenger,Lost,0.00
"ISHEE, DAVID M",NONPARTISAN,MS,SUPREME COURT DISTRICT 002-POSITION 001,Incumbent,Won,0.00
