Candidate,Party,State,Office,Incumbency,Result,Total Money
"ROSEN, JACKY",DEMOCRATIC,NV,US SENATE DISTRICT NV SW-CLASS I,Challenger,Won,15424218.74
"HELLER, DEAN",REPUBLICAN,NV,US SENATE DISTRICT NV SW-CLASS I,Incumbent,Lost,14329696.75
"LEE, SUZANNE KELLEY (SUSIE)",DEMOCRATIC,NV,US HOUSE DISTRICT NV 003,Open,Won,4574730.12
"SISOLAK, STEVE",DEMOCRATIC,NV,GOVERNOR,Open,Won,4354463.36
"LAXALT, ADAM",REPUBLICAN,NV,GOVERNOR,Open,Lost,4149469.19
"GIUNCHIGLIANI, CHRISTINA (CHRIS)",DEMOCRATIC,NV,GOVERNOR,Open,Lost,1807437.70
"AMODEI, MARK EUGENE",REPUBLICAN,NV,US HOUSE DISTRICT NV 002,Incumbent,Won,1149663.38
"SCHWARTZ, DANIEL (DAN)",REPUBLICAN,NV,GOVERNOR,Open,Lost,681348.12
"TITUS, DINA",DEMOCRATIC,NV,US HOUSE DISTRICT NV 001,Incumbent,Won,618159.93
"FORD, AARON D",DEMOCRATIC,NV,ATTORNEY GENERAL,Open,Won,592184.58
"FISHER, JARED",REPUBLICAN,NV,GOVERNOR,Open,Lost,586768.01
"STIGLICH, LIDIA",NONPARTISAN,NV,SUPREME COURT-SEAT G,Open,Won,567593.26
"HARDY, CRESENT",REPUBLICAN,NV,US HOUSE DISTRICT NV 004,Open,Lost,537211.01
"DUNCAN, WESLEY KARL",REPUBLICAN,NV,ATTORNEY GENERAL,Open,Lost,522802.13
"CADISH, ELISSA",NONPARTISAN,NV,SUPREME COURT-SEAT C,Open,Won,426592.71
"KIECKHEFER, BEN",REPUBLICAN,NV,SENATE DISTRICT 016,Incumbent,Won,326149.15
"HAMMOND, SCOTT",REPUBLICAN,NV,US HOUSE DISTRICT NV 003,Open,Lost,306654.36
"ROBERSON, MICHAEL",REPUBLICAN,NV,LIEUTENANT GOVERNOR,Open,Lost,286721.60
"FRIERSON, JASON M",DEMOCRATIC,NV,ASSEMBLY DISTRICT 008,Incumbent,Won,239538.57
"HOF, DENNIS",REPUBLICAN,NV,ASSEMBLY DISTRICT 036,Open,Won,204466.00
"RODIMER, DANIEL STEPHEN",REPUBLICAN,NV,SENATE DISTRICT 008,Open,Lost,204235.37
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,NV,SENATE DISTRICT 017,Incumbent,Won,202225.00
"ARAUJO, NELSON",DEMOCRATIC,NV,SECRETARY OF STATE,Challenger,Lost,197047.24
"VILELA, AMY",DEMOCRATIC,NV,US HOUSE DISTRICT NV 004,Open,Lost,186178.05
"FOGARTY, PATRICK",DEMOCRATIC,NV,US HOUSE DISTRICT NV 002,Open,Lost,168705.00
"MARSHALL, KATHLEEN (KATE)",DEMOCRATIC,NV,LIEUTENANT GOVERNOR,Open,Won,165313.92
"SPEARMAN, PATRICIA (PAT)",DEMOCRATIC,NV,US HOUSE DISTRICT NV 004,Open,Lost,161092.07
"ELLISON, JOHN",REPUBLICAN,NV,ASSEMBLY DISTRICT 033,Incumbent,Won,148429.03
"OSCARSON, JAMES",REPUBLICAN,NV,ASSEMBLY DISTRICT 036,Incumbent,Lost,138328.57
"OHRENSCHALL, JAMES EDWARD",DEMOCRATIC,NV,SENATE DISTRICT 021,Open,Won,135878.80
"CONINE, ZACH",DEMOCRATIC,NV,TREASURER,Open,Won,134728.06
"KOBLE, CLINT",DEMOCRATIC,NV,US HOUSE DISTRICT NV 002,Challenger,Lost,125053.28
"HARDY, JOE",REPUBLICAN,NV,SENATE DISTRICT 012,Incumbent,Won,117603.96
"MORTENSEN, MICHELLE",REPUBLICAN,NV,US HOUSE DISTRICT NV 003,Open,Lost,114728.18
"ANZALONE, JOHN",DEMOCRATIC,NV,US HOUSE DISTRICT NV 004,Open,Lost,112020.50
"LOOP, MARILYN DONDERO",DEMOCRATIC,NV,SENATE DISTRICT 008,Open,Won,107978.14
"DENIS, MOISES (MO)",DEMOCRATIC,NV,SENATE DISTRICT 002,Incumbent,Won,103603.57
"HORSFORD, STEVEN A",DEMOCRATIC,NV,US HOUSE DISTRICT NV 004,Open,Won,101886.77
"NIMSUWAN, PAUL PORNTHEP",DEMOCRATIC,NV,ASSEMBLY DISTRICT 035,Open,Lost,96561.52
"MUELLER, CRAIG A",REPUBLICAN,NV,ATTORNEY GENERAL,Open,Lost,92999.42
"CEGAVSKE, BARBARA KATHERINE",REPUBLICAN,NV,SECRETARY OF STATE,Incumbent,Won,91312.00
"WHEELER, JIM",REPUBLICAN,NV,ASSEMBLY DISTRICT 039,Incumbent,Won,91050.00
"PAZINA, JULIE ANN",DEMOCRATIC,NV,SENATE DISTRICT 020,Open,Pending,88241.36
"PICKARD, KEITH",REPUBLICAN,NV,SENATE DISTRICT 020,Open,Pending,82461.76
"DICKMAN, JILL ANN",REPUBLICAN,NV,ASSEMBLY DISTRICT 031,Challenger,Lost,81291.34
"UEHARA, DEREK",REPUBLICAN,NV,TREASURER,Open,Lost,81288.65
"SCHEIBLE, MELANIE LYN",DEMOCRATIC,NV,SENATE DISTRICT 009,Open,Won,78806.05
