Candidate,Party,State,Office,Incumbency,Result,Total Money
"HUTCHINSON, ASA",REPUBLICAN,AR,GOVERNOR,Incumbent,Won,7216979.84
"HILL, JAMES FRENCH (FRENCH)",REPUBLICAN,AR,US HOUSE DISTRICT AR 002,Incumbent,Won,2724601.98
"TUCKER, CLARKE",DEMOCRATIC,AR,US HOUSE DISTRICT AR 002,Challenger,Lost,1931447.22
"WESTERMAN, BRUCE E",REPUBLICAN,AR,US HOUSE DISTRICT AR 004,Incumbent,Won,1568804.83
"RUTLEDGE, LESLIE",REPUBLICAN,AR,ATTORNEY GENERAL,Incumbent,Won,1206511.54
"WOMACK, STEVE",REPUBLICAN,AR,US HOUSE DISTRICT AR 003,Incumbent,Won,1088014.20
"CRAWFORD, ERIC ALAN (RICK)",REPUBLICAN,AR,US HOUSE DISTRICT AR 001,Incumbent,Won,970208.16
"GRIFFIN, JOHN TIMOTHY (TIM)",REPUBLICAN,AR,LIEUTENANT GOVERNOR,Incumbent,Won,800771.59
"HENDERSON, JARED K",DEMOCRATIC,AR,GOVERNOR,Challenger,Won,739552.17
"COLLINS, CHARLES S (CHARLIE)",REPUBLICAN,AR,HOUSE DISTRICT 084,Incumbent,Lost,357598.65
"LEE, MIKE",DEMOCRATIC,AR,ATTORNEY GENERAL,Challenger,Lost,306982.85
"SPENCER, PAUL JOHN",DEMOCRATIC,AR,US HOUSE DISTRICT AR 002,Open,Lost,266176.99
"THURSTON, JOHN M",REPUBLICAN,AR,SECRETARY OF STATE,Open,Won,262292.31
"COLLINS, ANDREW",DEMOCRATIC,AR,HOUSE DISTRICT 035,Open,Won,242078.69
"RAPERT, JASON",REPUBLICAN,AR,SENATE DISTRICT 035,Incumbent,Won,222375.00
"MAHONY, JOSH",DEMOCRATIC,AR,US HOUSE DISTRICT AR 003,Challenger,Lost,219098.38
"MORGAN, JAN",REPUBLICAN,AR,GOVERNOR,Challenger,Lost,193386.89
"HILL, RICKY",REPUBLICAN,AR,SENATE DISTRICT 029,Open,Won,178811.75
"STERLING, DAVID",NONPARTISAN,AR,SUPREME COURT-POSITION 003,Challenger,Lost,176151.21
"DAVIS, BREANNE",REPUBLICAN,AR,SENATE DISTRICT 016,Open,Won,176120.00
"JOHNSON, MARK",REPUBLICAN,AR,SENATE DISTRICT 015,Open,Default Winner,167433.00
"GARNER, DENISE",DEMOCRATIC,AR,HOUSE DISTRICT 084,Challenger,Won,161301.40
"GOODSON, JUDITH",REPUBLICAN,AR,HOUSE DISTRICT 035,Open,Lost,158740.00
"PITSCH, MATTHEW W",REPUBLICAN,AR,SENATE DISTRICT 008,Open,Won,158245.53
"TEAGUE, LARRY R",DEMOCRATIC,AR,SENATE DISTRICT 010,Incumbent,Won,157361.59
"BALLINGER, BOB",REPUBLICAN,AR,SENATE DISTRICT 005,Open,Won,151459.13
"GOODSON, COURTNEY HUDSON",NONPARTISAN,AR,SUPREME COURT-POSITION 003,Incumbent,Won,150433.00
"HIXSON, KENNETH",NONPARTISAN,AR,SUPREME COURT-POSITION 003,Challenger,Lost,138281.06
"SHAMEL, HAYDEN CATHERINE",DEMOCRATIC,AR,US HOUSE DISTRICT AR 004,Challenger,Lost,137227.49
"STURCH, JAMES",REPUBLICAN,AR,SENATE DISTRICT 019,Open,Won,136323.95
"INMAN, SUSAN",DEMOCRATIC,AR,SECRETARY OF STATE,Open,Lost,125992.81
"LUNDSTRUM, ROBIN",REPUBLICAN,AR,HOUSE DISTRICT 087,Incumbent,Won,121679.79
"BLEDSOE, CECILE HERNDON",REPUBLICAN,AR,SENATE DISTRICT 003,Incumbent,Won,120794.67
"DOTSON, JIM",REPUBLICAN,AR,HOUSE DISTRICT 093,Incumbent,Won,111639.75
"MCCULLOUGH, TIPPI",DEMOCRATIC,AR,HOUSE DISTRICT 033,Open,Default Winner,109750.34
"HAWKS, SPENCER",REPUBLICAN,AR,HOUSE DISTRICT 070,Open,Won,105637.00
"KING, BRYAN B",REPUBLICAN,AR,SENATE DISTRICT 005,Incumbent,Lost,104532.90
"PECK, COLE",REPUBLICAN,AR,HOUSE DISTRICT 053,Challenger,Lost,102534.83
"DESAI, CHINTAN",DEMOCRATIC,AR,US HOUSE DISTRICT AR 001,Challenger,Lost,101647.55
"AGNEW, GAYATRI JANE",DEMOCRATIC,AR,HOUSE DISTRICT 093,Challenger,Lost,99704.48
"BAILEY, ROBERT (BOB)",REPUBLICAN,AR,SENATE DISTRICT 016,Open,Lost,97312.29
"GRAY, MICHAEL JOHN",DEMOCRATIC,AR,HOUSE DISTRICT 047,Incumbent,Pending,88661.00
"INGRAM, KEITH M",DEMOCRATIC,AR,SENATE DISTRICT 024,Incumbent,Default Winner,88128.56
"VIRDEN, BART",NONPARTISAN,AR,APPELLATE COURT DISTRICT 002-POSITION 001,Incumbent,Won,85932.00
"JETT, JOE",REPUBLICAN,AR,HOUSE DISTRICT 056,Incumbent,Won,85531.00
"COLLINS SMITH, LINDA",REPUBLICAN,AR,SENATE DISTRICT 019,Incumbent,Lost,84306.61
"NOLAND, ROSS",DEMOCRATIC,AR,HOUSE DISTRICT 033,Open,Lost,84121.45
"GLIDEWELL, FRANK",REPUBLICAN,AR,SENATE DISTRICT 008,Open,Lost,83495.00
"HAMMER, KIM",REPUBLICAN,AR,SENATE DISTRICT 033,Open,Won,82795.68
