office,candidate,party,state,incumbency,result,total money,district
Governor,Gavin Newsom,DEM,CA,Open,Won,46778765.23,nan
Governor,John Cox,REP,CA,Open,Lost,14714049.38,nan
U.S. Representative,Devin Nunes,REP,CA,Incumbent,Won,12627420.19,22
Governor,John Chiang,DEM,CA,Open,Lost,12491313.75,nan
U.S. Representative,Gil Cisneros,DEM,CA,Open,Won,11955441.61,39
U.S. Senator,Dianne Feinstein,DEM,CA,Incumbent,Won,11339917.78,nan
Lieutenant Governor,Eleni Kounalakis,DEM,CA,Open,Won,9651488.78,nan
Governor,Antonio Villaraigosa,DEM,CA,Open,Lost,9581687.79,nan
U.S. Representative,Andrew Janz,DEM,CA,Challenger,Lost,9123159.46,22
U.S. Representative,Katie Hill,DEM,CA,Challenger,Won,8413732.62,25
U.S. Representative,Josh Harder,DEM,CA,Challenger,Won,8341230.67,10
U.S. Representative,Harley Rouda,DEM,CA,Challenger,Won,8165517.69,48
U.S. Representative,Kevin McCarthy,REP,CA,Incumbent,Won,7973252.31,23
U.S. Senator,Roque De La Fuente,REP,CA,Challenger,Lost,7812231.96,nan
Attorney General,Xavier Becerra,DEM,CA,Incumbent,Won,7373728.16,nan
U.S. Representative,Katie Porter,DEM,CA,Challenger,Won,6888056.85,45
U.S. Representative,Adam Schiff,DEM,CA,Incumbent,Won,6126065.43,28
U.S. Representative,Mike Levin,DEM,CA,Open,Won,6072898.64,49
U.S. Representative,Paul Kerr,DEM,CA,Open,Lost,5936180.49,49
Attorney General,Dave Jones,DEM,CA,Challenger,Lost,5295103.46,nan
Superintendent Of Public Instruction,Marshall Tuck,IND,CA,Open,Lost,5180696.7,nan
U.S. Representative,Mimi Walters,REP,CA,Incumbent,Lost,4850252.09,45
U.S. Representative,Jeff Denham,REP,CA,Incumbent,Lost,4821252.22,10
U.S. Representative,Nancy Pelosi,DEM,CA,Incumbent,Won,4441265.26,12
Lieutenant Governor,Edward Hernandez,DEM,CA,Open,Lost,4082918.01,nan
U.S. Representative,Ammar Campa-Najjar,DEM,CA,Challenger,Lost,4028520.1,50
U.S. Representative,Jessica Morse,DEM,CA,Challenger,Lost,3831490.72,4
State Senator,Anna Caballero,DEM,CA,Open,Won,3758610.32,12
Treasurer,Fiona Ma,DEM,CA,Open,Won,3699209.47,nan
State Senator,Rob Poythress,REP,CA,Open,Lost,3641970.27,12
U.S. Representative,David Valadao,REP,CA,Incumbent,Lost,3230851.82,21
Superintendent Of Public Instruction,Tony Thurmond,IND,CA,Open,Won,3208085.56,nan
