office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Elizabeth Warren,DEM,MA,Incumbent,Won,32230682.29,nan
Governor,Charles Baker,REP,MA,Incumbent,Won,30874409.75,nan
U.S. Senator,John Kingston,REP,MA,Open,Lost,6189399.12,nan
U.S. Senator,Shiva Ayyadurai,IND,MA,Challenger,Lost,4928781.44,nan
U.S. Representative,Joseph Kennedy III,DEM,MA,Incumbent,Won,4362971.09,4
Attorney General,Maura Healey,DEM,MA,Incumbent,Won,3688380.94,nan
U.S. Representative,Richard Neal,DEM,MA,Incumbent,Won,3460058.52,1
U.S. Representative,Daniel Arrigg Koh,DEM,MA,Open,Lost,3050482.51,3
Governor,Jay Gonzalez,DEM,MA,Challenger,Lost,2696945.92,nan
U.S. Representative,Seth Moulton,DEM,MA,Incumbent,Won,2494647.27,6
U.S. Representative,Lori Trahan,DEM,MA,Open,Won,2409671.33,3
U.S. Representative,Rufus Gifford,DEM,MA,Open,Lost,2325552.46,3
U.S. Senator,Geoff Diehl,REP,MA,Challenger,Lost,1976514.48,nan
U.S. Representative,Michael Capuano,DEM,MA,Incumbent,Lost,1770349.76,7
U.S. Senator,Beth Lindstrom,REP,MA,Open,Lost,1450528.34,nan
U.S. Representative,Ayanna Pressley,DEM,MA,Open,Won,1437526.04,7
Treasurer,Deborah Goldberg,DEM,MA,Incumbent,Won,1387782.18,nan
U.S. Representative,Katherine Clark,DEM,MA,Incumbent,Won,1216504.16,5
U.S. Representative,William Richard Keating,DEM,MA,Incumbent,Won,1212640.82,9
U.S. Representative,James McGovern,DEM,MA,Incumbent,Won,1158710.12,2
Secretary Of State,William Galvin,DEM,MA,Incumbent,Won,1107476.17,nan
Representative Nineteenth Suffolk,Robert Deleo,DEM,MA,Incumbent,Default Winner,960959.78,nan
U.S. Representative,Rick Green,REP,MA,Open,Lost,943552.92,3
U.S. Representative,Barbara Litalien,DEM,MA,Open,Lost,863860.72,3
U.S. Representative,Peter Tedeschi,REP,MA,Challenger,Lost,848703.52,9
U.S. Representative,Stephen Lynch,DEM,MA,Incumbent,Won,841010.73,8
Secretary Of State,Josh Zakim,DEM,MA,Challenger,Lost,666241.63,nan
Governor,Robert Massie,DEM,MA,Open,Lost,642203.7,nan
U.S. Representative,Abhijit Beej Das,DEM,MA,Open,Lost,590431.74,3
Senator First Suffolk,Nick Collins,DEM,MA,Incumbent,Default Winner,437675.04,nan
